Target	BaitCovg	in100nt	in300nt	in500nt
WeinellEntry89	1	1	1	1
WeinellEntry90	0.751	1	1	1
WeinellEntry92	1	1	1	1
WeinellEntry93	0.5942	0.9031	1	1
WeinellEntry94	0.751	1	1	1
WeinellEntry95	0.6495	0.7877	0.9542	1
WeinellEntry97	0.2954	0.4934	0.8364	1
WeinellEntry99	1	1	1	1
WeinellEntry100	1	1	1	1
WeinellEntry101	0.9126	1	1	1
WeinellEntry102	1	1	1	1
WeinellEntry103	0.1324	0.3078	0.5774	0.7843
WeinellEntry104	0.3442	0.5968	0.7356	0.8744
WeinellEntry106	1	1	1	1
WeinellEntry107	1	1	1	1
WeinellEntry108	0.3639	0.7729	1	1
WeinellEntry110	0.6955	0.8619	1	1
WeinellEntry111	0.1802	0.3183	0.4372	0.5562
WeinellEntry114	0.662	0.9391	1	1
WeinellEntry117	1	1	1	1
WeinellEntry119	0.3012	0.4676	0.8003	1
WeinellEntry120	0.8393	1	1	1
WeinellEntry121	1	1	1	1
WeinellEntry122	1	1	1	1
WeinellEntry124	1	1	1	1
WeinellEntry126	0.7136	1	1	1
WeinellEntry127	0.3821	0.6651	0.9621	1
WeinellEntry130	0.8393	1	1	1
WeinellEntry131	1	1	1	1
WeinellEntry132	1	1	1	1
WeinellEntry133	0.499	0.7069	1	1
WeinellEntry134	1	1	1	1
WeinellEntry135	0.1083	0.2272	0.3974	0.5164
WeinellEntry137	1	1	1	1
WeinellEntry138	0.7568	0.9647	1	1
WeinellEntry139	0.3147	0.4783	0.7162	0.9542
WeinellEntry140	1	1	1	1
WeinellEntry141	1	1	1	1
WeinellEntry142	1	1	1	1
WeinellEntry143	1	1	1	1
WeinellEntry144	0.1998	0.4197	0.7527	1
WeinellEntry145	1	1	1	1
WeinellEntry146	0.6829	0.9264	1	1
WeinellEntry147	0.8836	1	1	1
WeinellEntry148	1	1	1	1
WeinellEntry149	1	1	1	1
WeinellEntry152	0.9411	1	1	1
WeinellEntry153	0.7469	1	1	1
WeinellEntry154	0.9972	1	1	1
WeinellEntry155	0.1089	0.1684	0.2873	0.4063
WeinellEntry156	1	1	1	1
WeinellEntry159	1	1	1	1
WeinellEntry161	1	1	1	1
WeinellEntry162	0.8732	1	1	1
WeinellEntry164	1	1	1	1
WeinellEntry165	0.5014	0.7784	1	1
WeinellEntry166	1	1	1	1
WeinellEntry167	0.9126	1	1	1
WeinellEntry168	0.9728	1	1	1
WeinellEntry169	1	1	1	1
WeinellEntry170	0.1274	0.1691	0.2524	0.3357
WeinellEntry173	0.9917	1	1	1
WeinellEntry175	0.7568	1	1	1
WeinellEntry177	0.9884	1	1	1
WeinellEntry178	0.9641	1	1	1
WeinellEntry180	1	1	1	1
WeinellEntry181	0.9563	1	1	1
WeinellEntry183	1	1	1	1
WeinellEntry184	1	1	1	1
WeinellEntry185	0.4681	0.7452	1	1
WeinellEntry186	0.7763	1	1	1
WeinellEntry188	1	1	1	1
WeinellEntry190	1	1	1	1
WeinellEntry192	1	1	1	1
WeinellEntry193	0.7464	0.9543	1	1
WeinellEntry194	0.8732	1	1	1
WeinellEntry197	1	1	1	1
WeinellEntry198	0.94	1	1	1
WeinellEntry199	0.2212	0.459	0.7289	0.9667
WeinellEntry200	0.2821	0.6198	1	1
WeinellEntry201	1	1	1	1
WeinellEntry202	0.8017	0.9803	1	1
WeinellEntry203	0.922	1	1	1
WeinellEntry206	0.831	1	1	1
WeinellEntry207	0.5351	0.7325	0.9703	1
WeinellEntry209	0.8087	0.975	1	1
WeinellEntry210	0.8732	1	1	1
WeinellEntry211	1	1	1	1
WeinellEntry212	1	1	1	1
WeinellEntry213	0.8338	1	1	1
WeinellEntry214	0.6805	1	1	1
WeinellEntry215	0.869	1	1	1
WeinellEntry216	0.8338	1	1	1
WeinellEntry217	1	1	1	1
WeinellEntry218	1	1	1	1
WeinellEntry219	0.8836	1	1	1
WeinellEntry220	1	1	1	1
WeinellEntry222	1	1	1	1
WeinellEntry223	0.831	1	1	1
WeinellEntry224	0.5351	0.7729	1	1
WeinellEntry226	1	1	1	1
WeinellEntry227	1	1	1	1
WeinellEntry229	0.9987	1	1	1
WeinellEntry230	0.8585	0.9729	1	1
WeinellEntry231	1	1	1	1
WeinellEntry232	1	1	1	1
WeinellEntry233	1	1	1	1
WeinellEntry234	0.8118	1	1	1
WeinellEntry235	0.8501	0.9445	1	1
WeinellEntry238	0.9982	1	1	1
WeinellEntry239	1	1	1	1
WeinellEntry240	0.8585	1	1	1
WeinellEntry241	1	1	1	1
WeinellEntry243	0.751	1	1	1
WeinellEntry244	1	1	1	1
WeinellEntry245	1	1	1	1
WeinellEntry247	1	1	1	1
WeinellEntry248	1	1	1	1
WeinellEntry249	1	1	1	1
WeinellEntry250	0.1537	0.41	0.7841	0.9622
WeinellEntry251	1	1	1	1
WeinellEntry253	0.9907	1	1	1
WeinellEntry254	1	1	1	1
WeinellEntry255	1	1	1	1
WeinellEntry256	1	1	1	1
WeinellEntry257	1	1	1	1
WeinellEntry258	1	1	1	1
WeinellEntry259	1	1	1	1
WeinellEntry260	0.8732	1	1	1
WeinellEntry261	1	1	1	1
WeinellEntry262	0.2176	0.4554	0.874	1
WeinellEntry263	0.7469	1	1	1
WeinellEntry264	0.5155	0.5912	0.7426	0.894
WeinellEntry265	0.3639	0.8395	1	1
WeinellEntry266	1	1	1	1
WeinellEntry267	1	1	1	1
WeinellEntry268	1	1	1	1
WeinellEntry269	0.8952	1	1	1
WeinellEntry270	0.8726	1	1	1
WeinellEntry271	0.6023	0.975	1	1
WeinellEntry272	1	1	1	1
WeinellEntry273	1	1	1	1
WeinellEntry274	0.8393	1	1	1
WeinellEntry275	0.2846	0.3603	0.5117	0.6631
WeinellEntry276	1	1	1	1
WeinellEntry278	0.8347	1	1	1
WeinellEntry279	0.7562	0.8835	1	1
WeinellEntry280	1	1	1	1
WeinellEntry283	1	1	1	1
WeinellEntry284	0.952	1	1	1
WeinellEntry285	0.7568	1	1	1
WeinellEntry286	0.7469	1	1	1
WeinellEntry288	1	1	1	1
WeinellEntry290	1	1	1	1
WeinellEntry291	1	1	1	1
WeinellEntry292	1	1	1	1
WeinellEntry293	1	1	1	1
WeinellEntry294	1	1	1	1
WeinellEntry296	0.9691	1	1	1
WeinellEntry297	1	1	1	1
WeinellEntry298	0.7469	1	1	1
WeinellEntry300	1	1	1	1
WeinellEntry301	1	1	1	1
WeinellEntry302	1	1	1	1
WeinellEntry303	0.8126	1	1	1
WeinellEntry304	1	1	1	1
WeinellEntry306	1	1	1	1
WeinellEntry307	1	1	1	1
WeinellEntry308	0.9725	1	1	1
WeinellEntry309	1	1	1	1
WeinellEntry310	1	1	1	1
WeinellEntry311	0.499	0.948	1	1
WeinellEntry313	0.8952	1	1	1
WeinellEntry315	0.7024	0.9729	1	1
WeinellEntry316	1	1	1	1
WeinellEntry317	0.7469	1	1	1
WeinellEntry319	1	1	1	1
WeinellEntry320	1	1	1	1
WeinellEntry321	1	1	1	1
WeinellEntry322	1	1	1	1
WeinellEntry323	1	1	1	1
WeinellEntry324	1	1	1	1
WeinellEntry325	0.751	1	1	1
WeinellEntry327	1	1	1	1
WeinellEntry328	0.6635	0.9679	1	1
WeinellEntry330	0.6861	0.805	1	1
WeinellEntry331	0.8993	1	1	1
WeinellEntry332	1	1	1	1
WeinellEntry333	0.7469	1	1	1
WeinellEntry334	0.7128	0.9729	1	1
WeinellEntry337	0.8732	1	1	1
WeinellEntry339	0.6704	0.9474	1	1
WeinellEntry341	1	1	1	1
WeinellEntry342	1	1	1	1
WeinellEntry343	0.8543	1	1	1
WeinellEntry344	1	1	1	1
WeinellEntry345	0.8347	1	1	1
WeinellEntry347	0.897	1	1	1
WeinellEntry348	1	1	1	1
WeinellEntry350	1	1	1	1
WeinellEntry351	0.751	1	1	1
WeinellEntry352	1	1	1	1
WeinellEntry353	0.1817	0.4845	0.7873	0.9909
WeinellEntry354	0.1281	0.2322	0.4404	0.6486
WeinellEntry355	1	1	1	1
WeinellEntry356	1	1	1	1
WeinellEntry357	0.9399	1	1	1
WeinellEntry358	0.8008	0.9701	1	1
WeinellEntry359	1	1	1	1
WeinellEntry360	0.9896	1	1	1
WeinellEntry361	0.4726	0.6114	0.889	1
WeinellEntry362	1	1	1	1
WeinellEntry363	1	1	1	1
WeinellEntry364	0.8011	1	1	1
WeinellEntry365	1	1	1	1
WeinellEntry366	1	1	1	1
WeinellEntry367	1	1	1	1
WeinellEntry368	1	1	1	1
WeinellEntry369	1	1	1	1
WeinellEntry370	0.9939	1	1	1
WeinellEntry371	1	1	1	1
WeinellEntry372	0.8393	1	1	1
WeinellEntry373	0.8255	1	1	1
WeinellEntry376	1	1	1	1
WeinellEntry377	0.7072	0.975	1	1
WeinellEntry378	1	1	1	1
WeinellEntry379	1	1	1	1
WeinellEntry380	1	1	1	1
WeinellEntry381	1	1	1	1
WeinellEntry382	0.9101	1	1	1
WeinellEntry383	0.8326	0.9251	1	1
WeinellEntry384	1	1	1	1
WeinellEntry385	0.9431	0.9912	1	1
WeinellEntry386	0.4402	0.743	1	1
WeinellEntry388	0.9066	0.956	1	1
WeinellEntry389	1	1	1	1
WeinellEntry390	1	1	1	1
WeinellEntry392	1	1	1	1
WeinellEntry393	1	1	1	1
WeinellEntry394	0.7469	1	1	1
WeinellEntry395	1	1	1	1
WeinellEntry399	1	1	1	1
WeinellEntry400	0.9896	1	1	1
WeinellEntry401	1	1	1	1
WeinellEntry402	1	1	1	1
WeinellEntry404	1	1	1	1
WeinellEntry407	0.9563	1	1	1
WeinellEntry408	1	1	1	1
WeinellEntry410	1	1	1	1
WeinellEntry411	1	1	1	1
WeinellEntry412	1	1	1	1
WeinellEntry413	1	1	1	1
WeinellEntry415	0.5014	0.7784	1	1
WeinellEntry417	0.6648	0.9474	1	1
WeinellEntry418	0.9933	1	1	1
WeinellEntry419	1	1	1	1
WeinellEntry420	1	1	1	1
WeinellEntry421	1	1	1	1
WeinellEntry423	1	1	1	1
WeinellEntry424	1	1	1	1
WeinellEntry425	0.2067	0.4669	0.9266	1
WeinellEntry426	0.8347	1	1	1
WeinellEntry427	0.6704	1	1	1
WeinellEntry428	0.6299	0.9647	1	1
WeinellEntry429	0.8689	0.9729	1	1
WeinellEntry430	0.594	0.7604	1	1
WeinellEntry431	1	1	1	1
WeinellEntry432	1	1	1	1
WeinellEntry433	0.831	1	1	1
WeinellEntry434	1	1	1	1
WeinellEntry435	1	1	1	1
WeinellEntry436	1	1	1	1
WeinellEntry438	1	1	1	1
WeinellEntry439	0.9479	1	1	1
WeinellEntry440	0.5669	0.7229	0.945	1
WeinellEntry441	1	1	1	1
WeinellEntry443	1	1	1	1
WeinellEntry444	1	1	1	1
WeinellEntry445	1	1	1	1
WeinellEntry446	0.9098	1	1	1
WeinellEntry447	1	1	1	1
WeinellEntry448	0.831	1	1	1
WeinellEntry449	1	1	1	1
WeinellEntry451	0.9324	1	1	1
WeinellEntry452	1	1	1	1
WeinellEntry453	1	1	1	1
WeinellEntry454	0.8012	0.9053	1	1
WeinellEntry456	1	1	1	1
WeinellEntry457	1	1	1	1
WeinellEntry458	1	1	1	1
WeinellEntry459	0.9939	1	1	1
WeinellEntry460	1	1	1	1
WeinellEntry461	1	1	1	1
WeinellEntry463	0.9967	1	1	1
WeinellEntry464	1	1	1	1
WeinellEntry465	0.9792	1	1	1
WeinellEntry466	1	1	1	1
WeinellEntry467	0.7469	1	1	1
WeinellEntry468	0.5005	0.7919	0.9769	1
WeinellEntry469	1	1	1	1
WeinellEntry470	1	1	1	1
WeinellEntry471	0.9869	1	1	1
WeinellEntry472	0.692	0.8894	1	1
WeinellEntry473	1	1	1	1
WeinellEntry475	0.8868	1	1	1
WeinellEntry476	0.9215	1	1	1
WeinellEntry477	0.9005	0.9954	1	1
WeinellEntry478	1	1	1	1
WeinellEntry480	0.3977	0.5641	0.8968	1
WeinellEntry481	0.831	1	1	1
WeinellEntry482	1	1	1	1
WeinellEntry483	1	1	1	1
WeinellEntry484	1	1	1	1
WeinellEntry485	1	1	1	1
WeinellEntry486	1	1	1	1
WeinellEntry488	1	1	1	1
WeinellEntry490	1	1	1	1
WeinellEntry491	1	1	1	1
WeinellEntry492	1	1	1	1
WeinellEntry493	0.8393	1	1	1
WeinellEntry494	0.7646	0.8835	1	1
WeinellEntry495	1	1	1	1
WeinellEntry498	0.8481	1	1	1
WeinellEntry499	0.1999	0.4287	0.7618	1
WeinellEntry500	0.9617	1	1	1
WeinellEntry501	0.869	1	1	1
WeinellEntry502	1	1	1	1
WeinellEntry504	0.353	0.6037	1	1
WeinellEntry505	1	1	1	1
WeinellEntry506	1	1	1	1
WeinellEntry507	1	1	1	1
WeinellEntry508	0.222	0.5597	0.9297	1
WeinellEntry509	1	1	1	1
WeinellEntry510	1	1	1	1
WeinellEntry511	0.77	1	1	1
WeinellEntry512	0.9713	1	1	1
WeinellEntry513	1	1	1	1
WeinellEntry514	0.8952	1	1	1
WeinellEntry515	0.8048	1	1	1
WeinellEntry516	0.6648	1	1	1
WeinellEntry517	0.7844	0.8306	0.9232	1
WeinellEntry519	1	1	1	1
WeinellEntry520	1	1	1	1
WeinellEntry522	1	1	1	1
WeinellEntry523	0.9489	1	1	1
WeinellEntry524	1	1	1	1
WeinellEntry525	1	1	1	1
WeinellEntry526	0.802	1	1	1
WeinellEntry527	1	1	1	1
WeinellEntry528	0.8605	1	1	1
WeinellEntry530	1	1	1	1
WeinellEntry531	1	1	1	1
WeinellEntry532	1	1	1	1
WeinellEntry533	0.9641	1	1	1
WeinellEntry535	1	1	1	1
WeinellEntry536	0.77	1	1	1
WeinellEntry537	1	1	1	1
WeinellEntry538	0.9394	1	1	1
WeinellEntry539	1	1	1	1
WeinellEntry540	1	1	1	1
WeinellEntry541	0.4992	0.6656	0.9983	1
WeinellEntry542	0.831	1	1	1
WeinellEntry543	0.6556	0.9053	1	1
WeinellEntry544	1	1	1	1
WeinellEntry545	0.3579	0.7146	1	1
WeinellEntry547	1	1	1	1
WeinellEntry549	1	1	1	1
WeinellEntry551	1	1	1	1
WeinellEntry552	0.934	1	1	1
WeinellEntry553	1	1	1	1
WeinellEntry554	0.3517	0.6893	0.9148	1
WeinellEntry555	1	1	1	1
WeinellEntry556	1	1	1	1
WeinellEntry557	1	1	1	1
WeinellEntry558	1	1	1	1
WeinellEntry559	0.9945	1	1	1
WeinellEntry560	0.9962	1	1	1
WeinellEntry561	0.8087	0.975	1	1
WeinellEntry562	1	1	1	1
WeinellEntry563	0.8732	1	1	1
WeinellEntry564	0.7469	1	1	1
WeinellEntry565	1	1	1	1
WeinellEntry566	0.8308	0.9695	1	1
WeinellEntry567	1	1	1	1
WeinellEntry568	0.3597	0.6095	0.96	1
WeinellEntry569	0.751	1	1	1
WeinellEntry570	0.499	0.711	1	1
WeinellEntry571	1	1	1	1
WeinellEntry572	1	1	1	1
WeinellEntry573	0.9154	1	1	1
WeinellEntry575	0.9958	1	1	1
WeinellEntry577	1	1	1	1
WeinellEntry578	1	1	1	1
WeinellEntry579	1	1	1	1
WeinellEntry581	1	1	1	1
WeinellEntry582	0.6348	0.9053	1	1
WeinellEntry584	1	1	1	1
WeinellEntry586	0.8985	1	1	1
WeinellEntry587	0.751	1	1	1
WeinellEntry588	1	1	1	1
WeinellEntry593	1	1	1	1
WeinellEntry594	1	1	1	1
WeinellEntry595	0.9774	1	1	1
WeinellEntry596	0.6982	1	1	1
WeinellEntry597	1	1	1	1
WeinellEntry598	0.9062	0.9856	1	1
WeinellEntry599	1	1	1	1
WeinellEntry601	0.9959	1	1	1
WeinellEntry602	1	1	1	1
WeinellEntry603	1	1	1	1
WeinellEntry604	0.8012	0.9053	1	1
WeinellEntry605	0.959	1	1	1
WeinellEntry606	0.7086	0.9011	1	1
WeinellEntry607	1	1	1	1
WeinellEntry608	1	1	1	1
WeinellEntry609	1	1	1	1
WeinellEntry613	1	1	1	1
WeinellEntry614	0.9154	1	1	1
WeinellEntry615	1	1	1	1
WeinellEntry616	1	1	1	1
WeinellEntry617	1	1	1	1
WeinellEntry618	0.9467	1	1	1
WeinellEntry619	1	1	1	1
WeinellEntry621	0.9967	1	1	1
WeinellEntry622	1	1	1	1
WeinellEntry623	0.9324	1	1	1
WeinellEntry624	0.831	1	1	1
WeinellEntry627	0.8543	1	1	1
WeinellEntry628	1	1	1	1
WeinellEntry629	1	1	1	1
WeinellEntry630	1	1	1	1
WeinellEntry631	0.9279	1	1	1
WeinellEntry632	1	1	1	1
WeinellEntry633	1	1	1	1
WeinellEntry635	1	1	1	1
WeinellEntry636	1	1	1	1
WeinellEntry637	0.6057	0.8735	1	1
WeinellEntry638	1	1	1	1
WeinellEntry639	1	1	1	1
WeinellEntry640	1	1	1	1
WeinellEntry642	0.9525	1	1	1
WeinellEntry643	0.7354	0.9501	1	1
WeinellEntry644	1	1	1	1
WeinellEntry645	0.9275	1	1	1
WeinellEntry646	1	1	1	1
WeinellEntry648	1	1	1	1
WeinellEntry649	1	1	1	1
WeinellEntry650	0.666	0.8741	1	1
WeinellEntry651	1	1	1	1
WeinellEntry653	1	1	1	1
WeinellEntry654	1	1	1	1
WeinellEntry655	0.8626	1	1	1
WeinellEntry656	1	1	1	1
WeinellEntry657	1	1	1	1
WeinellEntry658	1	1	1	1
WeinellEntry659	0.6778	0.8109	1	1
WeinellEntry660	0.9275	1	1	1
WeinellEntry661	0.9336	1	1	1
WeinellEntry662	0.9521	1	1	1
WeinellEntry663	1	1	1	1
WeinellEntry664	0.3579	0.5696	0.8074	1
WeinellEntry666	0.7908	0.999	1	1
WeinellEntry667	1	1	1	1
WeinellEntry668	0.751	1	1	1
WeinellEntry669	0.7469	1	1	1
WeinellEntry670	1	1	1	1
WeinellEntry671	0.7422	0.9543	1	1
WeinellEntry672	1	1	1	1
WeinellEntry673	0.3072	0.3905	0.557	0.7236
WeinellEntry674	0.751	1	1	1
WeinellEntry675	1	1	1	1
WeinellEntry676	1	1	1	1
WeinellEntry677	1	1	1	1
WeinellEntry678	1	1	1	1
WeinellEntry679	1	1	1	1
WeinellEntry680	0.9945	1	1	1
WeinellEntry681	1	1	1	1
WeinellEntry682	1	1	1	1
WeinellEntry683	0.7464	0.9543	1	1
WeinellEntry684	1	1	1	1
WeinellEntry685	0.7317	1	1	1
WeinellEntry686	1	1	1	1
WeinellEntry687	0.7469	1	1	1
WeinellEntry688	1	1	1	1
WeinellEntry689	0.8732	1	1	1
WeinellEntry690	1	1	1	1
WeinellEntry691	1	1	1	1
WeinellEntry692	1	1	1	1
WeinellEntry693	0.9889	1	1	1
WeinellEntry694	1	1	1	1
WeinellEntry695	1	1	1	1
WeinellEntry696	0.9378	1	1	1
WeinellEntry697	1	1	1	1
WeinellEntry698	1	1	1	1
WeinellEntry699	1	1	1	1
WeinellEntry700	0.751	1	1	1
WeinellEntry701	1	1	1	1
WeinellEntry703	1	1	1	1
WeinellEntry704	1	1	1	1
WeinellEntry705	1	1	1	1
WeinellEntry706	1	1	1	1
WeinellEntry708	1	1	1	1
WeinellEntry709	0.9677	1	1	1
WeinellEntry710	0.8393	1	1	1
WeinellEntry712	0.9983	1	1	1
WeinellEntry713	0.9917	1	1	1
WeinellEntry714	0.9958	1	1	1
WeinellEntry715	0.9896	1	1	1
WeinellEntry716	1	1	1	1
WeinellEntry717	0.751	1	1	1
WeinellEntry718	0.8952	1	1	1
WeinellEntry719	0.9145	0.9902	1	1
WeinellEntry720	1	1	1	1
WeinellEntry721	1	1	1	1
WeinellEntry722	1	1	1	1
WeinellEntry724	1	1	1	1
WeinellEntry725	0.831	1	1	1
WeinellEntry726	0.9638	1	1	1
WeinellEntry727	0.7868	0.8978	1	1
WeinellEntry728	1	1	1	1
WeinellEntry729	1	1	1	1
WeinellEntry730	1	1	1	1
WeinellEntry732	0.8347	1	1	1
WeinellEntry733	0.9215	1	1	1
WeinellEntry734	0.802	1	1	1
WeinellEntry735	1	1	1	1
WeinellEntry736	1	1	1	1
WeinellEntry737	1	1	1	1
WeinellEntry738	0.2889	0.393	0.6012	0.8095
WeinellEntry739	1	1	1	1
WeinellEntry740	1	1	1	1
WeinellEntry742	0.6006	0.9861	1	1
WeinellEntry743	0.222	0.592	0.9167	1
WeinellEntry744	1	1	1	1
WeinellEntry745	0.499	0.7069	1	1
WeinellEntry746	0.4718	0.5643	0.7493	0.9343
WeinellEntry747	1	1	1	1
WeinellEntry748	1	1	1	1
WeinellEntry750	0.6516	0.9489	1	1
WeinellEntry752	0.751	1	1	1
WeinellEntry753	1	1	1	1
WeinellEntry755	1	1	1	1
WeinellEntry756	0.821	0.9598	1	1
WeinellEntry757	0.9896	1	1	1
WeinellEntry758	1	1	1	1
WeinellEntry759	1	1	1	1
WeinellEntry760	0.751	1	1	1
WeinellEntry761	1	1	1	1
WeinellEntry762	1	1	1	1
WeinellEntry763	0.9597	1	1	1
WeinellEntry764	0.6704	0.9474	1	1
WeinellEntry765	1	1	1	1
WeinellEntry766	1	1	1	1
WeinellEntry767	0.8145	0.962	1	1
WeinellEntry768	1	1	1	1
WeinellEntry769	0.8393	1	1	1
WeinellEntry770	0.3466	0.6669	1	1
WeinellEntry771	0.692	1	1	1
WeinellEntry773	1	1	1	1
WeinellEntry774	0.7232	0.8335	1	1
WeinellEntry775	1	1	1	1
WeinellEntry776	0.7705	0.9679	1	1
WeinellEntry777	1	1	1	1
WeinellEntry778	1	1	1	1
WeinellEntry780	1	1	1	1
WeinellEntry781	0.6648	1	1	1
WeinellEntry782	1	1	1	1
WeinellEntry783	1	1	1	1
WeinellEntry784	1	1	1	1
WeinellEntry785	1	1	1	1
WeinellEntry786	1	1	1	1
WeinellEntry787	0.5014	0.7784	1	1
WeinellEntry788	0.385	0.5931	1	1
WeinellEntry789	1	1	1	1
WeinellEntry790	0.9967	1	1	1
WeinellEntry791	0.7469	1	1	1
WeinellEntry792	1	1	1	1
WeinellEntry793	1	1	1	1
WeinellEntry794	1	1	1	1
WeinellEntry795	1	1	1	1
WeinellEntry796	0.751	1	1	1
WeinellEntry797	1	1	1	1
WeinellEntry798	1	1	1	1
WeinellEntry799	1	1	1	1
WeinellEntry800	1	1	1	1
WeinellEntry801	1	1	1	1
WeinellEntry802	1	1	1	1
WeinellEntry803	1	1	1	1
WeinellEntry804	1	1	1	1
WeinellEntry805	1	1	1	1
WeinellEntry806	0.9776	1	1	1
WeinellEntry807	0.9528	1	1	1
WeinellEntry809	1	1	1	1
WeinellEntry810	1	1	1	1
WeinellEntry811	1	1	1	1
WeinellEntry812	0.9215	1	1	1
WeinellEntry813	1	1	1	1
WeinellEntry815	1	1	1	1
WeinellEntry816	1	1	1	1
WeinellEntry817	0.7469	1	1	1
WeinellEntry818	1	1	1	1
WeinellEntry819	0.8393	1	1	1
WeinellEntry820	1	1	1	1
WeinellEntry821	0.9776	1	1	1
WeinellEntry822	0.751	1	1	1
WeinellEntry823	0.7469	1	1	1
WeinellEntry824	1	1	1	1
WeinellEntry825	0.9959	1	1	1
WeinellEntry826	0.5021	0.8641	1	1
WeinellEntry827	1	1	1	1
WeinellEntry828	1	1	1	1
WeinellEntry829	1	1	1	1
WeinellEntry830	0.849	1	1	1
WeinellEntry831	1	1	1	1
WeinellEntry832	0.7568	0.9647	1	1
WeinellEntry833	1	1	1	1
WeinellEntry834	1	1	1	1
WeinellEntry835	1	1	1	1
WeinellEntry837	1	1	1	1
WeinellEntry838	1	1	1	1
WeinellEntry839	1	1	1	1
WeinellEntry840	1	1	1	1
WeinellEntry841	0.922	1	1	1
WeinellEntry842	1	1	1	1
WeinellEntry843	1	1	1	1
WeinellEntry844	0.903	1	1	1
WeinellEntry845	0.4958	0.9363	1	1
WeinellEntry846	1	1	1	1
WeinellEntry847	1	1	1	1
WeinellEntry848	0.8834	1	1	1
WeinellEntry849	0.391	0.5574	0.8902	1
WeinellEntry850	1	1	1	1
WeinellEntry851	1	1	1	1
WeinellEntry852	0.9736	1	1	1
WeinellEntry854	1	1	1	1
WeinellEntry855	1	1	1	1
WeinellEntry856	1	1	1	1
WeinellEntry857	0.8393	1	1	1
WeinellEntry858	1	1	1	1
WeinellEntry859	1	1	1	1
WeinellEntry860	1	1	1	1
WeinellEntry861	1	1	1	1
WeinellEntry862	1	1	1	1
WeinellEntry863	0.7469	1	1	1
WeinellEntry865	1	1	1	1
WeinellEntry866	1	1	1	1
WeinellEntry867	1	1	1	1
WeinellEntry868	0.7746	1	1	1
WeinellEntry869	0.6704	1	1	1
WeinellEntry870	0.7469	1	1	1
WeinellEntry871	0.662	0.9391	1	1
WeinellEntry872	1	1	1	1
WeinellEntry874	1	1	1	1
WeinellEntry875	1	1	1	1
WeinellEntry876	1	1	1	1
WeinellEntry877	0.9896	1	1	1
WeinellEntry879	0.9365	1	1	1
WeinellEntry880	0.7406	1	1	1
WeinellEntry881	0.9126	1	1	1
WeinellEntry882	1	1	1	1
WeinellEntry883	0.5203	0.8065	1	1
WeinellEntry885	1	1	1	1
WeinellEntry887	1	1	1	1
WeinellEntry888	0.9982	1	1	1
WeinellEntry889	0.3993	0.5691	0.9018	1
WeinellEntry890	1	1	1	1
WeinellEntry891	0.5014	0.7784	1	1
WeinellEntry892	1	1	1	1
WeinellEntry893	0.8934	0.9767	1	1
WeinellEntry894	1	1	1	1
WeinellEntry895	0.751	1	1	1
WeinellEntry896	1	1	1	1
WeinellEntry897	0.751	1	1	1
WeinellEntry898	0.9313	1	1	1
WeinellEntry899	1	1	1	1
WeinellEntry900	1	1	1	1
WeinellEntry902	0.9917	1	1	1
WeinellEntry903	1	1	1	1
