locus.name	type	includes.genes	locus.altname1	locus.altname2	locus.altname3	Weinell2024.alignments
locus71	REE	LOC106556694	WeinellEntry114	REE_69	sample66_0000000249	TRUE
locus73	REE	LOC106549622	WeinellEntry120	REE_70	sample66_0000000260	TRUE
locus74	REE	CGN	WeinellEntry121	REE_71	sample66_0000000261	TRUE
locus75	REE	LOC106541352	WeinellEntry122	REE_72	sample66_0000000264	TRUE
locus76	REE	VSIG1	WeinellEntry124	REE_73	sample66_0000000269	TRUE
locus77	REE	LOC106548363	WeinellEntry126	REE_74	sample66_0000000275	TRUE
locus78	REE	LOC106548597	WeinellEntry127	REE_75	sample66_0000000281	TRUE
locus79	REE	HOXB8	WeinellEntry130	REE_76	sample66_0000000285	TRUE
locus80	REE	LOC106550834	WeinellEntry131	REE_77	sample66_0000000291	TRUE
locus81	REE	DPH2	WeinellEntry132	REE_78	sample66_0000000295	TRUE
locus82	REE	LGALS3	WeinellEntry133	REE_79	sample66_0000000296	TRUE
locus83	REE	LOC106554969	WeinellEntry134	REE_80	sample66_0000000299	TRUE
locus84	REE	LOC106549001	WeinellEntry135	REE_81	sample66_0000000303	TRUE
locus85	REE	LOC106552910	WeinellEntry137	REE_82	sample66_0000000304	TRUE
locus86	REE	LOC106541480	WeinellEntry138	REE_83	sample66_0000000309	TRUE
locus87	REE	LOC106555962	WeinellEntry139	REE_84	sample66_0000000314	TRUE
locus88	REE	ANPEP	WeinellEntry140	REE_85	sample66_0000000323	TRUE
locus89	REE	ATG16L2	WeinellEntry141	REE_86	sample66_0000000324	TRUE
locus90	REE	LOC106540986	WeinellEntry142	REE_87	sample66_0000000326	TRUE
locus91	REE	LOC106537915	WeinellEntry143	REE_88	sample66_0000000328	TRUE
locus92	REE	LOC106543983	WeinellEntry144	REE_89	sample66_0000000332	TRUE
locus93	REE	LOC106538299	WeinellEntry145	REE_90	sample66_0000000333	TRUE
locus94	REE	LOC106556109	WeinellEntry146	REE_91	sample66_0000000336	TRUE
locus95	REE	LOC106556236	WeinellEntry147	REE_92	sample66_0000000337	TRUE
locus96	REE	LOC106538302	WeinellEntry148	REE_93	sample66_0000000340	TRUE
locus97	REE	LOC106553034	WeinellEntry149	REE_94	sample66_0000000342	TRUE
locus98	REE	ZNF541	WeinellEntry152	REE_95	sample66_0000000347	TRUE
locus99	REE	LOC106540733	WeinellEntry153	REE_96	sample66_0000000348	TRUE
locus100	REE	LOC106550666	WeinellEntry154	REE_97	sample66_0000000356	TRUE
locus101	REE	LOC106556131	WeinellEntry155	REE_98	sample66_0000000357	TRUE
locus102	REE	LOC106547067	WeinellEntry156	REE_99	sample66_0000000358	TRUE
locus103	REE	LOC106544881	WeinellEntry159	REE_100	sample66_0000000364	TRUE
locus104	REE	FAM166A	WeinellEntry161	REE_101	sample66_0000000365	TRUE
locus105	REE	LOC106542752	WeinellEntry162	REE_102	sample66_0000000372	TRUE
locus106	REE	FAM35A	WeinellEntry164	REE_103	sample66_0000000373	TRUE
locus107	REE	LOC106552915	WeinellEntry165	REE_104	sample66_0000000377	TRUE
locus108	REE	SLC38A10	WeinellEntry166	REE_105	sample66_0000000378	TRUE
locus109	REE	LOC106557412	WeinellEntry167	REE_106	sample66_0000000383	TRUE
locus110	REE	TLR4	WeinellEntry168	REE_107	sample66_0000000385	TRUE
locus111	REE	ZBTB48	WeinellEntry169	REE_108	sample66_0000000386	TRUE
locus112	REE	LOC106548420	WeinellEntry170	REE_109	sample66_0000000388	TRUE
locus113	REE	CD72	WeinellEntry173	REE_110	sample66_0000000389	TRUE
locus114	REE	LOC106556083	WeinellEntry175	REE_111	sample66_0000000390	TRUE
locus115	REE	LOC106555720	WeinellEntry177	REE_112	sample66_0000000393	TRUE
locus116	REE	USPL1	WeinellEntry178	REE_113	sample66_0000000395	TRUE
locus117	REE	FAN1	WeinellEntry180	REE_114	sample66_0000000396	TRUE
locus118	REE	LOC106543035	WeinellEntry181	REE_115	sample66_0000000402	TRUE
locus119	REE	LOC106545801	WeinellEntry183	REE_116	sample66_0000000404	TRUE
locus120	REE	LOC106553792	WeinellEntry184	REE_117	sample66_0000000406	TRUE
locus121	REE	LOC106548543	WeinellEntry185	REE_118	sample66_0000000407	TRUE
locus122	REE	LOC106551803	WeinellEntry186	REE_119	sample66_0000000416	TRUE
locus123	REE	LOC106547693	WeinellEntry188	REE_120	sample66_0000000428	TRUE
locus124	REE	LOC106554653	WeinellEntry190	REE_121	sample66_0000000429	TRUE
locus125	REE	ADAM28	WeinellEntry192	REE_122	sample66_0000000430	TRUE
locus126	REE	LOC106550458	WeinellEntry193	REE_123	sample66_0000000433	TRUE
locus127	REE	LOC106554815	WeinellEntry194	REE_124	sample66_0000000435	TRUE
locus128	REE	LOC106541285	WeinellEntry197	REE_125	sample66_0000000440	TRUE
locus129	REE	LOC106555032	WeinellEntry198	REE_126	sample66_0000000441	TRUE
locus130	REE	LOC106553544	WeinellEntry199	REE_127	sample66_0000000446	TRUE
locus131	REE	LOC106549659	WeinellEntry200	REE_128	sample66_0000000447	TRUE
locus132	REE	LOC106551432	WeinellEntry201	REE_129	sample66_0000000453	TRUE
locus133	REE	LOC106553806	WeinellEntry202	REE_130	sample66_0000000454	TRUE
locus134	REE	LOC106541598	WeinellEntry203	REE_131	sample66_0000000455	TRUE
locus135	REE	B2M	WeinellEntry206	REE_132	sample66_0000000459	TRUE
locus136	REE	LOC106552048	WeinellEntry207	REE_133	sample66_0000000461	TRUE
locus137	REE	OASL	WeinellEntry209	REE_134	sample66_0000000462	TRUE
locus138	REE	UVSSA	WeinellEntry210	REE_135	sample66_0000000464	TRUE
locus139	REE	LOC106553608	WeinellEntry211	REE_136	sample66_0000000466	TRUE
locus140	REE	LOC106557336	WeinellEntry212	REE_137	sample66_0000000469	TRUE
locus141	REE	FAM199X	WeinellEntry213	REE_138	sample66_0000000470	TRUE
locus142	REE	ST3GAL5	WeinellEntry214	REE_139	sample66_0000000475	TRUE
locus143	REE	EVA1B	WeinellEntry215	REE_140	sample66_0000000476	TRUE
locus144	REE	LOC106554077	WeinellEntry217	REE_141	sample66_0000000477	TRUE
locus145	REE	LOC106538957	WeinellEntry218	REE_142	sample66_0000000482	TRUE
locus146	REE	TBC1D8B	WeinellEntry219	REE_143	sample66_0000000483	TRUE
locus147	REE	LOC106556401	WeinellEntry220	REE_144	sample66_0000000484	TRUE
locus148	REE	LOC106540565	WeinellEntry222	REE_145	sample66_0000000489	TRUE
locus149	REE	LOC106539838	WeinellEntry223	REE_146	sample66_0000000491	TRUE
locus150	REE	LOC106540002	WeinellEntry224	REE_147	sample66_0000000492	TRUE
locus151	REE	LOC106538133	WeinellEntry226	REE_148	sample66_0000000493	TRUE
locus152	REE	LOC106544068	WeinellEntry227	REE_149	sample66_0000000494	TRUE
locus153	REE	LOC106539889	WeinellEntry229	REE_150	sample66_0000000502	TRUE
locus154	REE	PARP10	WeinellEntry230	REE_151	sample66_0000000503	TRUE
locus155	REE	SLC34A2	WeinellEntry231	REE_152	sample66_0000000504	TRUE
locus156	REE	LOC106556322	WeinellEntry232	REE_153	sample66_0000000505	TRUE
locus157	REE	LOC106551201	WeinellEntry233	REE_154	sample66_0000000507	TRUE
locus158	REE	LOC106538171	WeinellEntry234	REE_155	sample66_0000000510	TRUE
locus159	REE	LOC106550710	WeinellEntry235	REE_156	sample66_0000000511	TRUE
locus160	REE	MAPK8IP2	WeinellEntry238	REE_157	sample66_0000000512	TRUE
locus161	REE	LOC106547280	WeinellEntry239	REE_158	sample66_0000000514	TRUE
locus162	REE	LOC106554376	WeinellEntry240	REE_159	sample66_0000000518	TRUE
locus163	REE	LOC106552215	WeinellEntry241	REE_160	sample66_0000000525	TRUE
locus164	REE	LOC106540727	WeinellEntry243	REE_161	sample66_0000000529	TRUE
locus165	REE	LOC106540486	WeinellEntry244	REE_162	sample66_0000000531	TRUE
locus166	REE	TERF2	WeinellEntry245	REE_163	sample66_0000000533	TRUE
locus167	REE	R3HCC1	WeinellEntry247	REE_164	sample66_0000000536	TRUE
locus168	REE	LOC106545552	WeinellEntry248	REE_165	sample66_0000000537	TRUE
locus169	REE	LOC106546444	WeinellEntry249	REE_166	sample66_0000000539	TRUE
locus170	REE	LOC106544844	WeinellEntry250	REE_167	sample66_0000000540	TRUE
locus171	REE	LOC106548041	WeinellEntry251	REE_168	sample66_0000000545	TRUE
locus172	REE	LOC106542183	WeinellEntry253	REE_169	sample66_0000000549	TRUE
locus173	REE	LOC106546723	WeinellEntry254	REE_170	sample66_0000000550	TRUE
locus174	REE	LOC106547254	WeinellEntry255	REE_171	sample66_0000000552	TRUE
locus175	REE	LOC106547281	WeinellEntry256	REE_172	sample66_0000000554	TRUE
locus176	REE	LOC106548569	WeinellEntry257	REE_173	sample66_0000000556	TRUE
locus177	REE	LOC106554243	WeinellEntry258	REE_174	sample66_0000000557	TRUE
locus178	REE	LOC106552917	WeinellEntry259	REE_175	sample66_0000000560	TRUE
locus179	REE	GOLGB1	WeinellEntry260	REE_176	sample66_0000000564	TRUE
locus180	REE	LOC106548819	WeinellEntry261	REE_177	sample66_0000000565	TRUE
locus181	REE	LOC106554962	WeinellEntry262	REE_178	sample66_0000000566	TRUE
locus182	REE	LOC106540817	WeinellEntry263	REE_179	sample66_0000000567	TRUE
locus183	REE	LOC106541659	WeinellEntry264	REE_180	sample66_0000000569	TRUE
locus184	REE	LOC106544242	WeinellEntry265	REE_181	sample66_0000000571	TRUE
locus185	REE	ISG15	WeinellEntry266	REE_182	sample66_0000000573	TRUE
locus186	REE	LOC106541401	WeinellEntry267	REE_183	sample66_0000000575	TRUE
locus187	REE	LAMC3	WeinellEntry268	REE_184	sample66_0000000576	TRUE
locus188	REE	LOC106553515	WeinellEntry269	REE_185	sample66_0000000578	TRUE
locus189	REE	LOC106539362	WeinellEntry270	REE_186	sample66_0000000579	TRUE
locus190	REE	RCSD1	WeinellEntry271	REE_187	sample66_0000000580	TRUE
locus191	REE	LOC106554381	WeinellEntry272	REE_188	sample66_0000000582	TRUE
locus192	REE	AQP10	WeinellEntry273	REE_189	sample66_0000000586	TRUE
locus193	REE	AKAP11	WeinellEntry274	REE_190	sample66_0000000595	TRUE
locus194	REE	LOC106543636	WeinellEntry275	REE_191	sample66_0000000598	TRUE
locus195	REE	UBE2L6	WeinellEntry276	REE_192	sample66_0000000600	TRUE
locus196	REE	LOC106538803	WeinellEntry278	REE_193	sample66_0000000609	TRUE
locus197	REE	LOC106553406	WeinellEntry279	REE_194	sample66_0000000615	TRUE
locus198	REE	LOC106556476	WeinellEntry280	REE_195	sample66_0000000619	TRUE
locus199	REE	LOC106543919	WeinellEntry283	REE_196	sample66_0000000621	TRUE
locus200	REE	LOC106556616	WeinellEntry284	REE_197	sample66_0000000626	TRUE
locus201	REE	LOC106548913	WeinellEntry285	REE_198	sample66_0000000634	TRUE
locus202	REE	LOC106541327	WeinellEntry286	REE_199	sample66_0000000637	TRUE
locus203	REE	BIN2	WeinellEntry288	REE_200	sample66_0000000643	TRUE
locus204	REE	LOC106546995	WeinellEntry290	REE_201	sample66_0000000647	TRUE
locus205	REE	LOC106541281	WeinellEntry291	REE_202	sample66_0000000651	TRUE
locus206	REE	PTRH1	WeinellEntry292	REE_203	sample66_0000000653	TRUE
locus207	REE	FBXL8	WeinellEntry293	REE_204	sample66_0000000654	TRUE
locus208	REE	EFCAB5	WeinellEntry294	REE_205	sample66_0000000657	TRUE
locus209	REE	LOC106555423	WeinellEntry296	REE_206	sample66_0000000659	TRUE
locus210	REE	LOC106541836	WeinellEntry297	REE_207	sample66_0000000663	TRUE
locus211	REE	LOC106545696	WeinellEntry298	REE_208	sample66_0000000664	TRUE
locus212	REE	SCARB1	WeinellEntry300	REE_209	sample66_0000000666	TRUE
locus213	REE	ARTN	WeinellEntry301	REE_210	sample66_0000000667	TRUE
locus214	REE	SLC22A13	WeinellEntry302	REE_211	sample66_0000000668	TRUE
locus215	REE	AHNAK2	WeinellEntry303	REE_212	sample66_0000000672	TRUE
locus216	REE	LOC106551111	WeinellEntry304	REE_213	sample66_0000000674	TRUE
locus217	REE	ICE2	WeinellEntry306	REE_214	sample66_0000000675	TRUE
locus218	REE	LOC106549517	WeinellEntry307	REE_215	sample66_0000000677	TRUE
locus219	REE	LOC106556373	WeinellEntry308	REE_216	sample66_0000000678	TRUE
locus221	REE	CASP9	WeinellEntry310	REE_217	sample66_0000000686	TRUE
locus222	REE	LOC106542763	WeinellEntry311	REE_218	sample66_0000000691	TRUE
locus223	REE	LRP11	WeinellEntry313	REE_219	sample66_0000000693	TRUE
locus224	REE	LOC106539573	WeinellEntry315	REE_220	sample66_0000000694	TRUE
locus225	REE	LOC106543355	WeinellEntry316	REE_221	sample66_0000000699	TRUE
locus226	REE	LOC106544530	WeinellEntry317	REE_222	sample66_0000000701	TRUE
locus227	REE	LOC106541166	WeinellEntry319	REE_223	sample66_0000000703	TRUE
locus228	REE	FAM208B	WeinellEntry320	REE_224	sample66_0000000704	TRUE
locus229	REE	LOC106546594	WeinellEntry321	REE_225	sample66_0000000705	TRUE
locus230	REE	LOC106546478	WeinellEntry322	REE_226	sample66_0000000706	TRUE
locus231	REE	LOC106550234	WeinellEntry323	REE_227	sample66_0000000709	TRUE
locus232	REE	COL8A2	WeinellEntry324	REE_228	sample66_0000000712	TRUE
locus233	REE	LOC106540947	WeinellEntry325	REE_229	sample66_0000000716	TRUE
locus234	REE	LOC106556159	WeinellEntry327	REE_230	sample66_0000000722	TRUE
locus235	REE	LOC106547825	WeinellEntry328	REE_231	sample66_0000000723	TRUE
locus236	REE	LOC106554892	WeinellEntry330	REE_232	sample66_0000000724	TRUE
locus237	REE	LOC106552320	WeinellEntry331	REE_233	sample66_0000000725	TRUE
locus238	REE	LOC106541834	WeinellEntry332	REE_234	sample66_0000000727	TRUE
locus239	REE	LOC106544661	WeinellEntry333	REE_235	sample66_0000000732	TRUE
locus240	REE	LOC106539571	WeinellEntry334	REE_236	sample66_0000000733	TRUE
locus241	REE	LOC106548680	WeinellEntry337	REE_237	sample66_0000000735	TRUE
locus242	REE	LOC106556100	WeinellEntry339	REE_238	sample66_0000000744	TRUE
locus243	REE	LOC106549944	WeinellEntry341	REE_239	sample66_0000000745	TRUE
locus244	REE	B4GALNT2	WeinellEntry342	REE_240	sample66_0000000746	TRUE
locus245	REE	LOC106550946	WeinellEntry343	REE_241	sample66_0000000750	TRUE
locus246	REE	LOC106548842	WeinellEntry344	REE_242	sample66_0000000751	TRUE
locus247	REE	NSRP1	WeinellEntry345	REE_243	sample66_0000000753	TRUE
locus248	REE	RFX5	WeinellEntry347	REE_244	sample66_0000000754	TRUE
locus249	REE	DPH7	WeinellEntry348	REE_245	sample66_0000000755	TRUE
locus251	REE	LOC106540566	WeinellEntry351	REE_246	sample66_0000000759	TRUE
locus252	REE	LOC106550714	WeinellEntry352	REE_247	sample66_0000000760	TRUE
locus253	REE	LOC106553937	WeinellEntry353	REE_248	sample66_0000000766	TRUE
locus254	REE	LOC106554091	WeinellEntry354	REE_249	sample66_0000000767	TRUE
locus255	REE	TCF12	WeinellEntry355	REE_250	sample66_0000000768	TRUE
locus256	REE	LOC106554942	WeinellEntry356	REE_251	sample66_0000000771	TRUE
locus257	REE	PBXIP1	WeinellEntry357	REE_252	sample66_0000000773	TRUE
locus258	REE	SCAF11	WeinellEntry358	REE_253	sample66_0000000774	TRUE
locus259	REE	LOC106543923	WeinellEntry359	REE_254	sample66_0000000775	TRUE
locus260	REE	LOC106546748	WeinellEntry360	REE_255	sample66_0000000777	TRUE
locus261	REE	LOC106553357	WeinellEntry361	REE_256	sample66_0000000778	TRUE
locus262	REE	LOC106555778	WeinellEntry362	REE_257	sample66_0000000780	TRUE
locus263	REE	PTPRJ	WeinellEntry363	REE_258	sample66_0000000781	TRUE
locus264	REE	LOC106540726	WeinellEntry364	REE_259	sample66_0000000783	TRUE
locus265	REE	LOC106551546	WeinellEntry365	REE_260	sample66_0000000786	TRUE
locus266	REE	P2RX4	WeinellEntry366	REE_261	sample66_0000000788	TRUE
locus267	REE	PLAT	WeinellEntry367	REE_262	sample66_0000000794	TRUE
locus268	REE	LOC106543783	WeinellEntry368	REE_263	sample66_0000000796	TRUE
locus269	REE	LOC106543667	WeinellEntry369	REE_264	sample66_0000000797	TRUE
locus270	REE	LOC106548899	WeinellEntry370	REE_265	sample66_0000000800	TRUE
locus271	REE	NUDT18	WeinellEntry371	REE_266	sample66_0000000802	TRUE
locus272	REE	AHSG	WeinellEntry372	REE_267	sample66_0000000803	TRUE
locus273	REE	LOC106544079	WeinellEntry373	REE_268	sample66_0000000805	TRUE
locus274	REE	LOC106551216	WeinellEntry376	REE_269	sample66_0000000806	TRUE
locus275	REE	RNF112	WeinellEntry377	REE_270	sample66_0000000807	TRUE
locus276	REE	LOC106539344	WeinellEntry378	REE_271	sample66_0000000808	TRUE
locus277	REE	LOC106546984	WeinellEntry379	REE_272	sample66_0000000811	TRUE
locus278	REE	LOC106539621	WeinellEntry380	REE_273	sample66_0000000819	TRUE
locus279	REE	MAMLD1	WeinellEntry381	REE_274	sample66_0000000820	TRUE
locus280	REE	LOC106545923	WeinellEntry382	REE_275	sample66_0000000822	TRUE
locus281	REE	LOC106554702	WeinellEntry383	REE_276	sample66_0000000827	TRUE
locus282	REE	TNS3	WeinellEntry384	REE_277	sample66_0000000831	TRUE
locus283	REE	KIF24	WeinellEntry385	REE_278	sample66_0000000832	TRUE
locus284	REE	LOC106556599	WeinellEntry386	REE_279	sample66_0000000835	TRUE
locus285	REE	IRS2	WeinellEntry388	REE_280	sample66_0000000836	TRUE
locus286	REE	GPA33	WeinellEntry389	REE_281	sample66_0000000844	TRUE
locus287	REE	LOC106539741	WeinellEntry390	REE_282	sample66_0000000845	TRUE
locus288	REE	LOC106537626	WeinellEntry392	REE_283	sample66_0000000849	TRUE
locus289	REE	LOC106543627	WeinellEntry393	REE_284	sample66_0000000850	TRUE
locus290	REE	LOC106552985	WeinellEntry394	REE_285	sample66_0000000853	TRUE
locus291	REE	TMIGD1	WeinellEntry395	REE_286	sample66_0000000855	TRUE
locus292	REE	LOC106554443	WeinellEntry399	REE_287	sample66_0000000856	TRUE
locus293	REE	LOC106537661	WeinellEntry400	REE_288	sample66_0000000857	TRUE
locus294	REE	LOC106544011	WeinellEntry401	REE_289	sample66_0000000859	TRUE
locus295	REE	LOC106554535	WeinellEntry402	REE_290	sample66_0000000862	TRUE
locus296	REE	ADGRE5	WeinellEntry404	REE_291	sample66_0000000863	TRUE
locus297	REE	ZC3H3	WeinellEntry407	REE_292	sample66_0000000864	TRUE
locus298	REE	LOC106550012	WeinellEntry408	REE_293	sample66_0000000867	TRUE
locus299	REE	RNF135	WeinellEntry410	REE_294	sample66_0000000868	TRUE
locus300	REE	LOC106548324	WeinellEntry411	REE_295	sample66_0000000873	TRUE
locus301	REE	LOC106553252	WeinellEntry412	REE_296	sample66_0000000875	TRUE
locus302	REE	LOC106543763	WeinellEntry413	REE_297	sample66_0000000876	TRUE
locus303	REE	LOC106544111	WeinellEntry415	REE_298	sample66_0000000877	TRUE
locus304	REE	LOC106554975	WeinellEntry417	REE_299	sample66_0000000881	TRUE
locus305	REE	SPN	WeinellEntry418	REE_300	sample66_0000000882	TRUE
locus306	REE	LOC106551828	WeinellEntry419	REE_301	sample66_0000000884	TRUE
locus308	REE	LOC106551567	WeinellEntry421	REE_302	sample66_0000000886	TRUE
locus309	REE	LOC106540642	WeinellEntry423	REE_303	sample66_0000000890	TRUE
locus310	REE	LOC106545923	WeinellEntry424	REE_304	sample66_0000000892	TRUE
locus311	REE	LOC106551353	WeinellEntry425	REE_305	sample66_0000000893	TRUE
locus312	REE	LOC106546339	WeinellEntry426	REE_306	sample66_0000000898	TRUE
locus313	REE	LOC106551579	WeinellEntry427	REE_307	sample66_0000000901	TRUE
locus314	REE	LOC106550174	WeinellEntry428	REE_308	sample66_0000000909	TRUE
locus315	REE	LOC106538737	WeinellEntry429	REE_309	sample66_0000000910	TRUE
locus316	REE	LOC106549778	WeinellEntry430	REE_310	sample66_0000000912	TRUE
locus317	REE	TF	WeinellEntry431	REE_311	sample66_0000000916	TRUE
locus318	REE	LOC106546884	WeinellEntry432	REE_312	sample66_0000000917	TRUE
locus319	REE	LOC106537604	WeinellEntry433	REE_313	sample66_0000000918	TRUE
locus320	REE	LOC106550176	WeinellEntry434	REE_314	sample66_0000000920	TRUE
locus321	REE	LOC106542765	WeinellEntry435	REE_315	sample66_0000000925	TRUE
locus322	REE	ARHGAP25	WeinellEntry436	REE_316	sample66_0000000927	TRUE
locus323	REE	LOC106556259	WeinellEntry438	REE_317	sample66_0000000933	TRUE
locus324	REE	LOC106538800	WeinellEntry439	REE_318	sample66_0000000935	TRUE
locus325	REE	LOC106548379	WeinellEntry440	REE_319	sample66_0000000937	TRUE
locus326	REE	LOC106545215	WeinellEntry441	REE_320	sample66_0000000940	TRUE
locus327	REE	LOC106550159	WeinellEntry443	REE_321	sample66_0000000943	TRUE
locus328	REE	LOC106541620	WeinellEntry444	REE_322	sample66_0000000944	TRUE
locus329	REE	LOC106556266	WeinellEntry445	REE_323	sample66_0000000945	TRUE
locus330	REE	LOC106545764	WeinellEntry446	REE_324	sample66_0000000946	TRUE
locus331	REE	TNRC6A	WeinellEntry447	REE_325	sample66_0000000947	TRUE
locus332	REE	FAM149A	WeinellEntry448	REE_326	sample66_0000000949	TRUE
locus333	REE	LOC106547561	WeinellEntry449	REE_327	sample66_0000000953	TRUE
locus334	REE	PMS2	WeinellEntry451	REE_328	sample66_0000000954	TRUE
locus335	REE	LOC106549418	WeinellEntry452	REE_329	sample66_0000000955	TRUE
locus336	REE	LOC106540858	WeinellEntry453	REE_330	sample66_0000000958	TRUE
locus337	REE	LOC106548765	WeinellEntry454	REE_331	sample66_0000000962	TRUE
locus338	REE	LOC106555726	WeinellEntry456	REE_332	sample66_0000000963	TRUE
locus339	REE	LOC106553755	WeinellEntry457	REE_333	sample66_0000000966	TRUE
