blkID	gen1	gen2	chr1	chr2	startBp1	endBp1	startOrd1	endOrd1	firstGene1	lastGene1	nHits1	nHits2	orient	startBp2	endBp2	startOrd2	endOrd2	firstGene2	lastGene2
blk_SOZL01001318.1_SOZL01001318.1_self	naja	naja	SOZL01001318.1	SOZL01001318.1	46021	184982	22718	22727	0_22590	0_22599	10	10	+	46021	184982	22718	22727	0_22590	0_22599
blk_SOZL01001379.1_SOZL01001379.1_self	naja	naja	SOZL01001379.1	SOZL01001379.1	823	81219	22749	22753	0_22621	0_22625	5	5	+	823	81219	22749	22753	0_22621	0_22625
blk_SOZL01001489.1_SOZL01001489.1_self	naja	naja	SOZL01001489.1	SOZL01001489.1	2015	47184	22786	22791	0_22657	0_22662	6	6	+	2015	47184	22786	22791	0_22657	0_22662
blk_SOZL01001513.1_SOZL01001513.1_self	naja	naja	SOZL01001513.1	SOZL01001513.1	37949	247281	22800	22805	0_22671	0_22676	6	6	+	37949	247281	22800	22805	0_22671	0_22676
blk_SOZL01001525.1_SOZL01001525.1_self	naja	naja	SOZL01001525.1	SOZL01001525.1	918	69887	22809	22819	0_22680	0_22690	11	11	+	918	69887	22809	22819	0_22680	0_22690
blk_SOZL01001587.1_SOZL01001587.1_self	naja	naja	SOZL01001587.1	SOZL01001587.1	23155	58284	22852	22857	0_22722	0_22727	6	6	+	23155	58284	22852	22857	0_22722	0_22727
blk_SOZL01001656.1_SOZL01001656.1_self	naja	naja	SOZL01001656.1	SOZL01001656.1	1546	61768	22889	22895	0_22759	0_22765	7	7	+	1546	61768	22889	22895	0_22759	0_22765
blk_SOZL01001673.1_SOZL01001673.1_self	naja	naja	SOZL01001673.1	SOZL01001673.1	1014	160602	22903	22909	0_22773	0_22779	7	7	+	1014	160602	22903	22909	0_22773	0_22779
blk_SOZL01001721.1_SOZL01001721.1_self	naja	naja	SOZL01001721.1	SOZL01001721.1	8422	321446	22929	22939	0_22798	0_22808	11	11	+	8422	321446	22929	22939	0_22798	0_22808
blk_SOZL01001767.1_SOZL01001767.1_self	naja	naja	SOZL01001767.1	SOZL01001767.1	2890	12226	22965	22970	0_22834	0_22839	6	6	+	2890	12226	22965	22970	0_22834	0_22839
blk_SOZL01001814.1_SOZL01001814.1_self	naja	naja	SOZL01001814.1	SOZL01001814.1	1962	69443	22985	22990	0_22854	0_22859	6	6	+	1962	69443	22985	22990	0_22854	0_22859
blk_SOZL01001854.1_SOZL01001854.1_self	naja	naja	SOZL01001854.1	SOZL01001854.1	7400	748543	23001	23036	0_22869	0_22903	35	35	+	7400	748543	23001	23036	0_22869	0_22903
blk_SOZL01001877.1_SOZL01001877.1_self	naja	naja	SOZL01001877.1	SOZL01001877.1	22920	81441	23047	23053	0_22914	0_22920	7	7	+	22920	81441	23047	23053	0_22914	0_22920
blk_SOZL01001887.1_SOZL01001887.1_self	naja	naja	SOZL01001887.1	SOZL01001887.1	496	178038	23059	23067	0_22926	0_22934	9	9	+	496	178038	23059	23067	0_22926	0_22934
blk_Z_Z_self	naja	naja	Z	Z	26993	154601781	1	2288	0_0	0_2271	2272	2272	+	26993	154601781	1	2288	0_0	0_2271
blk_m10_m10_self	naja	naja	m10	m10	3763	11805232	21299	21648	0_21181	0_21530	349	349	+	3763	11805232	21299	21648	0_21181	0_21530
blk_m11_m11_self	naja	naja	m11	m11	1420	10756151	21649	21957	0_21531	0_21839	309	309	+	1420	10756151	21649	21957	0_21531	0_21839
blk_m1_m1_self	naja	naja	m1	m1	174640	31951949	6623	7129	0_6586	0_7090	505	505	+	174640	31951949	6623	7129	0_6586	0_7090
blk_m2_m2_self	naja	naja	m2	m2	19	30264146	10957	11313	0_10894	0_11248	355	355	+	19	30264146	10957	11313	0_10894	0_11248
blk_m3_m3_self	naja	naja	m3	m3	44929	29920563	13832	14548	0_13748	0_14460	713	713	+	44929	29920563	13832	14548	0_13748	0_14460
blk_m4_m4_self	naja	naja	m4	m4	248147	25963048	16606	17031	0_16504	0_16927	424	424	+	248147	25963048	16606	17031	0_16504	0_16927
blk_m5_m5_self	naja	naja	m5	m5	22530	25088079	17806	18186	0_17699	0_18079	381	381	+	22530	25088079	17806	18186	0_17699	0_18079
blk_m6_m6_self	naja	naja	m6	m6	3587	23262710	18676	19127	0_18567	0_19016	450	450	+	3587	23262710	18676	19127	0_18567	0_19016
blk_m7_m7_self	naja	naja	m7	m7	12346	20032170	19896	20362	0_19783	0_20248	466	466	+	12346	20032170	19896	20362	0_19783	0_20248
blk_m8_m8_self	naja	naja	m8	m8	1358	17409973	20363	20829	0_20249	0_20712	464	464	+	1358	17409973	20363	20829	0_20249	0_20712
blk_m9_m9_self	naja	naja	m9	m9	112822	15317567	20830	21298	0_20713	0_21180	468	468	+	112822	15317567	20830	21298	0_20713	0_21180
blk_SOZL01001148.1_SOZL01001148.1_self	naja	naja	SOZL01001148.1	SOZL01001148.1	3839	53781	22647	22651	0_22519	0_22523	5	5	-	53781	3839	22651	22647	0_22523	0_22519
blk_SOZL01001539.1_SOZL01001539.1_self	naja	naja	SOZL01001539.1	SOZL01001539.1	4812	45828	22828	22833	0_22698	0_22703	6	6	-	45828	4812	22833	22828	0_22703	0_22698
blk_10_10_self	thamnophis	thamnophis	10	10	102266	71704715	14644	15430	1_11724	1_12361	638	638	+	102266	71704715	14644	15430	1_11724	1_12361
blk_11_11_self	thamnophis	thamnophis	11	11	14377	71291724	15431	16018	1_12362	1_12820	459	459	+	14377	71291724	15431	16018	1_12362	1_12820
blk_12_12_self	thamnophis	thamnophis	12	12	7322	60626081	16019	17044	1_12821	1_13681	861	861	+	7322	60626081	16019	17044	1_12821	1_13681
blk_13_13_self	thamnophis	thamnophis	13	13	17727	50566046	17046	17920	1_13682	1_14360	679	679	+	17727	50566046	17046	17920	1_13682	1_14360
blk_14_14_self	thamnophis	thamnophis	14	14	29	49386711	17921	18758	1_14361	1_15022	662	662	+	29	49386711	17921	18758	1_14361	1_15022
blk_15_15_self	thamnophis	thamnophis	15	15	9802	48741279	18759	19323	1_15023	1_15494	472	472	+	9802	48741279	18759	19323	1_15023	1_15494
blk_16_16_self	thamnophis	thamnophis	16	16	4	39670254	19325	20114	1_15495	1_16146	652	652	+	4	39670254	19325	20114	1_15495	1_16146
blk_17_17_self	thamnophis	thamnophis	17	17	36221	17154267	20118	20636	1_16147	1_16549	403	403	+	36221	17154267	20118	20636	1_16147	1_16549
blk_1_1_self	thamnophis	thamnophis	1	1	2408	186683008	2450	4572	1_2027	1_3742	1716	1716	+	2408	186683008	2450	4572	1_2027	1_3742
blk_2_2_self	thamnophis	thamnophis	2	2	57356	174749275	4575	7272	1_3743	1_5906	2164	2164	+	57356	174749275	4575	7272	1_3743	1_5906
blk_3_3_self	thamnophis	thamnophis	3	3	333072	151950243	7273	8659	1_5907	1_7026	1120	1120	+	333072	151950243	7273	8659	1_5907	1_7026
blk_4_4_self	thamnophis	thamnophis	4	4	191787	142711423	8663	10150	1_7027	1_8152	1126	1126	+	191787	142711423	8663	10150	1_7027	1_8152
blk_5_5_self	thamnophis	thamnophis	5	5	259129	100837749	10154	11290	1_8153	1_9038	886	886	+	259129	100837749	10154	11290	1_8153	1_9038
blk_6_6_self	thamnophis	thamnophis	6	6	4	88390483	11291	12204	1_9039	1_9760	722	722	+	4	88390483	11291	12204	1_9039	1_9760
blk_7_7_self	thamnophis	thamnophis	7	7	30482	85881478	12205	13158	1_9761	1_10543	783	783	+	30482	85881478	12205	13158	1_9761	1_10543
blk_8_8_self	thamnophis	thamnophis	8	8	1105391	80807616	13163	13971	1_10544	1_11188	645	645	+	1105391	80807616	13163	13971	1_10544	1_11188
blk_9_9_self	thamnophis	thamnophis	9	9	4463	77610641	13972	14642	1_11189	1_11723	535	535	+	4463	77610641	13972	14642	1_11189	1_11723
blk_NW_022473575.1_NW_022473575.1_self	thamnophis	thamnophis	NW_022473575.1	NW_022473575.1	3331	180340	20639	20647	1_16552	1_16560	9	9	+	3331	180340	20639	20647	1_16552	1_16560
blk_NW_022473583.1_NW_022473583.1_self	thamnophis	thamnophis	NW_022473583.1	NW_022473583.1	24800	136865	20654	20660	1_16565	1_16569	5	5	+	24800	136865	20654	20660	1_16565	1_16569
blk_NW_022473609.1_NW_022473609.1_self	thamnophis	thamnophis	NW_022473609.1	NW_022473609.1	5718	72343	20706	20712	1_16606	1_16612	7	7	+	5718	72343	20706	20712	1_16606	1_16612
blk_NW_022473861.1_NW_022473861.1_self	thamnophis	thamnophis	NW_022473861.1	NW_022473861.1	14476	987450	20899	20921	1_16764	1_16786	23	23	+	14476	987450	20899	20921	1_16764	1_16786
blk_NW_022473894.1_NW_022473894.1_self	thamnophis	thamnophis	NW_022473894.1	NW_022473894.1	10547	384105	20940	20947	1_16802	1_16807	6	6	+	10547	384105	20940	20947	1_16802	1_16807
blk_NW_022473897.1_NW_022473897.1_self	thamnophis	thamnophis	NW_022473897.1	NW_022473897.1	57893	1524833	20950	20961	1_16809	1_16820	12	12	+	57893	1524833	20950	20961	1_16809	1_16820
blk_NW_022473899.1_NW_022473899.1_self	thamnophis	thamnophis	NW_022473899.1	NW_022473899.1	1884	473844	20962	20991	1_16821	1_16849	29	29	+	1884	473844	20962	20991	1_16821	1_16849
blk_NW_022473906.1_NW_022473906.1_self	thamnophis	thamnophis	NW_022473906.1	NW_022473906.1	23176	384323	21012	21025	1_16864	1_16875	12	12	+	23176	384323	21012	21025	1_16864	1_16875
blk_NW_022473910.1_NW_022473910.1_self	thamnophis	thamnophis	NW_022473910.1	NW_022473910.1	4597	256357	21029	21043	1_16879	1_16889	11	11	+	4597	256357	21029	21043	1_16879	1_16889
blk_NW_022473913.1_NW_022473913.1_self	thamnophis	thamnophis	NW_022473913.1	NW_022473913.1	1193	263208	21047	21052	1_16892	1_16896	5	5	+	1193	263208	21047	21052	1_16892	1_16896
blk_NW_022473916.1_NW_022473916.1_self	thamnophis	thamnophis	NW_022473916.1	NW_022473916.1	789	206195	21059	21070	1_16902	1_16913	11	11	+	789	206195	21059	21070	1_16902	1_16913
blk_NW_022473918.1_NW_022473918.1_self	thamnophis	thamnophis	NW_022473918.1	NW_022473918.1	198	190735	21075	21080	1_16916	1_16921	6	6	+	198	190735	21075	21080	1_16916	1_16921
blk_Z_Z_self	thamnophis	thamnophis	Z	Z	728	145120677	1	2449	1_0	1_2026	2026	2026	+	728	145120677	1	2449	1_0	1_2026
blk_NW_022473900.1_NW_022473900.1_self	thamnophis	thamnophis	NW_022473900.1	NW_022473900.1	18729	819372	20993	21001	1_16850	1_16855	6	6	-	819372	18729	21001	20993	1_16855	1_16850
naja_thamnophis_naja_thamnophis_1_1_1_1_0	naja	thamnophis	1	1	181027879	372298386	4276	6531	0_4251	0_6494	1801	1496	+	444316	185857386	2471	4537	1_2045	1_3709
naja_thamnophis_naja_thamnophis_1_1_2_1_0	naja	thamnophis	1	1	374263341	374759331	6584	6615	0_6547	0_6578	22	23	+	186193949	186683008	4545	4572	1_3717	1_3742
naja_thamnophis_naja_thamnophis_1_3_1_1_0	naja	thamnophis	1	3	144629105	180799454	3884	4268	0_3861	0_4243	301	255	+	333072	36491354	7273	7593	1_5907	1_6167
naja_thamnophis_naja_thamnophis_1_NW_022473609.1_1_1_0	naja	thamnophis	1	NW_022473609.1	374036243	374107698	6569	6575	0_6532	0_6538	7	7	+	5718	72343	20706	20712	1_16606	1_16612
naja_thamnophis_naja_thamnophis_2_2_1_1_0	naja	thamnophis	2	2	188946091	189949668	9713	9732	0_9659	0_9677	17	11	+	424795	776593	4581	4592	1_3748	1_3758
naja_thamnophis_naja_thamnophis_2_2_1_3_0	naja	thamnophis	2	2	163903679	168855578	9230	9303	0_9177	0_9250	62	55	+	20308669	24858275	4987	5053	1_4094	1_4151
naja_thamnophis_naja_thamnophis_2_3_1_1_0	naja	thamnophis	2	3	190451386	306952829	9739	10900	0_9684	0_10837	910	748	+	36593893	149478535	7595	8606	1_6169	1_6980
naja_thamnophis_naja_thamnophis_2_3_1_3_0	naja	thamnophis	2	3	308494650	308945369	10911	10929	0_10848	0_10866	15	16	+	149967212	150616846	8629	8647	1_6997	1_7015
naja_thamnophis_naja_thamnophis_3_11_1_1_0	naja	thamnophis	3	11	102235846	119971650	12569	12790	0_12497	0_12715	150	124	+	14377	16340034	15431	15607	1_12362	1_12498
naja_thamnophis_naja_thamnophis_3_6_1_1_0	naja	thamnophis	3	6	120399078	139262010	12795	12991	0_12720	0_12916	153	144	+	67398757	85789302	12010	12201	1_9610	1_9757
naja_thamnophis_naja_thamnophis_3_8_1_1_0	naja	thamnophis	3	8	142297804	223829449	12996	13826	0_12921	0_13742	645	584	+	1212076	80807616	13164	13971	1_10545	1_11188
naja_thamnophis_naja_thamnophis_4_10_1_1_0	naja	thamnophis	4	10	116059736	189623584	15749	16589	0_15652	0_16487	681	595	+	102266	71704715	14644	15430	1_11724	1_12361
naja_thamnophis_naja_thamnophis_4_15_1_2_0	naja	thamnophis	4	15	91137692	93798259	15488	15512	0_15393	0_15417	18	15	+	14689895	17738111	19065	19083	1_15279	1_15294
naja_thamnophis_naja_thamnophis_4_15_1_3_0	naja	thamnophis	4	15	95913692	99924404	15539	15569	0_15444	0_15474	22	19	+	17754824	21705600	19084	19108	1_15295	1_15314
naja_thamnophis_naja_thamnophis_4_15_1_5_0	naja	thamnophis	4	15	93831061	95847590	15514	15537	0_15419	0_15442	21	20	+	30220014	33046378	19177	19200	1_15371	1_15393
naja_thamnophis_naja_thamnophis_4_15_1_6_0	naja	thamnophis	4	15	104142593	115454053	15621	15745	0_15526	0_15648	102	93	+	37432353	48741279	19211	19323	1_15398	1_15494
naja_thamnophis_naja_thamnophis_4_9_1_2_0	naja	thamnophis	4	9	9455268	57377773	14662	15136	0_14574	0_15043	330	288	+	6493387	56467276	14043	14449	1_11250	1_11558
naja_thamnophis_naja_thamnophis_4_9_1_4_0	naja	thamnophis	4	9	79398019	82717348	15357	15381	0_15263	0_15287	20	19	+	58867557	62099179	14476	14497	1_11583	1_11603
naja_thamnophis_naja_thamnophis_4_9_1_6_0	naja	thamnophis	4	9	68056915	70054191	15230	15252	0_15137	0_15158	20	21	+	66313803	68273092	14533	14558	1_11629	1_11653
naja_thamnophis_naja_thamnophis_6_11_1_1_0	naja	thamnophis	6	11	2767194	53825279	18216	18674	0_18109	0_18565	359	298	+	16732885	71291724	15608	16018	1_12499	1_12820
naja_thamnophis_naja_thamnophis_7_7_1_2_0	naja	thamnophis	7	7	85526	4890914	19129	19207	0_19018	0_19096	47	36	+	48454668	54713193	12831	12881	1_10279	1_10316
naja_thamnophis_naja_thamnophis_SOZL01000198.1_Z_1_1_0	naja	thamnophis	SOZL01000198.1	Z	2980	32253	22220	22225	0_22094	0_22099	6	6	+	144245550	144271745	2385	2391	1_1971	1_1976
naja_thamnophis_naja_thamnophis_Z_Z_1_1_0	naja	thamnophis	Z	Z	416905	90407510	11	1036	0_10	0_1024	656	481	+	2010247	85484673	79	739	1_63	1_597
naja_thamnophis_naja_thamnophis_Z_Z_1_2_0	naja	thamnophis	Z	Z	96995359	150926698	1196	2264	0_1183	0_2247	855	1051	+	92628339	143601056	873	2363	1_708	1_1953
naja_thamnophis_naja_thamnophis_m10_16_1_3_0	naja	thamnophis	m10	16	1832919	4420324	21361	21417	0_21243	0_21299	36	33	+	29810271	33326113	19864	19906	1_15940	1_15976
naja_thamnophis_naja_thamnophis_m10_16_1_4_0	naja	thamnophis	m10	16	6810642	9217907	21523	21599	0_21405	0_21481	44	43	+	33364782	36127513	19908	19981	1_15978	1_16025
naja_thamnophis_naja_thamnophis_m10_16_1_6_0	naja	thamnophis	m10	16	4416145	6671728	21418	21520	0_21300	0_21402	84	85	+	37285166	39635818	20009	20112	1_16050	1_16144
naja_thamnophis_naja_thamnophis_m11_15_1_2_0	naja	thamnophis	m11	15	359156	532744	21666	21677	0_21548	0_21559	8	7	+	1651199	1873669	18819	18827	1_15076	1_15083
naja_thamnophis_naja_thamnophis_m11_15_1_3_0	naja	thamnophis	m11	15	4041693	8551688	21735	21865	0_21617	0_21747	85	81	+	1957419	7729540	18832	18942	1_15086	1_15172
naja_thamnophis_naja_thamnophis_m1_13_1_1_0	naja	thamnophis	m1	13	184894	31951949	6624	7129	0_6587	0_7090	381	347	+	18954590	50566046	17471	17920	1_13981	1_14360
naja_thamnophis_naja_thamnophis_m4_14_1_1_0	naja	thamnophis	m4	14	411250	25486189	16609	17013	0_16507	0_16909	330	308	+	22639908	49386711	18350	18758	1_14693	1_15022
naja_thamnophis_naja_thamnophis_m4_1_1_1_0	naja	thamnophis	m4	1	25495437	25963048	17014	17030	0_16910	0_16926	14	13	+	2408	424303	2450	2470	1_2027	1_2044
naja_thamnophis_naja_thamnophis_m5_12_1_2_0	naja	thamnophis	m5	12	1105176	3274270	17831	17857	0_17724	0_17750	22	19	+	34301660	36146547	16708	16731	1_13401	1_13421
naja_thamnophis_naja_thamnophis_m5_12_1_4_0	naja	thamnophis	m5	12	4714877	19749804	17884	18052	0_17777	0_17945	129	114	+	39015887	54375986	16755	16910	1_13442	1_13573
naja_thamnophis_naja_thamnophis_m6_16_1_1_0	naja	thamnophis	m6	16	62109	23262710	18677	19127	0_18568	0_19016	348	340	+	4	25451829	19325	19765	1_15495	1_15862
naja_thamnophis_naja_thamnophis_m7_14_1_2_0	naja	thamnophis	m7	14	12155563	13054913	20104	20119	0_19990	0_20005	16	17	+	7577908	8688016	18145	18163	1_14543	1_14559
naja_thamnophis_naja_thamnophis_m8_13_1_1_0	naja	thamnophis	m8	13	268852	16123953	20379	20820	0_20265	0_20703	309	279	+	17727	18914532	17046	17470	1_13682	1_13980
naja_thamnophis_naja_thamnophis_m9_17_1_1_0	naja	thamnophis	m9	17	2737929	3298608	20856	20873	0_20739	0_20756	13	12	+	36221	488737	20118	20131	1_16147	1_16159
naja_thamnophis_naja_thamnophis_m9_17_2_2_0	naja	thamnophis	m9	17	10838302	11072303	21091	21111	0_20974	0_20994	12	10	+	4845902	5175900	20282	20303	1_16288	1_16309
naja_thamnophis_naja_thamnophis_m9_17_3_2_0	naja	thamnophis	m9	17	4446163	4983301	20912	20926	0_20795	0_20809	12	12	+	12500452	13111826	20556	20570	1_16506	1_16517
naja_thamnophis_naja_thamnophis_m9_17_5_1_0	naja	thamnophis	m9	17	445556	633921	20832	20840	0_20715	0_20723	8	9	+	10758310	10930038	20494	20505	1_16456	1_16467
naja_thamnophis_naja_thamnophis_1_4_1_1_0	naja	thamnophis	1	4	450073	143729201	2301	3881	0_2284	0_3858	1224	1044	-	142711423	191787	10150	8663	1_8152	1_7027
naja_thamnophis_naja_thamnophis_2_2_1_2_0	naja	thamnophis	2	2	168868907	188823417	9304	9712	0_9251	0_9658	337	309	-	20260202	907417	4986	4596	1_4093	1_3761
naja_thamnophis_naja_thamnophis_2_2_1_4_0	naja	thamnophis	2	2	8851999	163714768	7239	9228	0_7200	0_9175	1579	1432	-	171733699	24986070	7191	5055	1_5839	1_4152
naja_thamnophis_naja_thamnophis_2_3_1_2_0	naja	thamnophis	2	3	308950837	309298334	10931	10951	0_10868	0_10888	15	14	-	149857112	149483534	8625	8608	1_6996	1_6982
naja_thamnophis_naja_thamnophis_2_3_1_4_0	naja	thamnophis	2	3	306970823	308368701	10902	10908	0_10839	0_10845	6	6	-	151904722	150654344	8658	8648	1_7025	1_7016
naja_thamnophis_naja_thamnophis_2_NW_022473899.1_1_1_0	naja	thamnophis	2	NW_022473899.1	1859971	2774857	7168	7187	0_7129	0_7148	16	9	-	438093	332255	20988	20980	1_16847	1_16839
naja_thamnophis_naja_thamnophis_3_5_1_1_0	naja	thamnophis	3	5	403503	101895576	11327	12561	0_11262	0_12489	935	830	-	100837749	259129	11290	10154	1_9038	1_8153
naja_thamnophis_naja_thamnophis_4_15_1_1_0	naja	thamnophis	4	15	99961408	103901407	15570	15619	0_15475	0_15524	45	36	-	14676250	10700917	19064	19021	1_15278	1_15241
naja_thamnophis_naja_thamnophis_4_15_1_4_0	naja	thamnophis	4	15	82760225	90607206	15383	15480	0_15289	0_15385	81	53	-	30206469	21957246	19176	19110	1_15370	1_15316
naja_thamnophis_naja_thamnophis_4_9_1_1_0	naja	thamnophis	4	9	2767500	9301857	14576	14659	0_14488	0_14571	54	49	-	5333006	4463	14042	13972	1_11249	1_11189
naja_thamnophis_naja_thamnophis_4_9_1_3_0	naja	thamnophis	4	9	75669936	77798737	15292	15328	0_15198	0_15234	19	14	-	58671964	56989975	14473	14456	1_11580	1_11564
naja_thamnophis_naja_thamnophis_4_9_1_5_0	naja	thamnophis	4	9	70308294	74111743	15258	15285	0_15164	0_15191	25	23	-	66201100	63095835	14530	14503	1_11627	1_11605
naja_thamnophis_naja_thamnophis_4_9_1_7_0	naja	thamnophis	4	9	57881495	67819409	15140	15228	0_15047	0_15135	62	53	-	77052913	68399778	14630	14561	1_11711	1_11655
naja_thamnophis_naja_thamnophis_4_9_1_8_0	naja	thamnophis	4	9	78556164	78888698	15340	15351	0_15246	0_15257	12	12	-	77610641	77297504	14642	14631	1_11723	1_11712
naja_thamnophis_naja_thamnophis_5_6_1_1_0	naja	thamnophis	5	6	178529	62402776	17034	17793	0_16930	0_17686	581	515	-	63854554	4	12000	11291	1_9603	1_9039
naja_thamnophis_naja_thamnophis_7_7_1_1_0	naja	thamnophis	7	7	4964249	53642419	19208	19893	0_19097	0_19780	542	467	-	48317370	30482	12829	12205	1_10278	1_9761
naja_thamnophis_naja_thamnophis_Z_Z_1_3_0	naja	thamnophis	Z	Z	90537520	95295539	1041	1160	0_1029	0_1147	84	78	-	90882447	85539561	843	741	1_684	1_598
naja_thamnophis_naja_thamnophis_Z_Z_1_4_0	naja	thamnophis	Z	Z	95428048	96961306	1163	1194	0_1150	0_1181	26	22	-	92280138	90843293	869	843	1_705	1_684
