locus	chr	location
group1549	2	chr2_outer
group1582	2	chr2_outer
group1749	2	chr2_outer
group1751	2	chr2_outer
group1755	2	chr2_outer
group1765	2	chr2_outer
group1786	2	chr2_outer
group1811	2	chr2_outer
group1843	2	chr2_outer
group1868	2	chr2_outer
group1871	2	chr2_outer
group1873	2	chr2_outer
group1918	2	chr2_outer
group1956	2	chr2_outer
group1964	2	chr2_outer
group1973	2	chr2_outer
group1976	2	chr2_outer
group1980	2	chr2_outer
group2001	2	chr2_outer
group2008	2	chr2_outer
group2010	2	chr2_outer
group2015	2	chr2_outer
group2044	2	chr2_outer
group2046	2	chr2_outer
group2053	2	chr2_outer
group2079	2	chr2_outer
group2093	2	chr2_outer
group2098	2	chr2_outer
group2112	2	chr2_outer
group2162	2	chr2_outer
group2249	2	chr2_outer
group2250	2	chr2_outer
group2328	2	chr2_outer
group2335	2	chr2_outer
group2340	2	chr2_outer
group2357	2	chr2_outer
group2389	2	chr2_outer
group2416	2	chr2_outer
group2432	2	chr2_outer
group2449	2	chr2_outer
group2494	2	chr2_outer
group2507	2	chr2_outer
group2537	2	chr2_outer
group2563	2	chr2_outer
group2584	2	chr2_outer
group2600	2	chr2_outer
group2648	2	chr2_outer
group2654	2	chr2_outer
group2663	2	chr2_outer
group2669	2	chr2_outer
group2681	2	chr2_outer
group2688	2	chr2_outer
group2700	2	chr2_outer
group2713	2	chr2_outer
group2720	2	chr2_outer
group2776	2	chr2_outer
group2777	2	chr2_outer
group2784	2	chr2_outer
group2792	2	chr2_outer
group2815	2	chr2_outer
group2866	2	chr2_outer
group2870	2	chr2_outer
group2882	2	chr2_outer
group2907	2	chr2_outer
group2911	2	chr2_outer
group2914	2	chr2_outer
group2922	2	chr2_outer
group2926	2	chr2_outer
group2928	2	chr2_outer
group2948	2	chr2_outer
group2988	2	chr2_outer
group2996	2	chr2_outer
group3028	2	chr2_outer
group3034	2	chr2_outer
group3042	2	chr2_outer
group3048	2	chr2_outer
group3080	2	chr2_outer
group3089	2	chr2_outer
group3106	2	chr2_outer
group19	2	chr2_outer
group27	2	chr2_outer
group44	2	chr2_outer
group79	2	chr2_outer
group88	2	chr2_outer
group127	2	chr2_outer
group163	2	chr2_outer
group219	2	chr2_outer
group299	2	chr2_outer
group375	2	chr2_outer
group434	2	chr2_outer
group441	2	chr2_outer
group467	2	chr2_outer
group497	2	chr2_outer
group498	2	chr2_outer
group521	2	chr2_outer
group638	2	chr2_outer
group655	2	chr2_outer
group662	2	chr2_outer
group726	2	chr2_outer
group729	2	chr2_outer
group752	2	chr2_outer
group758	2	chr2_outer
group796	2	chr2_outer
group808	2	chr2_outer
group818	2	chr2_outer
group843	2	chr2_outer
group847	2	chr2_outer
group876	2	chr2_outer
group904	2	chr2_outer
group907	2	chr2_outer
group909	2	chr2_outer
group917	2	chr2_outer
group928	2	chr2_outer
group984	2	chr2_outer
group991	2	chr2_outer
group1027	2	chr2_outer
group1034	2	chr2_outer
group1057	2	chr2_outer
group1075	2	chr2_outer
group1095	2	chr2_outer
group1107	2	chr2_outer
group1130	2	chr2_outer
group1131	2	chr2_outer
group1145	2	chr2_outer
group1151	2	chr2_outer
group1154	2	chr2_outer
group1210	2	chr2_outer
group1214	2	chr2_outer
group1220	2	chr2_outer
group1267	2	chr2_outer
group1281	2	chr2_outer
group1283	2	chr2_outer
group1315	2	chr2_outer
group1324	2	chr2_outer
group1331	2	chr2_outer
group1352	2	chr2_outer
group1354	2	chr2_outer
group1357	2	chr2_outer
group1374	2	chr2_outer
group1404	2	chr2_outer
group1428	2	chr2_outer
group1440	2	chr2_outer
group1565	2	chr2_outer
group1591	2	chr2_outer
group1601	2	chr2_outer
group1634	2	chr2_outer
group1819	2	chr2_outer
group1827	2	chr2_outer
group1841	2	chr2_outer
group1969	2	chr2_outer
group2055	2	chr2_outer
group2092	2	chr2_outer
group2239	2	chr2_outer
group2256	2	chr2_outer
group2309	2	chr2_outer
group2372	2	chr2_outer
group2446	2	chr2_outer
group2478	2	chr2_outer
group2578	2	chr2_outer
group2793	2	chr2_outer
group3040	2	chr2_outer
group3045	2	chr2_outer
group3061	2	chr2_outer
group101	3	chr3_outer
group119	3	chr3_outer
group162	3	chr3_outer
group289	3	chr3_outer
group295	3	chr3_outer
group298	3	chr3_outer
group322	3	chr3_outer
group325	3	chr3_outer
group370	3	chr3_outer
group397	3	chr3_outer
group458	3	chr3_outer
group564	3	chr3_outer
group588	3	chr3_outer
group702	3	chr3_outer
group763	3	chr3_outer
group892	3	chr3_outer
group940	3	chr3_outer
group1082	3	chr3_outer
group1165	3	chr3_outer
group1274	3	chr3_outer
group1321	3	chr3_outer
group1348	3	chr3_outer
group1369	3	chr3_outer
group1373	3	chr3_outer
group1400	3	chr3_outer
group1520	3	chr3_outer
group1559	3	chr3_outer
group1592	3	chr3_outer
group1663	3	chr3_outer
group1664	3	chr3_outer
group1763	3	chr3_outer
group1822	3	chr3_outer
group1838	3	chr3_outer
group1860	3	chr3_outer
group1958	3	chr3_outer
group2273	3	chr3_outer
group2305	3	chr3_outer
group2332	3	chr3_outer
group2353	3	chr3_outer
group2359	3	chr3_outer
group2405	3	chr3_outer
group2421	3	chr3_outer
group2448	3	chr3_outer
group2471	3	chr3_outer
group2534	3	chr3_outer
group2760	3	chr3_outer
group2892	3	chr3_outer
group3013	3	chr3_outer
group3021	3	chr3_outer
group3064	3	chr3_outer
group38	3	chr3_outer
group166	3	chr3_outer
group242	3	chr3_outer
group259	3	chr3_outer
group297	3	chr3_outer
group417	3	chr3_outer
group444	3	chr3_outer
group461	3	chr3_outer
group465	3	chr3_outer
group478	3	chr3_outer
group616	3	chr3_outer
group632	3	chr3_outer
group647	3	chr3_outer
group663	3	chr3_outer
group668	3	chr3_outer
group686	3	chr3_outer
group694	3	chr3_outer
group706	3	chr3_outer
group707	3	chr3_outer
group721	3	chr3_outer
group730	3	chr3_outer
group745	3	chr3_outer
group762	3	chr3_outer
group776	3	chr3_outer
group780	3	chr3_outer
group782	3	chr3_outer
group786	3	chr3_outer
group788	3	chr3_outer
group793	3	chr3_outer
group801	3	chr3_outer
group819	3	chr3_outer
group846	3	chr3_outer
group859	3	chr3_outer
group901	3	chr3_outer
group912	3	chr3_outer
group926	3	chr3_outer
group952	3	chr3_outer
group962	3	chr3_outer
group974	3	chr3_outer
group1000	3	chr3_outer
group1007	3	chr3_outer
group1021	3	chr3_outer
group1026	3	chr3_outer
group1097	3	chr3_outer
group1115	3	chr3_outer
group1121	3	chr3_outer
group1170	3	chr3_outer
group1172	3	chr3_outer
group1175	3	chr3_outer
group1203	3	chr3_outer
group1231	3	chr3_outer
group1263	3	chr3_outer
group1271	3	chr3_outer
group1273	3	chr3_outer
group1295	3	chr3_outer
group1326	3	chr3_outer
group1333	3	chr3_outer
group1349	3	chr3_outer
group1387	3	chr3_outer
group1392	3	chr3_outer
group1407	3	chr3_outer
group1436	3	chr3_outer
group1443	3	chr3_outer
group1471	3	chr3_outer
group1475	3	chr3_outer
group1530	3	chr3_outer
group1560	3	chr3_outer
group1566	3	chr3_outer
group1632	3	chr3_outer
group1656	3	chr3_outer
group1670	3	chr3_outer
group1699	3	chr3_outer
group1700	3	chr3_outer
group1762	3	chr3_outer
group1807	3	chr3_outer
group1872	3	chr3_outer
group1923	3	chr3_outer
group1955	3	chr3_outer
group2030	3	chr3_outer
group2039	3	chr3_outer
group2110	3	chr3_outer
group2169	3	chr3_outer
group2171	3	chr3_outer
group2367	3	chr3_outer
group2492	3	chr3_outer
group2538	3	chr3_outer
group2753	3	chr3_outer
group2827	3	chr3_outer
group2877	3	chr3_outer
group2903	3	chr3_outer
group2954	3	chr3_outer
group2975	3	chr3_outer
group3011	3	chr3_outer
group3031	3	chr3_outer
group11	4	chr4_outer
group168	4	chr4_outer
group225	4	chr4_outer
group396	4	chr4_outer
group479	4	chr4_outer
group513	4	chr4_outer
group532	4	chr4_outer
group584	4	chr4_outer
group674	4	chr4_outer
group761	4	chr4_outer
group784	4	chr4_outer
group785	4	chr4_outer
group885	4	chr4_outer
group992	4	chr4_outer
group994	4	chr4_outer
group1052	4	chr4_outer
group1155	4	chr4_outer
group1160	4	chr4_outer
group1260	4	chr4_outer
group1269	4	chr4_outer
group1347	4	chr4_outer
group1381	4	chr4_outer
group1390	4	chr4_outer
group1448	4	chr4_outer
group1454	4	chr4_outer
group1556	4	chr4_outer
group1564	4	chr4_outer
group1668	4	chr4_outer
group1788	4	chr4_outer
group1852	4	chr4_outer
group1911	4	chr4_outer
group1921	4	chr4_outer
group2031	4	chr4_outer
group2070	4	chr4_outer
group2135	4	chr4_outer
group2244	4	chr4_outer
group2361	4	chr4_outer
group2412	4	chr4_outer
group2799	4	chr4_outer
group2940	4	chr4_outer
group160	4	chr4_outer
group211	4	chr4_outer
group237	4	chr4_outer
group378	4	chr4_outer
group469	4	chr4_outer
group598	4	chr4_outer
group696	4	chr4_outer
group715	4	chr4_outer
group773	4	chr4_outer
group839	4	chr4_outer
group903	4	chr4_outer
group958	4	chr4_outer
group1015	4	chr4_outer
group1047	4	chr4_outer
group1080	4	chr4_outer
group1146	4	chr4_outer
group1197	4	chr4_outer
group1215	4	chr4_outer
group1233	4	chr4_outer
group1318	4	chr4_outer
group1335	4	chr4_outer
group1393	4	chr4_outer
group1445	4	chr4_outer
group1452	4	chr4_outer
group1460	4	chr4_outer
group1463	4	chr4_outer
group1476	4	chr4_outer
group1515	4	chr4_outer
group1562	4	chr4_outer
group1586	4	chr4_outer
group1633	4	chr4_outer
group1784	4	chr4_outer
group1925	4	chr4_outer
group2077	4	chr4_outer
group2082	4	chr4_outer
group2142	4	chr4_outer
group2233	4	chr4_outer
group2243	4	chr4_outer
group2264	4	chr4_outer
group2409	4	chr4_outer
group2583	4	chr4_outer
group2608	4	chr4_outer
group2613	4	chr4_outer
group2653	4	chr4_outer
group2702	4	chr4_outer
group2717	4	chr4_outer
group2890	4	chr4_outer
group3054	4	chr4_outer
group3102	4	chr4_outer
group524	5	chr5_outer
group619	5	chr5_outer
group684	5	chr5_outer
group690	5	chr5_outer
group749	5	chr5_outer
group751	5	chr5_outer
group1043	5	chr5_outer
group1059	5	chr5_outer
group1280	5	chr5_outer
group1431	5	chr5_outer
group1512	5	chr5_outer
group1572	5	chr5_outer
group1715	5	chr5_outer
group2209	5	chr5_outer
group2339	5	chr5_outer
group2369	5	chr5_outer
group2734	5	chr5_outer
group2856	5	chr5_outer
group9	5	chr5_outer
group59	5	chr5_outer
group121	5	chr5_outer
group141	5	chr5_outer
group234	5	chr5_outer
group468	5	chr5_outer
group493	5	chr5_outer
group1011	5	chr5_outer
group1551	5	chr5_outer
group1603	5	chr5_outer
group1716	5	chr5_outer
group1791	5	chr5_outer
group1835	5	chr5_outer
group1896	5	chr5_outer
group2136	5	chr5_outer
group2140	5	chr5_outer
group2266	5	chr5_outer
group2288	5	chr5_outer
group2348	5	chr5_outer
group2354	5	chr5_outer
group2473	5	chr5_outer
group2516	5	chr5_outer
group2587	5	chr5_outer
group2643	5	chr5_outer
group2656	5	chr5_outer
group2952	5	chr5_outer
group3025	5	chr5_outer
group1020	6	chr6_outer
group1288	6	chr6_outer
group1557	6	chr6_outer
group1621	6	chr6_outer
group1622	6	chr6_outer
group1900	6	chr6_outer
group1916	6	chr6_outer
group2232	6	chr6_outer
group2879	6	chr6_outer
group16	6	chr6_outer
group115	6	chr6_outer
group689	6	chr6_outer
group884	6	chr6_outer
group934	6	chr6_outer
group941	6	chr6_outer
group1584	6	chr6_outer
group2258	6	chr6_outer
group2360	6	chr6_outer
group2371	6	chr6_outer
group2452	6	chr6_outer
group2555	6	chr6_outer
group2561	6	chr6_outer
group2626	6	chr6_outer
group2726	6	chr6_outer
group2749	6	chr6_outer
group2772	6	chr6_outer
group2919	6	chr6_outer
group3009	6	chr6_outer
group3020	6	chr6_outer
group3085	6	chr6_outer
group73	7	chr7_outer
group583	7	chr7_outer
group741	7	chr7_outer
group1246	7	chr7_outer
group1256	7	chr7_outer
group1456	7	chr7_outer
group1457	7	chr7_outer
group1718	7	chr7_outer
group1886	7	chr7_outer
group2165	7	chr7_outer
group40	7	chr7_outer
group65	7	chr7_outer
group218	7	chr7_outer
group339	7	chr7_outer
group456	7	chr7_outer
group817	7	chr7_outer
group899	7	chr7_outer
group913	7	chr7_outer
group985	7	chr7_outer
group1010	7	chr7_outer
group1528	7	chr7_outer
group1619	7	chr7_outer
group1930	7	chr7_outer
group1971	7	chr7_outer
group2016	7	chr7_outer
group2058	7	chr7_outer
group2410	7	chr7_outer
group2411	7	chr7_outer
group2575	7	chr7_outer
group2733	7	chr7_outer
group3070	7	chr7_outer
group3072	7	chr7_outer
group76	m1	chrm1_outer
group89	m1	chrm1_outer
group117	m1	chrm1_outer
group313	m1	chrm1_outer
group368	m1	chrm1_outer
group528	m1	chrm1_outer
group596	m1	chrm1_outer
group1986	m1	chrm1_outer
group2188	m1	chrm1_outer
group2355	m1	chrm1_outer
group2388	m1	chrm1_outer
group2396	m1	chrm1_outer
group2453	m1	chrm1_outer
group2511	m1	chrm1_outer
group2759	m1	chrm1_outer
group2918	m1	chrm1_outer
group2946	m1	chrm1_outer
group3065	m1	chrm1_outer
group131	m1	chrm1_outer
group385	m1	chrm1_outer
group404	m1	chrm1_outer
group453	m1	chrm1_outer
group600	m1	chrm1_outer
group630	m1	chrm1_outer
group1571	m1	chrm1_outer
group1649	m1	chrm1_outer
group1770	m1	chrm1_outer
group1818	m1	chrm1_outer
group1960	m1	chrm1_outer
group2061	m1	chrm1_outer
group2311	m1	chrm1_outer
group2365	m1	chrm1_outer
group2809	m1	chrm1_outer
group2869	m1	chrm1_outer
group226	m10	chrm10_outer
group291	m10	chrm10_outer
group340	m10	chrm10_outer
group408	m10	chrm10_outer
group604	m10	chrm10_outer
group1781	m10	chrm10_outer
group1880	m10	chrm10_outer
group1898	m10	chrm10_outer
group1908	m10	chrm10_outer
group1946	m10	chrm10_outer
group2303	m10	chrm10_outer
group2307	m10	chrm10_outer
group2424	m10	chrm10_outer
group2520	m10	chrm10_outer
group2778	m10	chrm10_outer
group3015	m10	chrm10_outer
group614	m10	chrm10_outer
group2189	m10	chrm10_outer
group2318	m10	chrm10_outer
group2795	m10	chrm10_outer
group2930	m10	chrm10_outer
group2984	m10	chrm10_outer
group150	m11	chrm11_outer
group481	m11	chrm11_outer
group542	m11	chrm11_outer
group551	m11	chrm11_outer
group2752	m11	chrm11_outer
group2982	m11	chrm11_outer
group3093	m11	chrm11_outer
group194	m11	chrm11_outer
group373	m11	chrm11_outer
group548	m11	chrm11_outer
group601	m11	chrm11_outer
group1905	m11	chrm11_outer
group2553	m11	chrm11_outer
group2696	m11	chrm11_outer
group2698	m11	chrm11_outer
group2764	m11	chrm11_outer
group2768	m11	chrm11_outer
group2920	m11	chrm11_outer
group2953	m11	chrm11_outer
group2956	m11	chrm11_outer
group86	m2	chrm2_outer
group743	m2	chrm2_outer
group1932	m2	chrm2_outer
group2223	m2	chrm2_outer
group2259	m2	chrm2_outer
group2321	m2	chrm2_outer
group2343	m2	chrm2_outer
group2447	m2	chrm2_outer
group2999	m2	chrm2_outer
group206	m2	chrm2_outer
group722	m2	chrm2_outer
group799	m2	chrm2_outer
group845	m2	chrm2_outer
group848	m2	chrm2_outer
group852	m2	chrm2_outer
group873	m2	chrm2_outer
group964	m2	chrm2_outer
group967	m2	chrm2_outer
group979	m2	chrm2_outer
group1030	m2	chrm2_outer
group1038	m2	chrm2_outer
group1278	m2	chrm2_outer
group1314	m2	chrm2_outer
group1654	m2	chrm2_outer
group2285	m2	chrm2_outer
group2330	m2	chrm2_outer
group2435	m2	chrm2_outer
group2747	m2	chrm2_outer
group66	m3	chrm3_outer
group80	m3	chrm3_outer
group203	m3	chrm3_outer
group425	m3	chrm3_outer
group1612	m3	chrm3_outer
group1694	m3	chrm3_outer
group2115	m3	chrm3_outer
group2499	m3	chrm3_outer
group2	m3	chrm3_outer
group108	m3	chrm3_outer
group109	m3	chrm3_outer
group151	m3	chrm3_outer
group172	m3	chrm3_outer
group256	m3	chrm3_outer
group326	m3	chrm3_outer
group406	m3	chrm3_outer
group504	m3	chrm3_outer
group539	m3	chrm3_outer
group546	m3	chrm3_outer
group563	m3	chrm3_outer
group1666	m3	chrm3_outer
group1766	m3	chrm3_outer
group1809	m3	chrm3_outer
group1866	m3	chrm3_outer
group1938	m3	chrm3_outer
group1966	m3	chrm3_outer
group1974	m3	chrm3_outer
group1981	m3	chrm3_outer
group2028	m3	chrm3_outer
group2063	m3	chrm3_outer
group2106	m3	chrm3_outer
group2149	m3	chrm3_outer
group2231	m3	chrm3_outer
group2246	m3	chrm3_outer
group2344	m3	chrm3_outer
group2380	m3	chrm3_outer
group2418	m3	chrm3_outer
group2489	m3	chrm3_outer
group2770	m3	chrm3_outer
group2937	m3	chrm3_outer
group2944	m3	chrm3_outer
group57	m4	chrm4_outer
group342	m4	chrm4_outer
group380	m4	chrm4_outer
group387	m4	chrm4_outer
group557	m4	chrm4_outer
group1570	m4	chrm4_outer
group1661	m4	chrm4_outer
group1944	m4	chrm4_outer
group2034	m4	chrm4_outer
group2242	m4	chrm4_outer
group2265	m4	chrm4_outer
group2506	m4	chrm4_outer
group2921	m4	chrm4_outer
group2971	m4	chrm4_outer
group2979	m4	chrm4_outer
group2991	m4	chrm4_outer
group3022	m4	chrm4_outer
group474	m4	chrm4_outer
group489	m4	chrm4_outer
group672	m4	chrm4_outer
group823	m4	chrm4_outer
group828	m4	chrm4_outer
group1018	m4	chrm4_outer
group1032	m4	chrm4_outer
group1223	m4	chrm4_outer
group1732	m4	chrm4_outer
group2087	m4	chrm4_outer
group2197	m4	chrm4_outer
group2394	m4	chrm4_outer
group2579	m4	chrm4_outer
group2660	m4	chrm4_outer
group2728	m4	chrm4_outer
group2853	m4	chrm4_outer
group2883	m4	chrm4_outer
group3012	m4	chrm4_outer
group7	m5	chrm5_outer
group200	m5	chrm5_outer
group327	m5	chrm5_outer
group419	m5	chrm5_outer
group545	m5	chrm5_outer
group1536	m5	chrm5_outer
group1720	m5	chrm5_outer
group1869	m5	chrm5_outer
group2011	m5	chrm5_outer
group2043	m5	chrm5_outer
group2097	m5	chrm5_outer
group2201	m5	chrm5_outer
group2766	m5	chrm5_outer
group2796	m5	chrm5_outer
group2915	m5	chrm5_outer
group78	m5	chrm5_outer
group129	m5	chrm5_outer
group353	m5	chrm5_outer
group486	m5	chrm5_outer
group537	m5	chrm5_outer
group1368	m5	chrm5_outer
group1712	m5	chrm5_outer
group1759	m5	chrm5_outer
group1789	m5	chrm5_outer
group2026	m5	chrm5_outer
group2475	m5	chrm5_outer
group2556	m5	chrm5_outer
group2828	m5	chrm5_outer
group2851	m5	chrm5_outer
group2902	m5	chrm5_outer
group2916	m5	chrm5_outer
group2931	m5	chrm5_outer
group61	m6	chrm6_outer
group95	m6	chrm6_outer
group159	m6	chrm6_outer
group179	m6	chrm6_outer
group248	m6	chrm6_outer
group271	m6	chrm6_outer
group352	m6	chrm6_outer
group386	m6	chrm6_outer
group536	m6	chrm6_outer
group1510	m6	chrm6_outer
group1769	m6	chrm6_outer
group1794	m6	chrm6_outer
group1914	m6	chrm6_outer
group1990	m6	chrm6_outer
group2120	m6	chrm6_outer
group2225	m6	chrm6_outer
group2236	m6	chrm6_outer
group2363	m6	chrm6_outer
group2386	m6	chrm6_outer
group2426	m6	chrm6_outer
group2444	m6	chrm6_outer
group2510	m6	chrm6_outer
group2522	m6	chrm6_outer
group2738	m6	chrm6_outer
group3084	m6	chrm6_outer
group1238	m6	chrm6_outer
group1472	m6	chrm6_outer
group1939	m6	chrm6_outer
group2431	m6	chrm6_outer
group2611	m6	chrm6_outer
group2965	m6	chrm6_outer
group93	m7	chrm7_outer
group100	m7	chrm7_outer
group258	m7	chrm7_outer
group269	m7	chrm7_outer
group416	m7	chrm7_outer
group613	m7	chrm7_outer
group1698	m7	chrm7_outer
group1725	m7	chrm7_outer
group1774	m7	chrm7_outer
group1865	m7	chrm7_outer
group2272	m7	chrm7_outer
group2932	m7	chrm7_outer
group193	m7	chrm7_outer
group230	m7	chrm7_outer
group526	m7	chrm7_outer
group530	m7	chrm7_outer
group566	m7	chrm7_outer
group615	m7	chrm7_outer
group652	m7	chrm7_outer
group697	m7	chrm7_outer
group1675	m7	chrm7_outer
group1783	m7	chrm7_outer
group1879	m7	chrm7_outer
group1884	m7	chrm7_outer
group1901	m7	chrm7_outer
group2291	m7	chrm7_outer
group2379	m7	chrm7_outer
group2454	m7	chrm7_outer
group2477	m7	chrm7_outer
group2568	m7	chrm7_outer
group2593	m7	chrm7_outer
group2817	m7	chrm7_outer
group33	m8	chrm8_outer
group138	m8	chrm8_outer
group145	m8	chrm8_outer
group157	m8	chrm8_outer
group565	m8	chrm8_outer
group623	m8	chrm8_outer
group626	m8	chrm8_outer
group1414	m8	chrm8_outer
group1514	m8	chrm8_outer
group1635	m8	chrm8_outer
group1797	m8	chrm8_outer
group1858	m8	chrm8_outer
