locus	genome	seqname	strand	start	end	chromosome
group92	Thamnophis-elegans	NC_045541.1	-	64660054	64678741	1
group93	Thamnophis-elegans	NC_045554.1	+	19672949	19679125	14
group94	Thamnophis-elegans	NC_045554.1	-	6140005	6156837	14
group95	Thamnophis-elegans	NC_045556.1	-	5213422	5219964	16
group96	Thamnophis-elegans	NW_022473747.1	+	20260	36019	na
group97	Thamnophis-elegans	NC_045553.1	+	44920287	44931817	13
group98	Thamnophis-elegans	NC_045558.1	+	139254631	139259874	Z
group99	Thamnophis-elegans	NC_045551.1	+	43435621	43440000	11
group100	Thamnophis-elegans	NC_045554.1	+	21280001	21295958	14
group101	Thamnophis-elegans	NC_045545.1	+	61177390	61179911	5
group102	Thamnophis-elegans	NC_045546.1	-	26280031	26293577	6
group103	Thamnophis-elegans	NC_045541.1	-	37366387	37373647	1
group104	Thamnophis-elegans	NA	NA	NA	NA	NA
group105	Thamnophis-elegans	NA	NA	NA	NA	NA
group106	Thamnophis-elegans	NC_045547.1	-	2710242	2719999	7
group107	Thamnophis-elegans	NC_045541.1	+	120460001	120465532	1
group108	Thamnophis-elegans	NC_045552.1	+	3894519	3897386	12
group109	Thamnophis-elegans	NA	NA	NA	NA	NA
group110	Thamnophis-elegans	NC_045558.1	+	133303652	133319792	Z
group111	Thamnophis-elegans	NC_045557.1	-	4322783	4324580	17
group112	Thamnophis-elegans	NC_045546.1	+	15003218	15017316	6
group113	Thamnophis-elegans	NA	NA	NA	NA	NA
group114	Thamnophis-elegans	NC_045542.1	-	26150173	26159446	2
group115	Thamnophis-elegans	NC_045551.1	+	69340001	69342696	11
group116	Thamnophis-elegans	NC_045543.1	-	60801532	60815779	3
group117	Thamnophis-elegans	NC_045553.1	-	20240041	20246594	13
group118	Thamnophis-elegans	NC_045546.1	-	24880002	24884273	6
group119	Thamnophis-elegans	NC_045545.1	+	62564047	62570432	5
group120	Thamnophis-elegans	NC_045558.1	+	144444792	144457377	Z
group121	Thamnophis-elegans	NC_045546.1	-	11360112	11370089	6
group122	Thamnophis-elegans	NC_045557.1	+	5967971	5977281	17
group123	Thamnophis-elegans	NC_045542.1	-	169121612	169139046	2
group124	Thamnophis-elegans	NC_045558.1	+	117501001	117513769	Z
group125	Thamnophis-elegans	NC_045542.1	+	166463557	166479957	2
group126	Thamnophis-elegans	NC_045558.1	+	128141276	128159491	Z
group127	Thamnophis-elegans	NC_045543.1	-	96887725	96893896	3
group128	Thamnophis-elegans	NC_045544.1	+	98343337	98352346	4
group129	Thamnophis-elegans	NA	NA	NA	NA	NA
group130	Thamnophis-elegans	NC_045542.1	-	51823298	51839494	2
group131	Thamnophis-elegans	NC_045553.1	+	50004777	50012328	13
group132	Thamnophis-elegans	NC_045554.1	-	6220009	6236025	14
group133	Thamnophis-elegans	NC_045541.1	-	25447424	25454372	1
group134	Thamnophis-elegans	NC_045549.1	-	48560001	48573551	9
group135	Thamnophis-elegans	NA	NA	NA	NA	NA
group136	Thamnophis-elegans	NW_022473609.1	-	966	18956	na
group137	Thamnophis-elegans	NA	NA	NA	NA	NA
group138	Thamnophis-elegans	NC_045553.1	-	3640001	3647881	13
group139	Thamnophis-elegans	NC_045558.1	-	139426066	139440000	Z
group140	Thamnophis-elegans	NA	NA	NA	NA	NA
group141	Thamnophis-elegans	NC_045546.1	-	1591195	1599969	6
group142	Thamnophis-elegans	NA	NA	NA	NA	NA
group143	Thamnophis-elegans	NC_045542.1	-	150151190	150153236	2
group144	Thamnophis-elegans	NC_045542.1	-	154224915	154233114	2
group145	Thamnophis-elegans	NW_022473620.1	+	6862	16925	na
group146	Thamnophis-elegans	NC_045541.1	+	76302974	76316768	1
group147	Thamnophis-elegans	NC_045545.1	-	46060001	46067684	5
group148	Thamnophis-elegans	NC_045542.1	+	30508657	30518927	2
group149	Thamnophis-elegans	NC_045544.1	-	116240805	116245872	4
group150	Thamnophis-elegans	NC_045555.1	+	8646745	8651417	15
group151	Thamnophis-elegans	NC_045552.1	+	266574	269678	12
group152	Thamnophis-elegans	NA	NA	NA	NA	NA
group153	Thamnophis-elegans	NA	NA	NA	NA	NA
group154	Thamnophis-elegans	NC_045543.1	-	10440001	10453445	3
group155	Thamnophis-elegans	NC_045541.1	-	560001	562615	1
group156	Thamnophis-elegans	NA	NA	NA	NA	NA
group157	Thamnophis-elegans	NW_022473705.1	-	7034	20000	na
group158	Thamnophis-elegans	NC_045546.1	-	24814277	24820000	6
group159	Thamnophis-elegans	NC_045556.1	-	124286	127405	16
group160	Thamnophis-elegans	NC_045544.1	-	68600391	68616551	4
group161	Thamnophis-elegans	NC_045546.1	-	31464648	31478540	6
group162	Thamnophis-elegans	NC_045545.1	+	99694258	99700000	5
group163	Thamnophis-elegans	NC_045543.1	-	115204553	115217301	3
group164	Thamnophis-elegans	NC_045558.1	+	99320565	99324104	Z
group165	Thamnophis-elegans	NC_045558.1	-	131381052	131390921	Z
group166	Thamnophis-elegans	NC_045548.1	-	74960861	74972208	8
group167	Thamnophis-elegans	NC_045547.1	-	13829076	13840000	7
group168	Thamnophis-elegans	NC_045549.1	+	7632400	7639943	9
group169	Thamnophis-elegans	NC_045552.1	+	43929657	43939999	12
group170	Thamnophis-elegans	NA	NA	NA	NA	NA
group171	Thamnophis-elegans	NC_045547.1	+	77260361	77262967	7
group172	Thamnophis-elegans	NC_045552.1	+	6320544	6327832	12
group173	Thamnophis-elegans	NA	NA	NA	NA	NA
group174	Thamnophis-elegans	NC_045547.1	-	29018011	29019943	7
group175	Thamnophis-elegans	NC_045541.1	+	70081171	70098499	1
group176	Thamnophis-elegans	NC_045543.1	+	34320001	34338962	3
group177	Thamnophis-elegans	NC_045549.1	-	73046636	73059999	9
group178	Thamnophis-elegans	NC_045547.1	+	16760057	16778804	7
group179	Thamnophis-elegans	NC_045556.1	+	1529327	1539091	16
group180	Thamnophis-elegans	NC_045554.1	+	42487028	42498741	14
group181	Thamnophis-elegans	NC_045542.1	+	97550210	97559118	2
group182	Thamnophis-elegans	NC_045546.1	+	82120001	82127525	6
group183	Thamnophis-elegans	NA	NA	NA	NA	NA
group184	Thamnophis-elegans	NC_045543.1	-	43812763	43818897	3
group185	Thamnophis-elegans	NA	NA	NA	NA	NA
group186	Thamnophis-elegans	NC_045542.1	+	163800001	163811156	2
group187	Thamnophis-elegans	NC_045556.1	-	18460001	18470520	16
group188	Thamnophis-elegans	NC_045558.1	-	89102195	89118775	Z
group189	Thamnophis-elegans	NA	NA	NA	NA	NA
group190	Thamnophis-elegans	NC_045541.1	-	115900001	115910855	1
group191	Thamnophis-elegans	NC_045541.1	-	158865385	158876957	1
group192	Thamnophis-elegans	NC_045552.1	+	10546534	10559999	12
group193	Thamnophis-elegans	NC_045554.1	+	4180034	4188600	14
group194	Thamnophis-elegans	NC_045555.1	-	7286867	7299330	15
group195	Thamnophis-elegans	NC_045547.1	-	24451089	24456137	7
group196	Thamnophis-elegans	NA	NA	NA	NA	NA
group197	Thamnophis-elegans	NC_045556.1	-	33980216	33999864	16
group198	Thamnophis-elegans	NA	NA	NA	NA	NA
group199	Thamnophis-elegans	NA	NA	NA	NA	NA
group200	Thamnophis-elegans	NC_045552.1	+	39196728	39200000	12
group201	Thamnophis-elegans	NA	NA	NA	NA	NA
group202	Thamnophis-elegans	NA	NA	NA	NA	NA
group203	Thamnophis-elegans	NC_045552.1	-	30163441	30180000	12
group204	Thamnophis-elegans	NC_045549.1	+	72440016	72451885	9
group205	Thamnophis-elegans	NC_045549.1	-	63110372	63119148	9
group206	Thamnophis-elegans	NC_045547.1	+	61555719	61558565	7
group207	Thamnophis-elegans	NC_045558.1	-	118141334	118147640	Z
group208	Thamnophis-elegans	NA	NA	NA	NA	NA
group209	Thamnophis-elegans	NC_045544.1	-	76120811	76133374	4
group210	Thamnophis-elegans	NA	NA	NA	NA	NA
group211	Thamnophis-elegans	NC_045550.1	-	33148396	33149752	10
group212	Thamnophis-elegans	NC_045541.1	+	179286430	179299984	1
group213	Thamnophis-elegans	NC_045558.1	-	123732686	123736955	Z
group214	Thamnophis-elegans	NA	NA	NA	NA	NA
group215	Thamnophis-elegans	NC_045543.1	-	43540001	43543765	3
group216	Thamnophis-elegans	NC_045555.1	+	32980076	32991402	15
group217	Thamnophis-elegans	NC_045558.1	-	11883178	11898545	Z
group218	Thamnophis-elegans	NA	NA	NA	NA	NA
group219	Thamnophis-elegans	NC_045543.1	+	83020001	83032374	3
group220	Thamnophis-elegans	NC_045542.1	-	170021917	170038307	2
group221	Thamnophis-elegans	NC_045555.1	+	28901301	28910804	15
group222	Thamnophis-elegans	NC_045541.1	-	164960001	164976770	1
group223	Thamnophis-elegans	NW_022473752.1	+	27067	34116	na
group224	Thamnophis-elegans	NC_045542.1	-	524430	533260	2
group225	Thamnophis-elegans	NC_045549.1	-	7880623	7896509	9
group226	Thamnophis-elegans	NC_045556.1	-	30140372	30145987	16
group227	Thamnophis-elegans	NA	NA	NA	NA	NA
group228	Thamnophis-elegans	NC_045556.1	-	37580001	37583289	16
group229	Thamnophis-elegans	NC_045544.1	-	58960406	58971849	4
group230	Thamnophis-elegans	NC_045554.1	+	1811069	1819701	14
group231	Thamnophis-elegans	NC_045543.1	-	142104720	142119775	3
group232	Thamnophis-elegans	NC_045541.1	+	31542242	31559562	1
group233	Thamnophis-elegans	NC_045544.1	+	12541747	12557786	4
group234	Thamnophis-elegans	NC_045546.1	-	410758	416849	6
group235	Thamnophis-elegans	NC_045547.1	+	62043965	62053912	7
group236	Thamnophis-elegans	NC_045558.1	-	320001	329634	Z
group237	Thamnophis-elegans	NC_045550.1	+	54262713	54275808	10
group238	Thamnophis-elegans	NA	NA	NA	NA	NA
group239	Thamnophis-elegans	NC_045542.1	-	26200001	26205364	2
group240	Thamnophis-elegans	NC_045542.1	-	7025967	7036183	2
group241	Thamnophis-elegans	NC_045548.1	+	4409898	4419771	8
group242	Thamnophis-elegans	NC_045548.1	-	80446392	80449750	8
group243	Thamnophis-elegans	NC_045555.1	-	17002464	17019254	15
group244	Thamnophis-elegans	NC_045555.1	+	25320001	25333869	15
group245	Thamnophis-elegans	NC_045544.1	+	86907330	86920000	4
group246	Thamnophis-elegans	NA	NA	NA	NA	NA
group247	Thamnophis-elegans	NA	NA	NA	NA	NA
group248	Thamnophis-elegans	NC_045556.1	-	177700	179999	16
group249	Thamnophis-elegans	NC_045556.1	+	12166406	12180000	16
group250	Thamnophis-elegans	NA	NA	NA	NA	NA
group251	Thamnophis-elegans	NC_045558.1	-	117822645	117837530	Z
group252	Thamnophis-elegans	NC_045556.1	+	7600001	7611715	16
group253	Thamnophis-elegans	NC_045549.1	-	76164587	76179997	9
group254	Thamnophis-elegans	NC_045552.1	+	29080117	29099498	12
group255	Thamnophis-elegans	NC_045541.1	-	78303894	78319113	1
group256	Thamnophis-elegans	NC_045552.1	-	4460421	4470044	12
group257	Thamnophis-elegans	NA	NA	NA	NA	NA
group258	Thamnophis-elegans	NC_045554.1	+	20645689	20648957	14
group259	Thamnophis-elegans	NC_045548.1	-	33960997	33967377	8
group260	Thamnophis-elegans	NC_045542.1	-	147000489	147016396	2
group261	Thamnophis-elegans	NC_045542.1	-	61764386	61769619	2
group262	Thamnophis-elegans	NC_045555.1	-	44160014	44174603	15
group263	Thamnophis-elegans	NC_045542.1	+	1360034	1366821	2
group264	Thamnophis-elegans	NC_045541.1	+	130001361	130006137	1
group265	Thamnophis-elegans	NC_045544.1	-	118668657	118678657	4
group266	Thamnophis-elegans	NA	NA	NA	NA	NA
group267	Thamnophis-elegans	NC_045543.1	-	12944179	12958345	3
group268	Thamnophis-elegans	NA	NA	NA	NA	NA
group269	Thamnophis-elegans	NC_045554.1	+	19623664	19639136	14
group270	Thamnophis-elegans	NC_045556.1	+	37688886	37693914	16
group271	Thamnophis-elegans	NC_045556.1	-	5300002	5309227	16
group272	Thamnophis-elegans	NC_045541.1	+	66101597	66106807	1
group273	Thamnophis-elegans	NA	NA	NA	NA	NA
group274	Thamnophis-elegans	NC_045545.1	+	90600064	90615239	5
group275	Thamnophis-elegans	NC_045544.1	-	118660601	118672130	4
group276	Thamnophis-elegans	NC_045549.1	-	55842120	55859937	9
group277	Thamnophis-elegans	NC_045542.1	+	160782300	160792772	2
group278	Thamnophis-elegans	NC_045558.1	+	9352367	9356225	Z
group279	Thamnophis-elegans	NC_045552.1	+	47440095	47453272	12
group280	Thamnophis-elegans	NA	NA	NA	NA	NA
group281	Thamnophis-elegans	NC_045542.1	+	161120001	161137519	2
group282	Thamnophis-elegans	NC_045558.1	-	109146659	109157429	Z
group283	Thamnophis-elegans	NA	NA	NA	NA	NA
group284	Thamnophis-elegans	NA	NA	NA	NA	NA
group285	Thamnophis-elegans	NC_045542.1	+	159260308	159272747	2
group286	Thamnophis-elegans	NC_045558.1	+	56622857	56631708	Z
group287	Thamnophis-elegans	NW_022473899.1	+	326865	329268	na
group288	Thamnophis-elegans	NA	NA	NA	NA	NA
group289	Thamnophis-elegans	NC_045545.1	+	100688546	100691204	5
group290	Thamnophis-elegans	NW_022473670.1	+	24505	36152	na
group291	Thamnophis-elegans	NC_045556.1	-	36424855	36439555	16
group292	Thamnophis-elegans	NC_045541.1	+	129780041	129799723	1
group293	Thamnophis-elegans	NC_045556.1	+	38227456	38239999	16
group294	Thamnophis-elegans	NC_045542.1	+	54101720	54114886	2
group295	Thamnophis-elegans	NC_045545.1	-	92041790	92059355	5
group296	Thamnophis-elegans	NC_045558.1	-	120588848	120600000	Z
group297	Thamnophis-elegans	NA	NA	NA	NA	NA
group298	Thamnophis-elegans	NC_045545.1	+	65067089	65077470	5
group299	Thamnophis-elegans	NC_045543.1	-	131042887	131054073	3
group300	Thamnophis-elegans	NC_045552.1	-	57040001	57053186	12
group301	Thamnophis-elegans	NC_045541.1	-	94050597	94060000	1
group302	Thamnophis-elegans	NC_045542.1	+	27806286	27816567	2
group303	Thamnophis-elegans	NC_045542.1	-	166966533	166978218	2
group304	Thamnophis-elegans	NC_045557.1	+	6360239	6377460	17
group305	Thamnophis-elegans	NC_045556.1	-	38060001	38068260	16
group306	Thamnophis-elegans	NC_045550.1	-	8220048	8239884	10
group307	Thamnophis-elegans	NA	NA	NA	NA	NA
group308	Thamnophis-elegans	NC_045555.1	-	17640095	17653563	15
group309	Thamnophis-elegans	NC_045558.1	-	108849437	108859236	Z
group310	Thamnophis-elegans	NC_045557.1	-	7311451	7319846	17
group311	Thamnophis-elegans	NA	NA	NA	NA	NA
group312	Thamnophis-elegans	NC_045542.1	-	36100001	36106063	2
group313	Thamnophis-elegans	NC_045553.1	+	27140001	27150049	13
group314	Thamnophis-elegans	NC_045558.1	-	126705159	126719767	Z
group315	Thamnophis-elegans	NC_045555.1	+	6424511	6426882	15
group316	Thamnophis-elegans	NC_045552.1	+	46680088	46696129	12
group317	Thamnophis-elegans	NA	NA	NA	NA	NA
group318	Thamnophis-elegans	NC_045549.1	-	73710062	73717765	9
group319	Thamnophis-elegans	NC_045542.1	-	142200823	142206997	2
group320	Thamnophis-elegans	NC_045558.1	-	98786786	98788594	Z
group321	Thamnophis-elegans	NC_045541.1	+	68344181	68347241	1
group322	Thamnophis-elegans	NC_045545.1	+	75437915	75440000	5
group323	Thamnophis-elegans	NC_045541.1	+	73902657	73910974	1
group324	Thamnophis-elegans	NC_045542.1	+	153420952	153434568	2
group325	Thamnophis-elegans	NC_045545.1	+	86413081	86415231	5
group326	Thamnophis-elegans	NC_045552.1	+	6325558	6336081	12
group327	Thamnophis-elegans	NC_045552.1	-	34120488	34135941	12
group328	Thamnophis-elegans	NC_045550.1	-	25020001	25039804	10
group329	Thamnophis-elegans	NC_045558.1	+	4504757	4515059	Z
group330	Thamnophis-elegans	NC_045558.1	-	120709080	120720000	Z
group331	Thamnophis-elegans	NA	NA	NA	NA	NA
group332	Thamnophis-elegans	NW_022473708.1	-	2459	17141	na
group333	Thamnophis-elegans	NC_045542.1	-	54368391	54377346	2
group334	Thamnophis-elegans	NA	NA	NA	NA	NA
group335	Thamnophis-elegans	NA	NA	NA	NA	NA
group336	Thamnophis-elegans	NC_045558.1	-	119644384	119660000	Z
group337	Thamnophis-elegans	NC_045541.1	+	178662328	178673594	1
group338	Thamnophis-elegans	NC_045558.1	-	129560463	129568630	Z
group339	Thamnophis-elegans	NC_045547.1	-	8093223	8099999	7
group340	Thamnophis-elegans	NC_045556.1	+	36922883	36933943	16
group341	Thamnophis-elegans	NC_045544.1	+	66944155	66960000	4
group342	Thamnophis-elegans	NC_045554.1	+	27774851	27780000	14
group343	Thamnophis-elegans	NC_045542.1	+	111584762	111596095	2
group344	Thamnophis-elegans	NC_045556.1	-	27820001	27831077	16
group345	Thamnophis-elegans	NC_045545.1	-	24920004	24932230	5
group346	Thamnophis-elegans	NC_045552.1	+	19394334	19399998	12
group347	Thamnophis-elegans	NC_045552.1	+	38782409	38797948	12
group348	Thamnophis-elegans	NA	NA	NA	NA	NA
group349	Thamnophis-elegans	NA	NA	NA	NA	NA
group350	Thamnophis-elegans	NC_045541.1	+	177765525	177779183	1
group351	Thamnophis-elegans	NA	NA	NA	NA	NA
group352	Thamnophis-elegans	NC_045556.1	+	4309582	4313416	16
group353	Thamnophis-elegans	NC_045552.1	-	59440690	59448018	12
group354	Thamnophis-elegans	NC_045544.1	-	34869119	34876160	4
group355	Thamnophis-elegans	NC_045541.1	+	186542736	186558115	1
group356	Thamnophis-elegans	NA	NA	NA	NA	NA
group357	Thamnophis-elegans	NC_045548.1	+	2300279	2319342	8
group358	Thamnophis-elegans	NC_045555.1	+	29720587	29739942	15
group359	Thamnophis-elegans	NC_045542.1	-	162260003	162277807	2
group360	Thamnophis-elegans	NC_045541.1	-	67563378	67575881	1
group361	Thamnophis-elegans	NC_045558.1	-	81600001	81612193	Z
group362	Thamnophis-elegans	NA	NA	NA	NA	NA
group363	Thamnophis-elegans	NC_045554.1	-	30475017	30480000	14
group364	Thamnophis-elegans	NC_045546.1	-	30820001	30829655	6
group365	Thamnophis-elegans	NC_045553.1	+	9148829	9159000	13
group366	Thamnophis-elegans	NC_045557.1	-	13100072	13108517	17
group367	Thamnophis-elegans	NC_045543.1	+	99303098	99317262	3
group368	Thamnophis-elegans	NC_045553.1	+	21780001	21787653	13
group369	Thamnophis-elegans	NC_045547.1	-	30954251	30957346	7
group370	Thamnophis-elegans	NC_045545.1	+	56161334	56178735	5
group371	Thamnophis-elegans	NC_045553.1	-	5706053	5720000	13
group372	Thamnophis-elegans	NW_022473593.1	-	51510	59998	na
group373	Thamnophis-elegans	NC_045555.1	-	184687	189141	15
group374	Thamnophis-elegans	NC_045549.1	+	62920006	62939911	9
group375	Thamnophis-elegans	NC_045543.1	-	77311171	77317676	3
group376	Thamnophis-elegans	NC_045558.1	+	114440535	114460000	Z
group377	Thamnophis-elegans	NA	NA	NA	NA	NA
group378	Thamnophis-elegans	NC_045550.1	-	71267662	71269276	10
group379	Thamnophis-elegans	NC_045552.1	+	13460001	13467191	12
group380	Thamnophis-elegans	NC_045554.1	-	28940049	28958864	14
group381	Thamnophis-elegans	NC_045544.1	+	72520001	72529178	4
group382	Thamnophis-elegans	NC_045541.1	-	4454488	4460000	1
group383	Thamnophis-elegans	NC_045557.1	+	5710879	5715335	17
group384	Thamnophis-elegans	NC_045550.1	+	25860165	25871827	10
group385	Thamnophis-elegans	NC_045553.1	-	48790337	48799837	13
group386	Thamnophis-elegans	NC_045556.1	+	5600486	5615357	16
group387	Thamnophis-elegans	NC_045554.1	+	25880006	25896706	14
group388	Thamnophis-elegans	NC_045544.1	+	117300188	117318509	4
group389	Thamnophis-elegans	NC_045558.1	-	118063871	118078221	Z
group390	Thamnophis-elegans	NC_045551.1	+	51263128	51279999	11
group391	Thamnophis-elegans	NA	NA	NA	NA	NA
group392	Thamnophis-elegans	NC_045542.1	+	1004573	1010914	2
group393	Thamnophis-elegans	NC_045550.1	-	62902523	62920000	10
group394	Thamnophis-elegans	NC_045541.1	+	116722490	116739293	1
group395	Thamnophis-elegans	NC_045558.1	-	53960008	53978076	Z
group396	Thamnophis-elegans	NC_045549.1	-	23120002	23135630	9
group397	Thamnophis-elegans	NC_045545.1	+	95473105	95477994	5
group398	Thamnophis-elegans	NW_022473596.1	-	190	18846	na
group399	Thamnophis-elegans	NC_045556.1	-	11830896	11834898	16
group400	Thamnophis-elegans	NC_045541.1	+	76109302	76120000	1
group401	Thamnophis-elegans	NC_045542.1	-	166181929	166187243	2
group402	Thamnophis-elegans	NC_045545.1	+	38923901	38931871	5
group403	Thamnophis-elegans	NC_045547.1	+	19140019	19157418	7
group404	Thamnophis-elegans	NC_045553.1	-	47981398	47993097	13
group405	Thamnophis-elegans	NC_045552.1	+	54403021	54412303	12
group406	Thamnophis-elegans	NC_045552.1	-	6981808	6999921	12
group407	Thamnophis-elegans	NC_045553.1	-	3500740	3517716	13
group408	Thamnophis-elegans	NC_045556.1	-	36260074	36271467	16
group409	Thamnophis-elegans	NA	NA	NA	NA	NA
group410	Thamnophis-elegans	NA	NA	NA	NA	NA
group411	Thamnophis-elegans	NA	NA	NA	NA	NA
group412	Thamnophis-elegans	NC_045546.1	-	36700001	36714819	6
group413	Thamnophis-elegans	NA	NA	NA	NA	NA
group414	Thamnophis-elegans	NA	NA	NA	NA	NA
group415	Thamnophis-elegans	NC_045554.1	-	13171102	13173161	14
group416	Thamnophis-elegans	NC_045552.1	-	54261820	54279231	12
group417	Thamnophis-elegans	NC_045548.1	-	62550910	62558530	8
group418	Thamnophis-elegans	NC_045544.1	-	76060001	76071019	4
group419	Thamnophis-elegans	NC_045552.1	+	37520001	37530537	12
