locus	genome	chromosome	orthoblock
group275	Thamnophis-elegans	4	OG0007212
group276	Thamnophis-elegans	9	OG0001239
group277	Thamnophis-elegans	2	OG0006377
group278	Thamnophis-elegans	Z	OG0009499
group279	Thamnophis-elegans	12	NOG4590
group280	Thamnophis-elegans	NA	NA
group281	Thamnophis-elegans	2	OG0000198
group282	Thamnophis-elegans	Z	NA
group283	Thamnophis-elegans	NA	NA
group284	Thamnophis-elegans	NA	NA
group285	Thamnophis-elegans	2	OG0001441
group286	Thamnophis-elegans	Z	NA
group287	Thamnophis-elegans	NW_022473899.1	OG0012878
group288	Thamnophis-elegans	NA	NA
group289	Thamnophis-elegans	5	OG0011933
group290	Thamnophis-elegans	NW_022473670.1	OG0005753
group291	Thamnophis-elegans	16	OG0005595
group292	Thamnophis-elegans	1	OG0008345
group293	Thamnophis-elegans	16	OG0004247
group293	Thamnophis-elegans	16	OG0012835
group294	Thamnophis-elegans	2	NA
group295	Thamnophis-elegans	5	OG0011233
group296	Thamnophis-elegans	Z	OG0003657
group297	Thamnophis-elegans	NA	NA
group298	Thamnophis-elegans	5	OG0005377
group299	Thamnophis-elegans	3	OG0008002
group300	Thamnophis-elegans	12	OG0005805
group300	Thamnophis-elegans	12	OG0005806
group301	Thamnophis-elegans	1	OG0005633
group302	Thamnophis-elegans	2	OG0005452
group303	Thamnophis-elegans	2	OG0000164
group303	Thamnophis-elegans	2	OG0001637
group304	Thamnophis-elegans	17	OG0010643
group305	Thamnophis-elegans	16	OG0009558
group306	Thamnophis-elegans	10	OG0006552
group307	Thamnophis-elegans	NA	NA
group308	Thamnophis-elegans	15	NA
group309	Thamnophis-elegans	Z	NA
group310	Thamnophis-elegans	17	OG0000358
group311	Thamnophis-elegans	NA	NA
group312	Thamnophis-elegans	2	OG0008542
group313	Thamnophis-elegans	13	OG0007534
group314	Thamnophis-elegans	Z	OG0012008
group315	Thamnophis-elegans	15	NA
group316	Thamnophis-elegans	12	OG0003266
group317	Thamnophis-elegans	NA	NA
group318	Thamnophis-elegans	9	OG0001516
group319	Thamnophis-elegans	2	NA
group320	Thamnophis-elegans	Z	OG0005964
group321	Thamnophis-elegans	1	OG0003488
group322	Thamnophis-elegans	5	NA
group323	Thamnophis-elegans	1	OG0010225
group324	Thamnophis-elegans	2	OG0000377
group325	Thamnophis-elegans	5	NA
group326	Thamnophis-elegans	12	OG0006687
group327	Thamnophis-elegans	12	OG0006615
group328	Thamnophis-elegans	10	OG0001265
group329	Thamnophis-elegans	Z	OG0009518
group330	Thamnophis-elegans	Z	OG0003658
group331	Thamnophis-elegans	NA	NA
group332	Thamnophis-elegans	NW_022473708.1	NA
group333	Thamnophis-elegans	2	OG0002619
group334	Thamnophis-elegans	NA	NA
group335	Thamnophis-elegans	NA	NA
group336	Thamnophis-elegans	Z	NA
group337	Thamnophis-elegans	1	OG0005341
group337	Thamnophis-elegans	1	OG0005342
group338	Thamnophis-elegans	Z	OG0000002
group339	Thamnophis-elegans	7	OG0002723
group339	Thamnophis-elegans	7	OG0011742
group340	Thamnophis-elegans	16	OG0002036
group341	Thamnophis-elegans	4	OG0002486
group342	Thamnophis-elegans	14	NA
group343	Thamnophis-elegans	2	OG0007474
group344	Thamnophis-elegans	16	OG0008035
group345	Thamnophis-elegans	5	OG0006284
group346	Thamnophis-elegans	12	OG0011296
group346	Thamnophis-elegans	12	OG0011297
group347	Thamnophis-elegans	12	OG0001371
group348	Thamnophis-elegans	NA	NA
group349	Thamnophis-elegans	NA	NA
group350	Thamnophis-elegans	1	OG0005338
group350	Thamnophis-elegans	1	OG0005339
group351	Thamnophis-elegans	NA	NA
group352	Thamnophis-elegans	16	OG0009681
group353	Thamnophis-elegans	12	OG0005797
group354	Thamnophis-elegans	4	OG0000207
group354	Thamnophis-elegans	4	OG0000207
group354	Thamnophis-elegans	4	OG0001743
group355	Thamnophis-elegans	1	OG0000768
group355	Thamnophis-elegans	1	OG0001603
group356	Thamnophis-elegans	NA	NA
group357	Thamnophis-elegans	8	OG0003116
group358	Thamnophis-elegans	15	OG0011986
group359	Thamnophis-elegans	2	NOG4348
group360	Thamnophis-elegans	1	NA
group361	Thamnophis-elegans	Z	OG0003787
group362	Thamnophis-elegans	NA	NA
group363	Thamnophis-elegans	14	OG0009412
group364	Thamnophis-elegans	6	OG0007576
group365	Thamnophis-elegans	13	OG0003962
group365	Thamnophis-elegans	13	OG0003963
group366	Thamnophis-elegans	17	OG0010374
group367	Thamnophis-elegans	3	NA
group368	Thamnophis-elegans	13	OG0002062
group369	Thamnophis-elegans	7	OG0006187
group369	Thamnophis-elegans	7	OG0006188
group370	Thamnophis-elegans	5	OG0000206
group370	Thamnophis-elegans	5	OG0015235
group371	Thamnophis-elegans	13	OG0011583
group372	Thamnophis-elegans	NW_022473593.1	NA
group373	Thamnophis-elegans	15	OG0000711
group373	Thamnophis-elegans	15	OG0005176
group374	Thamnophis-elegans	9	NA
group375	Thamnophis-elegans	3	OG0003738
group376	Thamnophis-elegans	Z	OG0000004
group377	Thamnophis-elegans	NA	NA
group378	Thamnophis-elegans	10	NA
group379	Thamnophis-elegans	12	OG0011347
group380	Thamnophis-elegans	14	OG0006609
group381	Thamnophis-elegans	4	OG0009796
group382	Thamnophis-elegans	1	OG0004341
group383	Thamnophis-elegans	17	OG0010659
group384	Thamnophis-elegans	10	OG0005049
group385	Thamnophis-elegans	13	OG0005300
group386	Thamnophis-elegans	16	NA
group387	Thamnophis-elegans	14	OG0006578
group387	Thamnophis-elegans	14	OG0006579
group388	Thamnophis-elegans	4	NA
group389	Thamnophis-elegans	Z	OG0004173
group390	Thamnophis-elegans	11	NA
group391	Thamnophis-elegans	NA	NA
group392	Thamnophis-elegans	2	OG0004411
group393	Thamnophis-elegans	10	OG0000659
group393	Thamnophis-elegans	10	OG0000659
group394	Thamnophis-elegans	1	OG0005507
group395	Thamnophis-elegans	Z	OG0004737
group396	Thamnophis-elegans	9	OG0006891
group397	Thamnophis-elegans	5	OG0011728
group398	Thamnophis-elegans	NW_022473596.1	NOG4484
group398	Thamnophis-elegans	NW_022473596.1	OG0001437
group399	Thamnophis-elegans	16	OG0002315
group400	Thamnophis-elegans	1	OG0008835
group400	Thamnophis-elegans	1	OG0014161
group401	Thamnophis-elegans	2	OG0000273
group402	Thamnophis-elegans	5	OG0011679
group403	Thamnophis-elegans	7	OG0006099
group404	Thamnophis-elegans	13	OG0001993
group405	Thamnophis-elegans	12	NA
group406	Thamnophis-elegans	12	OG0011948
group407	Thamnophis-elegans	13	OG0002971
group408	Thamnophis-elegans	16	OG0000647
group409	Thamnophis-elegans	NA	NA
group410	Thamnophis-elegans	NA	NA
group411	Thamnophis-elegans	NA	NA
group412	Thamnophis-elegans	6	OG0006810
group412	Thamnophis-elegans	6	OG0013553
group413	Thamnophis-elegans	NA	NA
group414	Thamnophis-elegans	NA	NA
group415	Thamnophis-elegans	14	OG0003424
group416	Thamnophis-elegans	12	OG0009947
group416	Thamnophis-elegans	12	OG0015836
group417	Thamnophis-elegans	8	OG0015728
group418	Thamnophis-elegans	4	NA
group419	Thamnophis-elegans	12	OG0000911
group420	Thamnophis-elegans	11	OG0003534
group421	Thamnophis-elegans	15	OG0010038
group422	Thamnophis-elegans	NA	NA
group423	Thamnophis-elegans	13	OG0003957
group424	Thamnophis-elegans	14	OG0003407
group425	Thamnophis-elegans	12	OG0009335
group426	Thamnophis-elegans	1	OG0000552
group427	Thamnophis-elegans	14	OG0015812
group428	Thamnophis-elegans	2	OG0000490
group428	Thamnophis-elegans	2	OG0015556
group429	Thamnophis-elegans	2	NA
group430	Thamnophis-elegans	4	NA
group431	Thamnophis-elegans	16	OG0000573
group432	Thamnophis-elegans	4	NA
group433	Thamnophis-elegans	NA	NA
group434	Thamnophis-elegans	3	OG0010943
group435	Thamnophis-elegans	3	OG0007861
group436	Thamnophis-elegans	Z	OG0000004
group437	Thamnophis-elegans	7	OG0000431
group437	Thamnophis-elegans	7	OG0000431
group438	Thamnophis-elegans	16	OG0008424
group438	Thamnophis-elegans	16	OG0008425
group439	Thamnophis-elegans	6	OG0000463
group440	Thamnophis-elegans	3	OG0003730
group441	Thamnophis-elegans	3	OG0001833
group442	Thamnophis-elegans	2	OG0010887
group443	Thamnophis-elegans	Z	OG0006048
group444	Thamnophis-elegans	NA	NA
group445	Thamnophis-elegans	NA	NA
group446	Thamnophis-elegans	15	OG0002754
group447	Thamnophis-elegans	1	OG0000001
group447	Thamnophis-elegans	1	OG0000001
group448	Thamnophis-elegans	NA	NA
group449	Thamnophis-elegans	2	OG0008525
group449	Thamnophis-elegans	2	OG0008526
group450	Thamnophis-elegans	NA	NA
group451	Thamnophis-elegans	12	OG0011346
group452	Thamnophis-elegans	NA	NA
group453	Thamnophis-elegans	NA	NA
group454	Thamnophis-elegans	Z	OG0005174
group455	Thamnophis-elegans	NA	NA
group456	Thamnophis-elegans	7	NA
group457	Thamnophis-elegans	NA	NA
group458	Thamnophis-elegans	12	OG0001334
group459	Thamnophis-elegans	Z	OG0000303
group460	Thamnophis-elegans	2	OG0003174
group461	Thamnophis-elegans	8	OG0007882
group462	Thamnophis-elegans	16	OG0008169
group463	Thamnophis-elegans	NA	NA
group464	Thamnophis-elegans	NA	NA
group465	Thamnophis-elegans	8	OG0007883
group466	Thamnophis-elegans	3	OG0004533
group467	Thamnophis-elegans	3	NA
group468	Thamnophis-elegans	6	NA
group469	Thamnophis-elegans	10	NA
group470	Thamnophis-elegans	2	NA
group471	Thamnophis-elegans	14	OG0003428
group471	Thamnophis-elegans	14	OG0015895
group472	Thamnophis-elegans	7	OG0001706
group473	Thamnophis-elegans	17	OG0010686
group474	Thamnophis-elegans	14	OG0000593
group475	Thamnophis-elegans	17	OG0013848
group476	Thamnophis-elegans	NA	NA
group477	Thamnophis-elegans	Z	OG0000407
group478	Thamnophis-elegans	8	OG0007872
group478	Thamnophis-elegans	8	OG0007873
group479	Thamnophis-elegans	Z	OG0000002
group480	Thamnophis-elegans	1	OG0010357
group481	Thamnophis-elegans	15	OG0006638
group481	Thamnophis-elegans	15	OG0006639
group482	Thamnophis-elegans	NA	NA
group483	Thamnophis-elegans	2	OG0001637
group484	Thamnophis-elegans	16	OG0009540
group484	Thamnophis-elegans	16	OG0009541
group485	Thamnophis-elegans	Z	OG0009507
group486	Thamnophis-elegans	12	OG0000881
group486	Thamnophis-elegans	12	OG0013312
group487	Thamnophis-elegans	11	OG0001807
group488	Thamnophis-elegans	5	OG0012485
group489	Thamnophis-elegans	14	OG0006344
group489	Thamnophis-elegans	14	OG0006345
group490	Thamnophis-elegans	17	OG0010004
group491	Thamnophis-elegans	1	OG0000986
group492	Thamnophis-elegans	13	OG0001552
group493	Thamnophis-elegans	6	OG0001527
group494	Thamnophis-elegans	1	NA
group495	Thamnophis-elegans	NA	NA
group496	Thamnophis-elegans	NW_022473689.1	OG0007676
group497	Thamnophis-elegans	3	OG0010242
group498	Thamnophis-elegans	3	OG0009271
group499	Thamnophis-elegans	Z	OG0005963
group500	Thamnophis-elegans	2	OG0004074
group501	Thamnophis-elegans	4	OG0001579
group502	Thamnophis-elegans	1	OG0003076
group503	Thamnophis-elegans	Z	NA
group504	Thamnophis-elegans	NA	NA
group505	Thamnophis-elegans	NA	NA
group506	Thamnophis-elegans	1	OG0000445
group507	Thamnophis-elegans	NA	NA
group508	Thamnophis-elegans	5	OG0006520
group509	Thamnophis-elegans	1	OG0000477
group510	Thamnophis-elegans	Z	OG0005928
group511	Thamnophis-elegans	NA	NA
group512	Thamnophis-elegans	4	OG0007139
group513	Thamnophis-elegans	9	OG0009130
group514	Thamnophis-elegans	7	OG0006172
group515	Thamnophis-elegans	Z	OG0005918
group516	Thamnophis-elegans	NA	NA
group517	Thamnophis-elegans	Z	OG0004753
group518	Thamnophis-elegans	2	OG0000035
group519	Thamnophis-elegans	2	OG0015546
group520	Thamnophis-elegans	NA	NA
group521	Thamnophis-elegans	NA	NA
group522	Thamnophis-elegans	3	OG0003616
group523	Thamnophis-elegans	Z	NA
group524	Thamnophis-elegans	6	OG0009874
group525	Thamnophis-elegans	NA	NA
group526	Thamnophis-elegans	14	NA
group527	Thamnophis-elegans	17	OG0002785
group528	Thamnophis-elegans	13	OG0002061
group529	Thamnophis-elegans	1	OG0000001
group529	Thamnophis-elegans	1	OG0000001
group529	Thamnophis-elegans	1	OG0000001
group530	Thamnophis-elegans	14	OG0007405
group530	Thamnophis-elegans	14	OG0007406
group531	Thamnophis-elegans	14	OG0000058
group532	Thamnophis-elegans	9	OG0001452
group532	Thamnophis-elegans	9	OG0008121
group533	Thamnophis-elegans	NA	NA
group534	Thamnophis-elegans	1	NA
group535	Thamnophis-elegans	Z	NA
group536	Thamnophis-elegans	16	OG0008854
group537	Thamnophis-elegans	12	NOG4428
group537	Thamnophis-elegans	12	OG0002092
group538	Thamnophis-elegans	Z	OG0003684
group539	Thamnophis-elegans	12	OG0004149
group539	Thamnophis-elegans	12	OG0011079
group540	Thamnophis-elegans	NA	NA
group541	Thamnophis-elegans	Z	OG0011849
group542	Thamnophis-elegans	15	OG0003196
group543	Thamnophis-elegans	4	OG0010328
group543	Thamnophis-elegans	4	OG0010329
group544	Thamnophis-elegans	3	OG0007288
group544	Thamnophis-elegans	3	OG0007289
group545	Thamnophis-elegans	12	OG0002183
group546	Thamnophis-elegans	NA	NA
group547	Thamnophis-elegans	3	OG0004152
group547	Thamnophis-elegans	3	OG0004153
group548	Thamnophis-elegans	15	OG0005178
group548	Thamnophis-elegans	15	OG0005179
group549	Thamnophis-elegans	2	OG0012864
group549	Thamnophis-elegans	2	OG0012865
group550	Thamnophis-elegans	7	NA
group551	Thamnophis-elegans	15	OG0001684
group551	Thamnophis-elegans	15	OG0003193
group552	Thamnophis-elegans	2	OG0015020
group553	Thamnophis-elegans	NA	NA
group554	Thamnophis-elegans	5	NA
group555	Thamnophis-elegans	2	OG0006303
group556	Thamnophis-elegans	1	OG0010136
group556	Thamnophis-elegans	1	OG0010137
group557	Thamnophis-elegans	14	OG0004481
group558	Thamnophis-elegans	12	OG0001064
group559	Thamnophis-elegans	NA	NA
group560	Thamnophis-elegans	14	OG0003358
group560	Thamnophis-elegans	14	OG0003359
group561	Thamnophis-elegans	4	NA
group562	Thamnophis-elegans	12	OG0011289
group563	Thamnophis-elegans	NA	NA
group564	Thamnophis-elegans	5	OG0001492
