locus	species	contig	sense	start	end	chr	chr.id2	locus.id2
group1148	Naja-naja	CM019148.1	+	74701716	74713163	1	1	C1L100
group993	Naja-naja	CM019148.1	+	74722145	74739196	1	1	C1L101
group915	Naja-naja	CM019148.1	-	74841261	74853214	1	1	C1L102
group2041	Naja-naja	CM019148.1	-	75815252	75817452	1	1	C1L103
group1684	Naja-naja	CM019148.1	-	76160002	76176158	1	1	C1L104
group341	Naja-naja	CM019148.1	-	79103367	79119445	1	1	C1L105
group2219	Naja-naja	CM019148.1	-	80700001	80711310	1	1	C1L106
group1099	Naja-naja	CM019148.1	-	81096385	81098361	1	1	C1L107
group1257	Naja-naja	CM019148.1	+	82848731	82855824	1	1	C1L108
group2950	Naja-naja	CM019148.1	+	83210191	83218793	1	1	C1L109
group804	Naja-naja	CM019148.1	+	85419316	85420000	1	1	C1L110
group1091	Naja-naja	CM019148.1	-	85840001	85842725	1	1	C1L111
group1224	Naja-naja	CM019148.1	+	87390754	87393175	1	1	C1L112
group733	Naja-naja	CM019148.1	+	87396112	87400000	1	1	C1L113
group2929	Naja-naja	CM019148.1	-	87791567	87799901	1	1	C1L114
group2080	Naja-naja	CM019148.1	-	89537960	89540000	1	1	C1L115
group692	Naja-naja	CM019148.1	-	89873232	89875048	1	1	C1L116
group1630	Naja-naja	CM019148.1	+	91735292	91737502	1	1	C1L117
group63	Naja-naja	CM019148.1	-	92464710	92477345	1	1	C1L118
group1409	Naja-naja	CM019148.1	-	92504559	92512059	1	1	C1L119
group543	Naja-naja	CM019148.1	-	92640200	92657229	1	1	C1L120
group1327	Naja-naja	CM019148.1	+	97980001	97980826	1	1	C1L121
group893	Naja-naja	CM019148.1	+	97992139	97998828	1	1	C1L122
group877	Naja-naja	CM019148.1	+	98071688	98077255	1	1	C1L123
group1212	Naja-naja	CM019148.1	-	98120001	98128161	1	1	C1L124
group875	Naja-naja	CM019148.1	+	98694840	98696447	1	1	C1L125
group1162	Naja-naja	CM019148.1	+	98960559	98973998	1	1	C1L126
group1426	Naja-naja	CM019148.1	-	99134341	99139998	1	1	C1L127
group1137	Naja-naja	CM019148.1	-	100033894	100036484	1	1	C1L128
group2488	Naja-naja	CM019148.1	-	104154928	104160000	1	1	C1L129
group2716	Naja-naja	CM019148.1	-	105140001	105141863	1	1	C1L130
group2436	Naja-naja	CM019148.1	+	107300001	107306258	1	1	C1L131
group561	Naja-naja	CM019148.1	-	107646336	107658525	1	1	C1L132
group1892	Naja-naja	CM019148.1	+	108300001	108309463	1	1	C1L133
group3086	Naja-naja	CM019148.1	+	108680720	108687085	1	1	C1L134
group2581	Naja-naja	CM019148.1	-	108710891	108714502	1	1	C1L135
group354	Naja-naja	CM019148.1	-	108881699	108888935	1	1	C1L136
group853	Naja-naja	CM019148.1	+	109918741	109920000	1	1	C1L137
group1195	Naja-naja	CM019148.1	-	110334003	110335817	1	1	C1L138
group1163	Naja-naja	CM019148.1	+	110860001	110867263	1	1	C1L139
group1133	Naja-naja	CM019148.1	-	113204048	113216760	1	1	C1L140
group1196	Naja-naja	CM019148.1	+	113602641	113608142	1	1	C1L141
group1078	Naja-naja	CM019148.1	-	113687358	113688540	1	1	C1L142
group1477	Naja-naja	CM019148.1	+	115544401	115559096	1	1	C1L143
group2105	Naja-naja	CM019148.1	-	117364794	117373096	1	1	C1L144
group1147	Naja-naja	CM019148.1	+	117428137	117440000	1	1	C1L145
group683	Naja-naja	CM019148.1	+	117620001	117621337	1	1	C1L146
group634	Naja-naja	CM019148.1	+	117660001	117665907	1	1	C1L147
group1690	Naja-naja	CM019148.1	+	117666147	117679999	1	1	C1L148
group666	Naja-naja	CM019148.1	+	118043488	118044809	1	1	C1L149
group781	Naja-naja	CM019148.1	+	118082012	118092296	1	1	C1L150
group1931	Naja-naja	CM019148.1	+	118280001	118286743	1	1	C1L151
group881	Naja-naja	CM019148.1	+	118660001	118664156	1	1	C1L152
group1039	Naja-naja	CM019148.1	+	118710880	118720000	1	1	C1L153
group933	Naja-naja	CM019148.1	-	118897381	118900000	1	1	C1L154
group1334	Naja-naja	CM019148.1	-	119241033	119246224	1	1	C1L155
group1342	Naja-naja	CM019148.1	-	119260001	119269409	1	1	C1L156
group1124	Naja-naja	CM019148.1	+	120262496	120277718	1	1	C1L157
group1710	Naja-naja	CM019148.1	+	120720001	120728497	1	1	C1L158
group1189	Naja-naja	CM019148.1	-	122483163	122493846	1	1	C1L159
group1968	Naja-naja	CM019148.1	-	126600001	126606138	1	1	C1L160
group1106	Naja-naja	CM019148.1	+	130145600	130159757	1	1	C1L161
group2441	Naja-naja	CM019148.1	-	130720001	130728153	1	1	C1L162
group233	Naja-naja	CM019148.1	-	131520419	131536121	1	1	C1L163
group1291	Naja-naja	CM019148.1	+	132143990	132145309	1	1	C1L164
group1378	Naja-naja	CM019148.1	-	132500093	132507264	1	1	C1L165
group2756	Naja-naja	CM019148.1	+	138880151	138888461	1	1	C1L166
group1438	Naja-naja	CM019148.1	-	141101875	141117462	1	1	C1L167
group618	Naja-naja	CM019148.1	+	143378419	143379999	1	1	C1L168
group914	Naja-naja	CM019148.1	-	146743603	146757817	1	1	C1L169
group2609	Naja-naja	CM019148.1	-	148000013	148001253	1	1	C1L170
group2434	Naja-naja	CM019148.1	-	148788220	148799999	1	1	C1L171
group2880	Naja-naja	CM019148.1	+	150780001	150787313	1	1	C1L172
group1568	Naja-naja	CM019148.1	+	151283553	151291578	1	1	C1L173
group1796	Naja-naja	CM019148.1	+	154662612	154677546	1	1	C1L174
group1304	Naja-naja	CM019148.1	-	155022810	155024453	1	1	C1L175
group1500	Naja-naja	CM019148.1	-	155067147	155068319	1	1	C1L176
group496	Naja-naja	CM019148.1	+	156026163	156040000	1	1	C1L177
group1040	Naja-naja	CM019148.1	+	156322760	156328240	1	1	C1L178
group1550	Naja-naja	CM019148.1	+	156449010	156459250	1	1	C1L179
group267	Naja-naja	CM019148.1	-	156867370	156880000	1	1	C1L180
group874	Naja-naja	CM019148.1	+	159522632	159532387	1	1	C1L181
group435	Naja-naja	CM019148.1	-	160620001	160629264	1	1	C1L182
group1350	Naja-naja	CM019148.1	-	162580001	162588412	1	1	C1L183
group1376	Naja-naja	CM019148.1	-	162634601	162636053	1	1	C1L184
group989	Naja-naja	CM019148.1	-	162666270	162669863	1	1	C1L185
group1071	Naja-naja	CM019148.1	-	162675065	162679999	1	1	C1L186
group648	Naja-naja	CM019148.1	-	162700119	162711494	1	1	C1L187
group1064	Naja-naja	CM019148.1	-	162707015	162708838	1	1	C1L188
group608	Naja-naja	CM019148.1	+	163120338	163135646	1	1	C1L189
group1507	Naja-naja	CM019148.1	+	163485043	163489151	1	1	C1L190
group2479	Naja-naja	CM019148.1	-	163746894	163754312	1	1	C1L191
group1444	Naja-naja	CM019148.1	-	164806439	164812385	1	1	C1L192
group2658	Naja-naja	CM019148.1	+	169060815	169063597	1	1	C1L193
group1909	Naja-naja	CM019148.1	-	170029360	170037616	1	1	C1L194
group725	Naja-naja	CM019148.1	+	170463694	170469540	1	1	C1L195
group1358	Naja-naja	CM019148.1	+	170522604	170531264	1	1	C1L196
group908	Naja-naja	CM019148.1	+	170648974	170651137	1	1	C1L197
group1111	Naja-naja	CM019148.1	-	170956565	170958125	1	1	C1L198
group888	Naja-naja	CM019148.1	-	170993559	1.71e+08	1	1	C1L199
group1191	Naja-naja	CM019148.1	-	171060062	171061356	1	1	C1L200
group635	Naja-naja	CM019148.1	-	171122286	171132424	1	1	C1L201
group768	Naja-naja	CM019148.1	+	172667396	172672634	1	1	C1L202
group1292	Naja-naja	CM019148.1	+	172673027	172680000	1	1	C1L203
group775	Naja-naja	CM019148.1	+	172682964	172687900	1	1	C1L204
group1227	Naja-naja	CM019148.1	+	172720001	172721143	1	1	C1L205
group1478	Naja-naja	CM019148.1	+	172720643	172727270	1	1	C1L206
group1086	Naja-naja	CM019148.1	+	172726707	172731547	1	1	C1L207
group2762	Naja-naja	CM019148.1	-	173274370	173279999	1	1	C1L208
group2440	Naja-naja	CM019148.1	-	173487801	173498820	1	1	C1L209
group737	Naja-naja	CM019148.1	+	173571861	173577513	1	1	C1L210
group1423	Naja-naja	CM019148.1	+	173866831	173877247	1	1	C1L211
group1332	Naja-naja	CM019148.1	-	173868219	173871904	1	1	C1L212
group746	Naja-naja	CM019148.1	-	174474359	174480000	1	1	C1L213
group2751	Naja-naja	CM019148.1	+	175629837	175636795	1	1	C1L214
group2364	Naja-naja	CM019148.1	+	175831165	175837740	1	1	C1L215
group920	Naja-naja	CM019148.1	-	176302365	176309894	1	1	C1L216
group2300	Naja-naja	CM019148.1	-	177074633	177079874	1	1	C1L217
group2595	Naja-naja	CM019148.1	-	178029075	178038850	1	1	C1L218
group544	Naja-naja	CM019148.1	-	178480001	178494539	1	1	C1L219
group1740	Naja-naja	CM019148.1	-	178845423	178856276	1	1	C1L220
group1187	Naja-naja	CM019148.1	-	180042613	180060000	1	1	C1L221
group986	Naja-naja	CM019148.1	-	180131848	180138747	1	1	C1L222
group1016	Naja-naja	CM019148.1	-	180160112	180163787	1	1	C1L223
group1144	Naja-naja	CM019148.1	+	180172397	180179425	1	1	C1L224
group978	Naja-naja	CM019148.1	-	180296186	180297943	1	1	C1L225
group1083	Naja-naja	CM019148.1	-	180364476	180374834	1	1	C1L226
group155	Naja-naja	CM019148.1	-	181192459	181199004	1	1	C1L227
group2570	Naja-naja	CM019148.1	-	181660001	181669327	1	1	C1L228
group980	Naja-naja	CM019148.1	-	182422299	182428708	1	1	C1L229
group382	Naja-naja	CM019148.1	-	185987108	1.86e+08	1	1	C1L230
group1610	Naja-naja	CM019148.1	+	188826695	188839999	1	1	C1L231
group861	Naja-naja	CM019148.1	-	192080584	192099149	1	1	C1L232
group1254	Naja-naja	CM019148.1	-	192701484	192704707	1	1	C1L233
group1611	Naja-naja	CM019148.1	+	193307566	193309802	1	1	C1L234
group1693	Naja-naja	CM019148.1	-	196440449	196456742	1	1	C1L235
group1294	Naja-naja	CM019148.1	-	205649397	205653992	1	1	C1L236
group1778	Naja-naja	CM019148.1	-	205993348	205999972	1	1	C1L237
group1375	Naja-naja	CM019148.1	+	206033458	206039999	1	1	C1L238
group1002	Naja-naja	CM019148.1	+	206200001	206201255	1	1	C1L239
group1394	Naja-naja	CM019148.1	+	206228081	206236496	1	1	C1L240
group681	Naja-naja	CM019148.1	-	206465220	206471762	1	1	C1L241
group947	Naja-naja	CM019148.1	-	206480001	206491389	1	1	C1L242
group975	Naja-naja	CM019148.1	-	206621409	206629413	1	1	C1L243
group854	Naja-naja	CM019148.1	+	207260002	207260985	1	1	C1L244
group1330	Naja-naja	CM019148.1	+	207380819	207390775	1	1	C1L245
group1014	Naja-naja	CM019148.1	+	207533194	207538815	1	1	C1L246
group2855	Naja-naja	CM019148.1	+	207884279	207900000	1	1	C1L247
group133	Naja-naja	CM019148.1	-	208176937	208180000	1	1	C1L248
group2099	Naja-naja	CM019148.1	-	208300001	208312911	1	1	C1L249
group1396	Naja-naja	CM019148.1	-	208520374	208525411	1	1	C1L250
group925	Naja-naja	CM019148.1	-	208525362	208540000	1	1	C1L251
group594	Naja-naja	CM019148.1	-	208777048	208779999	1	1	C1L252
group2635	Naja-naja	CM019148.1	-	209200002	209201918	1	1	C1L253
group1120	Naja-naja	CM019148.1	+	209420001	209423297	1	1	C1L254
group1979	Naja-naja	CM019148.1	-	209880001	209899639	1	1	C1L255
group48	Naja-naja	CM019148.1	+	211845577	211859839	1	1	C1L256
group1221	Naja-naja	CM019148.1	+	212920001	212926811	1	1	C1L257
group732	Naja-naja	CM019148.1	+	212932073	212940000	1	1	C1L258
group723	Naja-naja	CM019148.1	-	213220001	213221316	1	1	C1L259
group898	Naja-naja	CM019148.1	-	213260208	213261994	1	1	C1L260
group1385	Naja-naja	CM019148.1	+	213367698	213378058	1	1	C1L261
group906	Naja-naja	CM019148.1	-	213608678	213615932	1	1	C1L262
group1598	Naja-naja	CM019148.1	-	213684151	213699241	1	1	C1L263
group2284	Naja-naja	CM019148.1	+	214505867	214520000	1	1	C1L264
group232	Naja-naja	CM019148.1	+	214585136	214597158	1	1	C1L265
group480	Naja-naja	CM019148.1	-	216041395	216056411	1	1	C1L266
group739	Naja-naja	CM019148.1	-	216411782	216419511	1	1	C1L267
group829	Naja-naja	CM019148.1	-	217703165	217715108	1	1	C1L268
group1173	Naja-naja	CM019148.1	+	217780555	217792928	1	1	C1L269
group1008	Naja-naja	CM019148.1	+	217873968	217879999	1	1	C1L270
group711	Naja-naja	CM019148.1	+	218113326	218116457	1	1	C1L271
group664	Naja-naja	CM019148.1	+	218126285	218129624	1	1	C1L272
group879	Naja-naja	CM019148.1	+	218225614	218226931	1	1	C1L273
group1031	Naja-naja	CM019148.1	+	218334129	218339045	1	1	C1L274
group103	Naja-naja	CM019148.1	-	220643769	220652551	1	1	C1L275
group1903	Naja-naja	CM019148.1	-	221348951	221359999	1	1	C1L276
group1275	Naja-naja	CM019148.1	-	223028156	223035986	1	1	C1L277
group968	Naja-naja	CM019148.1	-	223236835	223238627	1	1	C1L278
group1384	Naja-naja	CM019148.1	-	223406924	223409576	1	1	C1L279
group1168	Naja-naja	CM019148.1	-	223600001	223606686	1	1	C1L280
group2141	Naja-naja	CM019148.1	-	223920057	223929173	1	1	C1L281
group1344	Naja-naja	CM019148.1	+	223966480	223972849	1	1	C1L282
group724	Naja-naja	CM019148.1	+	224013575	224020000	1	1	C1L283
group669	Naja-naja	CM019148.1	+	224450771	224460000	1	1	C1L284
group1484	Naja-naja	CM019148.1	+	224472112	224477501	1	1	C1L285
group1446	Naja-naja	CM019148.1	-	224667375	224669064	1	1	C1L286
group863	Naja-naja	CM019148.1	-	224678871	224680000	1	1	C1L287
group1365	Naja-naja	CM019148.1	-	224727551	224729094	1	1	C1L288
group1122	Naja-naja	CM019148.1	-	224732687	224738750	1	1	C1L289
group1113	Naja-naja	CM019148.1	-	224786767	224791289	1	1	C1L290
group1200	Naja-naja	CM019148.1	-	224808340	224820000	1	1	C1L291
group1217	Naja-naja	CM019148.1	+	225102255	225117944	1	1	C1L292
group965	Naja-naja	CM019148.1	+	225371650	225378717	1	1	C1L293
group1036	Naja-naja	CM019148.1	+	225394760	225400000	1	1	C1L294
group1282	Naja-naja	CM019148.1	-	225550848	225553250	1	1	C1L295
group970	Naja-naja	CM019148.1	+	225580001	225583763	1	1	C1L296
group705	Naja-naja	CM019148.1	-	225641825	225645751	1	1	C1L297
group1447	Naja-naja	CM019148.1	-	225762332	225771639	1	1	C1L298
group2245	Naja-naja	CM019148.1	-	228181765	228188996	1	1	C1L299
group1652	Naja-naja	CM019148.1	-	229902613	229915220	1	1	C1L300
group1229	Naja-naja	CM019148.1	-	230411039	230417537	1	1	C1L301
group1156	Naja-naja	CM019148.1	-	234011628	234020000	1	1	C1L302
group842	Naja-naja	CM019148.1	-	234100090	234104449	1	1	C1L303
group1479	Naja-naja	CM019148.1	-	234200001	234207653	1	1	C1L304
group1411	Naja-naja	CM019148.1	-	234240461	234246304	1	1	C1L305
group1284	Naja-naja	CM019148.1	-	234342805	234349087	1	1	C1L306
group2964	Naja-naja	CM019148.1	-	234662380	234666500	1	1	C1L307
group17	Naja-naja	CM019148.1	-	235191797	235198869	1	1	C1L308
group2818	Naja-naja	CM019148.1	-	235285475	235290270	1	1	C1L309
group1372	Naja-naja	CM019148.1	+	235580187	235584623	1	1	C1L310
group1680	Naja-naja	CM019148.1	-	236803059	236818863	1	1	C1L311
group1856	Naja-naja	CM019148.1	-	243160002	243174593	1	1	C1L312
group2150	Naja-naja	CM019148.1	+	245571760	245580000	1	1	C1L313
group556	Naja-naja	CM019148.1	-	245808394	245818607	1	1	C1L314
group1513	Naja-naja	CM019148.1	-	246080001	246082614	1	1	C1L315
group1855	Naja-naja	CM019148.1	-	246543533	246560000	1	1	C1L316
group92	Naja-naja	CM019148.1	-	246783145	246799967	1	1	C1L317
group1738	Naja-naja	CM019148.1	-	248121826	248129281	1	1	C1L318
group272	Naja-naja	CM019148.1	+	248297984	248300000	1	1	C1L319
group426	Naja-naja	CM019148.1	-	248700001	248707149	1	1	C1L320
group509	Naja-naja	CM019148.1	-	248836347	248838027	1	1	C1L321
group2459	Naja-naja	CM019148.1	+	249544542	249550310	1	1	C1L322
group2676	Naja-naja	CM019148.1	-	249701588	249716442	1	1	C1L323
group2808	Naja-naja	CM019148.1	-	249841353	249846026	1	1	C1L324
group529	Naja-naja	CM019148.1	-	250080003	250095777	1	1	C1L325
group360	Naja-naja	CM019148.1	-	250180896	250196738	1	1	C1L326
group3056	Naja-naja	CM019148.1	-	250220001	250239187	1	1	C1L327
group2571	Naja-naja	CM019148.1	-	250240090	250252002	1	1	C1L328
group2974	Naja-naja	CM019148.1	-	250280676	250296332	1	1	C1L329
group2594	Naja-naja	CM019148.1	-	250340252	250358665	1	1	C1L330
group2604	Naja-naja	CM019148.1	-	250381465	250395773	1	1	C1L331
group2166	Naja-naja	CM019148.1	-	250911749	250917607	1	1	C1L332
group2754	Naja-naja	CM019148.1	+	251122308	251124752	1	1	C1L333
group321	Naja-naja	CM019148.1	+	251150121	251154042	1	1	C1L334
group2652	Naja-naja	CM019148.1	+	251527840	251539834	1	1	C1L335
group2596	Naja-naja	CM019148.1	-	253000130	253011989	1	1	C1L336
group447	Naja-naja	CM019148.1	-	253020733	253028517	1	1	C1L337
group175	Naja-naja	CM019148.1	+	253148240	253158743	1	1	C1L338
group1	Naja-naja	CM019148.1	+	253163944	253171406	1	1	C1L339
group2925	Naja-naja	CM019148.1	-	256408433	256411287	1	1	C1L340
group3039	Naja-naja	CM019148.1	+	256680030	256697199	1	1	C1L341
group323	Naja-naja	CM019148.1	+	257304524	257315794	1	1	C1L342
group987	Naja-naja	CM019148.1	-	258220001	258228944	1	1	C1L343
group2210	Naja-naja	CM019148.1	-	258770199	258780000	1	1	C1L344
group400	Naja-naja	CM019148.1	+	259366660	259380000	1	1	C1L345
group146	Naja-naja	CM019148.1	+	259480001	259481023	1	1	C1L346
group1618	Naja-naja	CM019148.1	-	259880001	259881261	1	1	C1L347
group2064	Naja-naja	CM019148.1	-	261464847	261478193	1	1	C1L348
group2190	Naja-naja	CM019148.1	-	261490093	261500000	1	1	C1L349
group2569	Naja-naja	CM019148.1	-	261500002	261503793	1	1	C1L350
group255	Naja-naja	CM019148.1	-	261684851	261698164	1	1	C1L351
group1464	Naja-naja	CM019148.1	+	262327122	262337847	1	1	C1L352
group2735	Naja-naja	CM019148.1	-	265021036	265022890	1	1	C1L353
group1746	Naja-naja	CM019148.1	-	266480270	266489241	1	1	C1L354
group1561	Naja-naja	CM019148.1	+	266594226	266600000	1	1	C1L355
group1266	Naja-naja	CM019148.1	-	267136976	267140000	1	1	C1L356
group1419	Naja-naja	CM019148.1	-	267314234	267320000	1	1	C1L357
group1092	Naja-naja	CM019148.1	+	267480001	267495459	1	1	C1L358
group1328	Naja-naja	CM019148.1	+	267488265	267497427	1	1	C1L359
group1468	Naja-naja	CM019148.1	+	267540248	267544140	1	1	C1L360
group976	Naja-naja	CM019148.1	+	267640178	267646849	1	1	C1L361
group1449	Naja-naja	CM019148.1	+	267802477	267810367	1	1	C1L362
group1277	Naja-naja	CM019148.1	+	268027281	268028429	1	1	C1L363
group1066	Naja-naja	CM019148.1	+	268122290	268125006	1	1	C1L364
group1028	Naja-naja	CM019148.1	-	269100002	269105770	1	1	C1L365
group678	Naja-naja	CM019148.1	+	269600002	269614182	1	1	C1L366
group506	Naja-naja	CM019148.1	+	272494949	272499985	1	1	C1L367
group977	Naja-naja	CM019148.1	+	272927430	272935995	1	1	C1L368
group959	Naja-naja	CM019148.1	-	275558118	275560000	1	1	C1L369
group1435	Naja-naja	CM019148.1	-	275917006	275920000	1	1	C1L370
group836	Naja-naja	CM019148.1	-	275995740	275997866	1	1	C1L371
group1441	Naja-naja	CM019148.1	-	276121145	276132517	1	1	C1L372
group868	Naja-naja	CM019148.1	+	276227320	276232949	1	1	C1L373
group1425	Naja-naja	CM019148.1	+	276255412	276260000	1	1	C1L374
group871	Naja-naja	CM019148.1	+	276304968	276306721	1	1	C1L375
group798	Naja-naja	CM019148.1	-	276392599	276396018	1	1	C1L376
group649	Naja-naja	CM019148.1	+	276516310	276517736	1	1	C1L377
group772	Naja-naja	CM019148.1	+	276520002	276529459	1	1	C1L378
group813	Naja-naja	CM019148.1	-	276814719	276817038	1	1	C1L379
group301	Naja-naja	CM019148.1	-	278264187	278278835	1	1	C1L380
