supergroup1	WeinellEntry2195	sample66_0000001716_group1
supergroup11	WeinellEntry2440	sample66_0000001945_group780
supergroup11	WeinellEntry2448	sample66_0000001953_group368
supergroup11	WeinellEntry2459	sample66_0000001964_group464
supergroup11	WeinellEntry2521	sample66_0000002015_group593
supergroup11	WeinellEntry2584	sample66_0000002071_group476
supergroup11	WeinellEntry2650	sample66_0000002135_group163
supergroup11	WeinellEntry2653	sample66_0000002137_group1247
supergroup11	WeinellEntry2684	sample66_0000002165_group759
supergroup11	WeinellEntry2694	sample66_0000002173_group648
supergroup11	WeinellEntry2721	sample66_0000002195_group511
supergroup11	WeinellEntry2755	sample66_0000002224_group665
supergroup11	WeinellEntry2779	sample66_0000002245_group692
supergroup11	WeinellEntry2831	sample66_0000002294_group125
supergroup11	WeinellEntry2852	sample66_0000002314_group1293
supergroup11	WeinellEntry2869	sample66_0000002330_group55
supergroup11	WeinellEntry2871	sample66_0000002332_group119
supergroup11	WeinellEntry2882	sample66_0000002342_group651
supergroup11	WeinellEntry2896	sample66_0000002354_group2010
supergroup11	WeinellEntry2897	sample66_0000002355_group950
supergroup11	WeinellEntry2901	sample66_0000002359_group758
supergroup11	WeinellEntry2950	sample66_0000002403_group11
supergroup11	WeinellEntry2951	sample66_0000002404_group677
supergroup11	WeinellEntry2955	sample66_0000002408_group976
supergroup11	WeinellEntry2961	sample66_0000002414_group224
supergroup11	WeinellEntry2965	sample66_0000002418_group3274
supergroup11	WeinellEntry2972	sample66_0000002424_group11
supergroup11	WeinellEntry2984	sample66_0000002436_group1398
supergroup11	WeinellEntry3015	sample66_0000002466_group772
supergroup11	WeinellEntry3025	sample66_0000002476_group756
supergroup11	WeinellEntry3027	sample66_0000002478_group1267
supergroup11	WeinellEntry3047	sample66_0000002493_group535
supergroup11	WeinellEntry3056	sample66_0000002501_group1326
supergroup11	WeinellEntry3067	sample66_0000002512_group3012
supergroup11	WeinellEntry3071	sample66_0000002516_group778
supergroup11	WeinellEntry3095	sample66_0000002538_group699
supergroup11	WeinellEntry3100	sample66_0000002542_group652
supergroup11	WeinellEntry3101	sample66_0000002543_group987
supergroup11	WeinellEntry3130	sample66_0000002570_group782
supergroup11	WeinellEntry3136	sample66_0000002575_group101
supergroup11	WeinellEntry5335	sample66_0000002735_group1232
supergroup11	WeinellEntry5449	sample66_0000002842_group614
supergroup11	WeinellEntry5483	sample66_0000002876_group39
supergroup11	WeinellEntry5491	sample66_0000002884_group743
supergroup11	WeinellEntry5529	sample66_0000002922_group610
supergroup11	WeinellEntry5567	sample66_0000002960_group4375
supergroup11	WeinellEntry5592	sample66_0000002985_group14202
supergroup11	WeinellEntry5609	sample66_0000003002_group1781
supergroup11	WeinellEntry5664	sample66_0000003057_group31
supergroup11	WeinellEntry5676	sample66_0000003069_group1114
supergroup11	WeinellEntry5690	sample66_0000003083_group16
supergroup11	WeinellEntry5696	sample66_0000003089_group14245
supergroup11	WeinellEntry5705	sample66_0000003098_group757
supergroup12	WeinellEntry514	sample66_0000000390_group12
supergroup12	WeinellEntry617	sample66_0000000473_group12
supergroup12	WeinellEntry2688	sample66_0000002169_group12
supergroup12	WeinellEntry5549	sample66_0000002942_group12
supergroup13	WeinellEntry2462	sample66_0000001967_group13
supergroup14	WeinellEntry2687	sample66_0000002168_group14
supergroup15	WeinellEntry1727	sample66_0000001457_group15
supergroup15	WeinellEntry5497	sample66_0000002890_group15
supergroup16	WeinellEntry5690	sample66_0000003083_group16
supergroup17	WeinellEntry2428	sample66_0000001933_group17
supergroup17	WeinellEntry5366	sample66_0000002765_group17
supergroup18	NA	NA
supergroup19	WeinellEntry2544	sample66_0000002036_group19
supergroup20	WeinellEntry2382	sample66_0000001890_group20
supergroup20	WeinellEntry3037	sample66_0000002485_group20
supergroup20	WeinellEntry5708	sample66_0000003101_group20
supergroup21	WeinellEntry2351	sample66_0000001861_group21
supergroup21	WeinellEntry2483	sample66_0000001986_group21
supergroup21	WeinellEntry2529	sample66_0000002023_group21
supergroup21	WeinellEntry2784	sample66_0000002250_group21
supergroup21	WeinellEntry2999	sample66_0000002451_group21
supergroup21	WeinellEntry5434	sample66_0000002827_group21
supergroup21	WeinellEntry5520	sample66_0000002913_group21
supergroup21	WeinellEntry5552	sample66_0000002945_group21
supergroup21	WeinellEntry5562	sample66_0000002955_group21
supergroup21	WeinellEntry5632	sample66_0000003025_group21
supergroup21	WeinellEntry5707	sample66_0000003100_group21
supergroup22	WeinellEntry2198	sample66_0000001719_group22
supergroup23	WeinellEntry5488	sample66_0000002881_group23
supergroup24	NA	NA
supergroup25	WeinellEntry2417	sample66_0000001923_group25
supergroup26	WeinellEntry5616	sample66_0000003009_group26
supergroup27	WeinellEntry5591	sample66_0000002984_group27
supergroup28	WeinellEntry2405	sample66_0000001913_group28
supergroup28	WeinellEntry2771	sample66_0000002238_group28
supergroup28	WeinellEntry5654	sample66_0000003047_group28
supergroup29	WeinellEntry5499	sample66_0000002892_group29
supergroup30	WeinellEntry5605	sample66_0000002998_group30
supergroup31	WeinellEntry5664	sample66_0000003057_group31
supergroup32	WeinellEntry2316	sample66_0000001830_group32
supergroup32	WeinellEntry2682	sample66_0000002163_group32
supergroup32	WeinellEntry5349	sample66_0000002749_group32
supergroup33	NA	NA
supergroup34	WeinellEntry2410	sample66_0000001917_group34
supergroup35	WeinellEntry2478	sample66_0000001981_group35
supergroup36	WeinellEntry2489	sample66_0000001991_group36
supergroup37	NA	NA
supergroup38	WeinellEntry3064	sample66_0000002509_group38
supergroup39	WeinellEntry5483	sample66_0000002876_group39
supergroup40	WeinellEntry5308	sample66_0000002712_group40
supergroup40	WeinellEntry5310	sample66_0000002714_group40
supergroup41	WeinellEntry2460	sample66_0000001965_group41
supergroup42	NA	NA
supergroup43	WeinellEntry3152	sample66_0000002586_group43
supergroup43	WeinellEntry5220	sample66_0000002627_group43
supergroup43	WeinellEntry5428	sample66_0000002821_group43
supergroup43	WeinellEntry5674	sample66_0000003067_group43
supergroup44	WeinellEntry2874	sample66_0000002334_group44
supergroup45	WeinellEntry5278	sample66_0000002684_group45
supergroup46	WeinellEntry2928	sample66_0000002382_group46
supergroup47	WeinellEntry2786	sample66_0000002252_group47
supergroup48	WeinellEntry2265	sample66_0000001782_group48
supergroup48	WeinellEntry2851	sample66_0000002313_group48
supergroup48	WeinellEntry2923	sample66_0000002378_group48
supergroup49	WeinellEntry1804	sample66_0000001528_group49
supergroup49	WeinellEntry2206	sample66_0000001726_group49
supergroup50	WeinellEntry2507	sample66_0000002003_group50
supergroup51	WeinellEntry2372	sample66_0000001881_group51
supergroup52	WeinellEntry2257	sample66_0000001774_group52
supergroup53	WeinellEntry2763	sample66_0000002231_group53
supergroup54	WeinellEntry2341	sample66_0000001852_group54
supergroup54	WeinellEntry2631	sample66_0000002117_group54
supergroup54	WeinellEntry2892	sample66_0000002351_group54
supergroup55	WeinellEntry2869	sample66_0000002330_group55
supergroup56	WeinellEntry2383	sample66_0000001891_group56
supergroup57	WeinellEntry2480	sample66_0000001983_group57
supergroup58	WeinellEntry2566	sample66_0000002054_group58
supergroup59	WeinellEntry3102	sample66_0000002544_group59
supergroup60	WeinellEntry2245	sample66_0000001762_group60
supergroup61	WeinellEntry2530	sample66_0000002024_group61
supergroup62	WeinellEntry2237	sample66_0000001755_group62
supergroup63	WeinellEntry3003	sample66_0000002455_group63
supergroup63	WeinellEntry3068	sample66_0000002513_group63
supergroup64	WeinellEntry2409	sample66_0000001916_group64
supergroup65	WeinellEntry2582	sample66_0000002069_group65
supergroup66	WeinellEntry2545	sample66_0000002037_group66
supergroup67	WeinellEntry2391	sample66_0000001899_group67
supergroup68	WeinellEntry677	sample66_0000000525_group68
supergroup68	WeinellEntry1273	sample66_0000001057_group68
supergroup68	WeinellEntry2501	sample66_0000001997_group68
supergroup68	WeinellEntry2673	sample66_0000002154_group68
supergroup68	WeinellEntry2924	sample66_0000002379_group68
supergroup68	WeinellEntry5462	sample66_0000002855_group68
supergroup69	WeinellEntry2627	sample66_0000002113_group69
supergroup70	WeinellEntry2304	sample66_0000001818_group70
supergroup70	WeinellEntry2643	sample66_0000002128_group70
supergroup71	WeinellEntry2185	sample66_0000001709_group71
supergroup72	WeinellEntry2534	sample66_0000002027_group72
supergroup73	WeinellEntry2318	sample66_0000001832_group73
supergroup74	WeinellEntry2403	sample66_0000001911_group74
supergroup75	WeinellEntry2698	sample66_0000002177_group75
supergroup75	WeinellEntry3013	sample66_0000002464_group75
supergroup76	WeinellEntry2241	sample66_0000001759_group76
supergroup77	WeinellEntry2190	sample66_0000001713_group77
supergroup78	WeinellEntry2602	sample66_0000002089_group78
supergroup79	WeinellEntry3040	sample66_0000002488_group79
supergroup80	WeinellEntry2228	sample66_0000001747_group80
supergroup80	WeinellEntry5452	sample66_0000002845_group80
supergroup81	WeinellEntry2992	sample66_0000002444_group81
supergroup81	WeinellEntry3092	sample66_0000002535_group81
supergroup82	WeinellEntry2718	sample66_0000002193_group82
supergroup83	WeinellEntry2191	sample66_0000001714_group83
supergroup84	WeinellEntry2557	sample66_0000002047_group84
supergroup85	WeinellEntry2541	sample66_0000002033_group85
supergroup86	WeinellEntry2220	sample66_0000001739_group86
supergroup87	WeinellEntry1258	sample66_0000001043_group87
supergroup87	WeinellEntry2356	sample66_0000001866_group87
supergroup87	WeinellEntry3111	sample66_0000002552_group87
supergroup87	WeinellEntry5233	sample66_0000002639_group87
supergroup87	WeinellEntry5527	sample66_0000002920_group87
supergroup87	WeinellEntry5551	sample66_0000002944_group87
supergroup88	WeinellEntry2455	sample66_0000001960_group88
supergroup89	NA	NA
supergroup90	WeinellEntry2873	sample66_0000002333_group90
supergroup91	WeinellEntry2461	sample66_0000001966_group91
supergroup92	WeinellEntry2270	sample66_0000001787_group92
supergroup93	WeinellEntry2929	sample66_0000002383_group93
supergroup94	WeinellEntry2870	sample66_0000002331_group94
supergroup95	WeinellEntry2558	sample66_0000002048_group95
supergroup96	WeinellEntry2452	sample66_0000001957_group96
supergroup97	WeinellEntry2614	sample66_0000002100_group97
supergroup98	WeinellEntry2533	sample66_0000002026_group98
supergroup99	WeinellEntry2938	sample66_0000002391_group99
supergroup100	WeinellEntry2934	sample66_0000002388_group100
supergroup101	WeinellEntry3136	sample66_0000002575_group101
supergroup102	WeinellEntry3129	sample66_0000002569_group102
supergroup103	WeinellEntry2516	sample66_0000002012_group103
supergroup104	WeinellEntry2581	sample66_0000002068_group104
supergroup105	WeinellEntry2550	sample66_0000002041_group105
supergroup105	WeinellEntry2838	sample66_0000002301_group105
supergroup106	WeinellEntry2751	sample66_0000002221_group106
supergroup107	WeinellEntry2295	sample66_0000001810_group107
supergroup107	WeinellEntry2402	sample66_0000001910_group107
supergroup107	WeinellEntry5341	sample66_0000002741_group107
supergroup108	WeinellEntry2262	sample66_0000001779_group108
supergroup109	WeinellEntry2427	sample66_0000001932_group109
supergroup110	WeinellEntry2739	sample66_0000002211_group110
supergroup111	NA	NA
supergroup112	WeinellEntry2554	sample66_0000002044_group112
supergroup113	WeinellEntry3066	sample66_0000002511_group113
supergroup114	NA	NA
supergroup115	NA	NA
supergroup116	WeinellEntry2789	sample66_0000002255_group116
supergroup117	NA	NA
supergroup118	WeinellEntry2219	sample66_0000001738_group118
supergroup118	WeinellEntry3082	sample66_0000002525_group118
supergroup118	WeinellEntry5325	sample66_0000002726_group118
supergroup119	WeinellEntry2871	sample66_0000002332_group119
supergroup120	WeinellEntry2481	sample66_0000001984_group120
supergroup121	WeinellEntry2815	sample66_0000002280_group121
supergroup122	WeinellEntry2398	sample66_0000001906_group122
supergroup122	WeinellEntry5595	sample66_0000002988_group122
supergroup123	NA	NA
supergroup124	WeinellEntry2375	sample66_0000001883_group124
supergroup125	WeinellEntry2831	sample66_0000002294_group125
supergroup126	WeinellEntry2887	sample66_0000002346_group126
supergroup127	WeinellEntry3121	sample66_0000002561_group127
supergroup128	WeinellEntry2548	sample66_0000002039_group128
supergroup128	WeinellEntry3090	sample66_0000002533_group128
supergroup128	WeinellEntry5319	sample66_0000002722_group128
supergroup129	WeinellEntry2903	sample66_0000002360_group129
supergroup130	WeinellEntry1984	sample66_0000001639_group130
supergroup130	WeinellEntry2178	sample66_0000001703_group130
supergroup131	WeinellEntry2590	sample66_0000002077_group131
supergroup132	WeinellEntry2727	sample66_0000002201_group132
supergroup133	WeinellEntry3088	sample66_0000002531_group133
supergroup134	NA	NA
supergroup135	WeinellEntry2988	sample66_0000002440_group135
supergroup136	NA	NA
supergroup137	WeinellEntry2841	sample66_0000002304_group137
supergroup138	NA	NA
supergroup139	WeinellEntry2906	sample66_0000002363_group139
supergroup140	NA	NA
supergroup141	WeinellEntry2297	sample66_0000001811_group141
supergroup142	NA	NA
supergroup143	WeinellEntry2450	sample66_0000001955_group143
supergroup143	WeinellEntry2505	sample66_0000002001_group143
supergroup144	NA	NA
supergroup145	WeinellEntry2307	sample66_0000001821_group145
supergroup145	WeinellEntry2591	sample66_0000002078_group145
supergroup146	WeinellEntry2238	sample66_0000001756_group146
supergroup147	WeinellEntry2484	sample66_0000001987_group147
supergroup148	WeinellEntry2444	sample66_0000001949_group148
supergroup148	WeinellEntry5481	sample66_0000002874_group148
supergroup148	WeinellEntry5727	sample66_0000003120_group148
supergroup149	WeinellEntry2269	sample66_0000001786_group149
supergroup150	WeinellEntry2303	sample66_0000001817_group150
supergroup150	WeinellEntry2432	sample66_0000001937_group150
supergroup151	WeinellEntry358	sample66_0000000260_group151
supergroup152	WeinellEntry2594	sample66_0000002081_group152
supergroup153	WeinellEntry2467	sample66_0000001971_group153
supergroup153	WeinellEntry2600	sample66_0000002087_group153
supergroup154	WeinellEntry2904	sample66_0000002361_group154
supergroup155	WeinellEntry2173	sample66_0000001698_group155
supergroup156	WeinellEntry632	sample66_0000000485_group156
supergroup157	WeinellEntry2225	sample66_0000001744_group157
supergroup157	WeinellEntry2240	sample66_0000001758_group157
supergroup157	WeinellEntry2283	sample66_0000001798_group157
supergroup157	WeinellEntry2720	sample66_0000002194_group157
supergroup158	WeinellEntry2385	sample66_0000001893_group158
supergroup158	WeinellEntry2542	sample66_0000002034_group158
supergroup158	WeinellEntry5281	sample66_0000002686_group158
supergroup159	WeinellEntry2171	sample66_0000001697_group159
supergroup160	WeinellEntry2284	sample66_0000001799_group160
supergroup161	WeinellEntry3018	sample66_0000002469_group161
supergroup162	WeinellEntry2500	sample66_0000001996_group162
supergroup163	WeinellEntry2650	sample66_0000002135_group163
supergroup164	WeinellEntry2470	sample66_0000001974_group164
supergroup165	WeinellEntry3117	sample66_0000002557_group165
supergroup166	NA	NA
supergroup167	WeinellEntry2359	sample66_0000001869_group167
supergroup168	WeinellEntry2663	sample66_0000002145_group168
supergroup169	NA	NA
supergroup170	NA	NA
supergroup171	WeinellEntry2294	sample66_0000001809_group171
supergroup172	WeinellEntry2943	sample66_0000002396_group172
supergroup173	WeinellEntry2249	sample66_0000001766_group173
supergroup174	NA	NA
supergroup175	WeinellEntry2937	sample66_0000002390_group175
supergroup176	NA	NA
supergroup177	WeinellEntry2379	sample66_0000001887_group177
supergroup178	WeinellEntry2267	sample66_0000001784_group178
supergroup179	NA	NA
supergroup180	WeinellEntry2845	sample66_0000002307_group180
supergroup181	WeinellEntry3124	sample66_0000002564_group181
supergroup182	WeinellEntry2397	sample66_0000001905_group182
supergroup183	WeinellEntry2404	sample66_0000001912_group183
supergroup184	WeinellEntry2958	sample66_0000002411_group184
supergroup185	WeinellEntry3052	sample66_0000002498_group185
supergroup186	NA	NA
supergroup187	WeinellEntry2336	sample66_0000001848_group187
supergroup188	WeinellEntry2217	sample66_0000001736_group188
supergroup188	WeinellEntry2679	sample66_0000002160_group188
supergroup189	WeinellEntry2214	sample66_0000001734_group189
supergroup190	WeinellEntry2723	sample66_0000002197_group190
supergroup191	WeinellEntry2657	sample66_0000002140_group191
supergroup192	NA	NA
supergroup193	WeinellEntry2231	sample66_0000001749_group193
supergroup194	WeinellEntry2575	sample66_0000002063_group194
supergroup194	WeinellEntry2856	sample66_0000002318_group194
supergroup194	WeinellEntry2946	sample66_0000002399_group194
supergroup194	WeinellEntry2968	sample66_0000002421_group194
supergroup195	WeinellEntry2335	sample66_0000001847_group195
supergroup196	NA	NA
supergroup197	WeinellEntry2157	sample66_0000001684_group197
supergroup198	WeinellEntry2358	sample66_0000001868_group198
supergroup199	WeinellEntry2509	sample66_0000002005_group199
supergroup200	WeinellEntry2473	sample66_0000001977_group200
supergroup201	WeinellEntry2998	sample66_0000002450_group201
supergroup202	WeinellEntry2833	sample66_0000002296_group202
supergroup203	WeinellEntry1656	sample66_0000001400_group203
supergroup203	WeinellEntry3075	sample66_0000002519_group203
supergroup204	WeinellEntry2447	sample66_0000001952_group204
supergroup205	WeinellEntry2472	sample66_0000001976_group205
supergroup205	WeinellEntry2768	sample66_0000002235_group205
supergroup206	WeinellEntry2667	sample66_0000002149_group206
supergroup207	WeinellEntry2298	sample66_0000001812_group207
supergroup207	WeinellEntry2945	sample66_0000002398_group207
supergroup208	WeinellEntry2793	sample66_0000002259_group208
supergroup209	WeinellEntry2665	sample66_0000002147_group209
supergroup210	WeinellEntry2966	sample66_0000002419_group210
supergroup211	WeinellEntry2754	sample66_0000002223_group211
supergroup212	WeinellEntry2994	sample66_0000002446_group212
supergroup213	WeinellEntry2857	sample66_0000002319_group213
supergroup214	WeinellEntry2418	sample66_0000001924_group214
supergroup214	WeinellEntry3125	sample66_0000002565_group214
supergroup215	WeinellEntry826	sample66_0000000661_group215
supergroup215	WeinellEntry2207	sample66_0000001727_group215
supergroup215	WeinellEntry2677	sample66_0000002158_group215
supergroup216	WeinellEntry2282	sample66_0000001797_group216
supergroup216	WeinellEntry2423	sample66_0000001928_group216
supergroup217	NA	NA
supergroup218	WeinellEntry2617	sample66_0000002103_group218
supergroup219	WeinellEntry2634	sample66_0000002120_group219
supergroup220	WeinellEntry3065	sample66_0000002510_group220
supergroup221	NA	NA
supergroup222	NA	NA
supergroup223	NA	NA
supergroup224	WeinellEntry2961	sample66_0000002414_group224
supergroup225	WeinellEntry2175	sample66_0000001700_group225
supergroup226	NA	NA
supergroup227	WeinellEntry2850	sample66_0000002312_group227
supergroup228	NA	NA
supergroup229	WeinellEntry2846	sample66_0000002308_group229
supergroup230	WeinellEntry2330	sample66_0000001843_group230
supergroup231	WeinellEntry3014	sample66_0000002465_group231
supergroup232	WeinellEntry3150	sample66_0000002585_group232
supergroup233	WeinellEntry2512	sample66_0000002008_group233
supergroup234	WeinellEntry2429	sample66_0000001934_group234
supergroup235	WeinellEntry2210	sample66_0000001730_group235
supergroup236	WeinellEntry2683	sample66_0000002164_group236
supergroup237	WeinellEntry3007	sample66_0000002458_group237
supergroup238	WeinellEntry2430	sample66_0000001935_group238
supergroup239	WeinellEntry2571	sample66_0000002059_group239
supergroup240	WeinellEntry2791	sample66_0000002257_group240
supergroup241	WeinellEntry2229	sample66_0000001748_group241
supergroup241	WeinellEntry2821	sample66_0000002285_group241
supergroup241	WeinellEntry2862	sample66_0000002323_group241
supergroup242	WeinellEntry2400	sample66_0000001908_group242
supergroup243	WeinellEntry2204	sample66_0000001724_group243
supergroup244	WeinellEntry2804	sample66_0000002270_group244
supergroup244	WeinellEntry3062	sample66_0000002507_group244
supergroup245	WeinellEntry2537	sample66_0000002030_group245
supergroup246	WeinellEntry2392	sample66_0000001900_group246
supergroup246	WeinellEntry2836	sample66_0000002299_group246
supergroup247	WeinellEntry2710	sample66_0000002188_group247
supergroup248	WeinellEntry2502	sample66_0000001998_group248
supergroup249	WeinellEntry3008	sample66_0000002459_group249
supergroup250	WeinellEntry2811	sample66_0000002276_group250
supergroup251	WeinellEntry2567	sample66_0000002055_group251
supergroup252	WeinellEntry2511	sample66_0000002007_group252
supergroup253	WeinellEntry2829	sample66_0000002292_group253
supergroup254	WeinellEntry2881	sample66_0000002341_group254
supergroup255	WeinellEntry2343	sample66_0000001854_group255
supergroup256	WeinellEntry2610	sample66_0000002097_group256
supergroup257	WeinellEntry2681	sample66_0000002162_group257
supergroup258	WeinellEntry2540	sample66_0000002032_group258
supergroup259	WeinellEntry2630	sample66_0000002116_group259
supergroup260	WeinellEntry2568	sample66_0000002056_group260
supergroup261	WeinellEntry2580	sample66_0000002067_group261
supergroup262	WeinellEntry3055	sample66_0000002500_group262
supergroup263	WeinellEntry2964	sample66_0000002417_group263
supergroup264	WeinellEntry2685	sample66_0000002166_group264
supergroup265	WeinellEntry2328	sample66_0000001841_group265
supergroup266	WeinellEntry2626	sample66_0000002112_group266
supergroup267	WeinellEntry2246	sample66_0000001763_group267
supergroup268	WeinellEntry2288	sample66_0000001803_group268
supergroup269	WeinellEntry2939	sample66_0000002392_group269
supergroup270	NA	NA
supergroup271	WeinellEntry2368	sample66_0000001877_group271
supergroup272	WeinellEntry2974	sample66_0000002426_group272
supergroup273	WeinellEntry3083	sample66_0000002526_group273
supergroup274	WeinellEntry2261	sample66_0000001778_group274
supergroup275	WeinellEntry2329	sample66_0000001842_group275
supergroup276	WeinellEntry2156	sample66_0000001683_group276
supergroup277	WeinellEntry2520	sample66_0000002014_group277
supergroup278	WeinellEntry2820	sample66_0000002284_group278
supergroup279	WeinellEntry2266	sample66_0000001783_group279
supergroup279	WeinellEntry3137	sample66_0000002576_group279
supergroup280	WeinellEntry3034	sample66_0000002483_group280
supergroup281	WeinellEntry2369	sample66_0000001878_group281
supergroup281	WeinellEntry5506	sample66_0000002899_group281
supergroup282	WeinellEntry2628	sample66_0000002114_group282
supergroup283	NA	NA
supergroup284	NA	NA
supergroup285	WeinellEntry2388	sample66_0000001896_group285
supergroup286	WeinellEntry2177	sample66_0000001702_group286
supergroup287	NA	NA
supergroup288	WeinellEntry5728	sample66_0000003121_group288
supergroup289	WeinellEntry2451	sample66_0000001956_group289
supergroup290	WeinellEntry2919	sample66_0000002375_group290
supergroup291	WeinellEntry2333	sample66_0000001845_group291
supergroup292	WeinellEntry3084	sample66_0000002527_group292
supergroup293	WeinellEntry2426	sample66_0000001931_group293
supergroup294	WeinellEntry2837	sample66_0000002300_group294
supergroup295	WeinellEntry3020	sample66_0000002471_group295
supergroup296	WeinellEntry2454	sample66_0000001959_group296
supergroup297	NA	NA
supergroup298	WeinellEntry2686	sample66_0000002167_group298
supergroup299	WeinellEntry2279	sample66_0000001794_group299
supergroup300	NA	NA
supergroup301	WeinellEntry2981	sample66_0000002433_group301
supergroup302	WeinellEntry2389	sample66_0000001897_group302
supergroup303	WeinellEntry3080	sample66_0000002523_group303
supergroup303	WeinellEntry3103	sample66_0000002545_group303
supergroup304	WeinellEntry2976	sample66_0000002428_group304
supergroup305	WeinellEntry2211	sample66_0000001731_group305
supergroup306	WeinellEntry2524	sample66_0000002018_group306
supergroup307	WeinellEntry3145	sample66_0000002584_group307
supergroup308	WeinellEntry2399	sample66_0000001907_group308
supergroup308	WeinellEntry5682	sample66_0000003075_group308
supergroup309	WeinellEntry3010	sample66_0000002461_group309
supergroup310	WeinellEntry2166	sample66_0000001692_group310
supergroup311	WeinellEntry3107	sample66_0000002548_group311
supergroup312	WeinellEntry2364	sample66_0000001873_group312
supergroup313	WeinellEntry2803	sample66_0000002269_group313
supergroup314	WeinellEntry2259	sample66_0000001776_group314
supergroup315	WeinellEntry2286	sample66_0000001801_group7630
supergroup315	WeinellEntry2503	sample66_0000001999_group315
supergroup316	WeinellEntry2549	sample66_0000002040_group316
supergroup317	WeinellEntry2154	sample66_0000001681_group317
supergroup318	WeinellEntry264	sample66_0000000185_group318
supergroup318	WeinellEntry284	sample66_0000000202_group318
supergroup318	WeinellEntry1336	sample66_0000001113_group318
supergroup318	WeinellEntry5420	sample66_0000002813_group318
supergroup318	WeinellEntry5678	sample66_0000003071_group318
supergroup319	WeinellEntry2648	sample66_0000002133_group319
supergroup320	WeinellEntry2188	sample66_0000001712_group320
supergroup321	WeinellEntry1473	sample66_0000001236_group321
supergroup321	WeinellEntry1625	sample66_0000001371_group321
supergroup321	WeinellEntry2647	sample66_0000002132_group321
supergroup322	WeinellEntry2737	sample66_0000002209_group322
supergroup323	WeinellEntry2477	sample66_0000001980_group323
supergroup324	WeinellEntry2794	sample66_0000002260_group324
supergroup325	NA	NA
supergroup326	WeinellEntry2670	sample66_0000002151_group326
supergroup327	WeinellEntry2506	sample66_0000002002_group327
supergroup328	NA	NA
supergroup329	WeinellEntry2776	sample66_0000002243_group329
supergroup330	WeinellEntry2715	sample66_0000002192_group330
supergroup331	WeinellEntry2547	sample66_0000002038_group331
supergroup331	WeinellEntry2587	sample66_0000002074_group331
supergroup332	WeinellEntry2268	sample66_0000001785_group332
supergroup333	WeinellEntry2415	sample66_0000001921_group333
supergroup334	NA	NA
supergroup335	WeinellEntry2783	sample66_0000002249_group335
supergroup336	NA	NA
supergroup337	WeinellEntry2340	sample66_0000001851_group337
supergroup338	WeinellEntry2515	sample66_0000002011_group338
supergroup339	WeinellEntry2810	sample66_0000002275_group339
supergroup340	WeinellEntry2577	sample66_0000002064_group340
supergroup341	WeinellEntry2877	sample66_0000002337_group341
supergroup342	WeinellEntry2353	sample66_0000001863_group342
supergroup343	WeinellEntry2221	sample66_0000001740_group343
supergroup344	WeinellEntry2289	sample66_0000001804_group344
supergroup345	NA	NA
