locus	blockname	blockname_genespace
group491	chr1block1	naja_thamnophis_naja_thamnophis_1_1_1_1_0
group496	chr1block3	naja_thamnophis_naja_thamnophis_1_3_1_1_0
group501	chr1block5	naja_thamnophis_naja_thamnophis_1_4_1_1_0
group506	chr1block1	naja_thamnophis_naja_thamnophis_1_1_1_1_0
group509	chr1block1	naja_thamnophis_naja_thamnophis_1_1_1_1_0
group512	chr1block5	naja_thamnophis_naja_thamnophis_1_4_1_1_0
group529	chr1block1	naja_thamnophis_naja_thamnophis_1_1_1_1_0
group534	chr1block1	naja_thamnophis_naja_thamnophis_1_1_1_1_0
group543	chr1block5	naja_thamnophis_naja_thamnophis_1_4_1_1_0
group544	chr1block3	naja_thamnophis_naja_thamnophis_1_3_1_1_0
group556	chr1block1	naja_thamnophis_naja_thamnophis_1_1_1_1_0
group561	chr1block5	naja_thamnophis_naja_thamnophis_1_4_1_1_0
group567	chr1block5	naja_thamnophis_naja_thamnophis_1_4_1_1_0
group593	chr1block1	naja_thamnophis_naja_thamnophis_1_1_1_1_0
group594	chr1block1	naja_thamnophis_naja_thamnophis_1_1_1_1_0
group608	chr1block3	naja_thamnophis_naja_thamnophis_1_3_1_1_0
group618	chr1block5	naja_thamnophis_naja_thamnophis_1_4_1_1_0
group631	chr1block1	naja_thamnophis_naja_thamnophis_1_1_1_1_0
group633	chr1block5	naja_thamnophis_naja_thamnophis_1_4_1_1_0
group634	chr1block5	naja_thamnophis_naja_thamnophis_1_4_1_1_0
group635	chr1block3	naja_thamnophis_naja_thamnophis_1_3_1_1_0
group648	chr1block3	naja_thamnophis_naja_thamnophis_1_3_1_1_0
group649	chr1block1	naja_thamnophis_naja_thamnophis_1_1_1_1_0
group651	chr1block5	naja_thamnophis_naja_thamnophis_1_4_1_1_0
group653	chr1block5	naja_thamnophis_naja_thamnophis_1_4_1_1_0
group654	chr1block5	naja_thamnophis_naja_thamnophis_1_4_1_1_0
group660	chr1block1	naja_thamnophis_naja_thamnophis_1_1_1_1_0
group661	chr1block1	naja_thamnophis_naja_thamnophis_1_1_1_1_0
group664	chr1block1	naja_thamnophis_naja_thamnophis_1_1_1_1_0
group666	chr1block5	naja_thamnophis_naja_thamnophis_1_4_1_1_0
group669	chr1block1	naja_thamnophis_naja_thamnophis_1_1_1_1_0
group671	chr1block1	naja_thamnophis_naja_thamnophis_1_1_1_1_0
group678	chr1block1	naja_thamnophis_naja_thamnophis_1_1_1_1_0
group681	chr1block1	naja_thamnophis_naja_thamnophis_1_1_1_1_0
group683	chr1block5	naja_thamnophis_naja_thamnophis_1_4_1_1_0
group685	chr1block1	naja_thamnophis_naja_thamnophis_1_1_1_1_0
group688	chr1block5	naja_thamnophis_naja_thamnophis_1_4_1_1_0
group692	chr1block5	naja_thamnophis_naja_thamnophis_1_4_1_1_0
group695	chr1block5	naja_thamnophis_naja_thamnophis_1_4_1_1_0
group700	chr1block5	naja_thamnophis_naja_thamnophis_1_4_1_1_0
group705	chr1block1	naja_thamnophis_naja_thamnophis_1_1_1_1_0
group711	chr1block1	naja_thamnophis_naja_thamnophis_1_1_1_1_0
group714	chr1block5	naja_thamnophis_naja_thamnophis_1_4_1_1_0
group719	chr1block5	naja_thamnophis_naja_thamnophis_1_4_1_1_0
group723	chr1block1	naja_thamnophis_naja_thamnophis_1_1_1_1_0
group724	chr1block1	naja_thamnophis_naja_thamnophis_1_1_1_1_0
group725	chr1block3	naja_thamnophis_naja_thamnophis_1_3_1_1_0
group727	chr1block1	naja_thamnophis_naja_thamnophis_1_1_1_1_0
group732	chr1block1	naja_thamnophis_naja_thamnophis_1_1_1_1_0
group733	chr1block5	naja_thamnophis_naja_thamnophis_1_4_1_1_0
group737	chr1block3	naja_thamnophis_naja_thamnophis_1_3_1_1_0
group739	chr1block1	naja_thamnophis_naja_thamnophis_1_1_1_1_0
group746	chr1block3	naja_thamnophis_naja_thamnophis_1_3_1_1_0
group747	chr1block1	naja_thamnophis_naja_thamnophis_1_1_1_1_0
group750	chr1block1	naja_thamnophis_naja_thamnophis_1_1_1_1_0
group754	chr1block1	naja_thamnophis_naja_thamnophis_1_1_1_1_0
group756	chr1block5	naja_thamnophis_naja_thamnophis_1_4_1_1_0
group764	chr1block5	naja_thamnophis_naja_thamnophis_1_4_1_1_0
group768	chr1block3	naja_thamnophis_naja_thamnophis_1_3_1_1_0
group772	chr1block1	naja_thamnophis_naja_thamnophis_1_1_1_1_0
group775	chr1block3	naja_thamnophis_naja_thamnophis_1_3_1_1_0
group778	chr1block5	naja_thamnophis_naja_thamnophis_1_4_1_1_0
group781	chr1block5	naja_thamnophis_naja_thamnophis_1_4_1_1_0
group795	chr1block5	naja_thamnophis_naja_thamnophis_1_4_1_1_0
group798	chr1block1	naja_thamnophis_naja_thamnophis_1_1_1_1_0
group804	chr1block5	naja_thamnophis_naja_thamnophis_1_4_1_1_0
group805	chr1block1	naja_thamnophis_naja_thamnophis_1_1_1_1_0
group810	chr1block5	naja_thamnophis_naja_thamnophis_1_4_1_1_0
group813	chr1block1	naja_thamnophis_naja_thamnophis_1_1_1_1_0
group816	chr1block5	naja_thamnophis_naja_thamnophis_1_4_1_1_0
group824	chr1block1	naja_thamnophis_naja_thamnophis_1_1_1_1_0
group829	chr1block1	naja_thamnophis_naja_thamnophis_1_1_1_1_0
group832	chr1block5	naja_thamnophis_naja_thamnophis_1_4_1_1_0
group835	chr1block1	naja_thamnophis_naja_thamnophis_1_1_1_1_0
group836	chr1block1	naja_thamnophis_naja_thamnophis_1_1_1_1_0
group842	chr1block1	naja_thamnophis_naja_thamnophis_1_1_1_1_0
group844	chr1block1	naja_thamnophis_naja_thamnophis_1_1_1_1_0
group849	chr1block5	naja_thamnophis_naja_thamnophis_1_4_1_1_0
group853	chr1block5	naja_thamnophis_naja_thamnophis_1_4_1_1_0
group854	chr1block1	naja_thamnophis_naja_thamnophis_1_1_1_1_0
group860	chr1block1	naja_thamnophis_naja_thamnophis_1_1_1_1_0
group861	chr1block1	naja_thamnophis_naja_thamnophis_1_1_1_1_0
group863	chr1block1	naja_thamnophis_naja_thamnophis_1_1_1_1_0
group868	chr1block1	naja_thamnophis_naja_thamnophis_1_1_1_1_0
group869	chr1block1	naja_thamnophis_naja_thamnophis_1_1_1_1_0
group871	chr1block1	naja_thamnophis_naja_thamnophis_1_1_1_1_0
group872	chr1block5	naja_thamnophis_naja_thamnophis_1_4_1_1_0
group874	chr1block3	naja_thamnophis_naja_thamnophis_1_3_1_1_0
group875	chr1block5	naja_thamnophis_naja_thamnophis_1_4_1_1_0
group877	chr1block5	naja_thamnophis_naja_thamnophis_1_4_1_1_0
group879	chr1block1	naja_thamnophis_naja_thamnophis_1_1_1_1_0
group881	chr1block5	naja_thamnophis_naja_thamnophis_1_4_1_1_0
group888	chr1block3	naja_thamnophis_naja_thamnophis_1_3_1_1_0
group889	chr1block5	naja_thamnophis_naja_thamnophis_1_4_1_1_0
group893	chr1block5	naja_thamnophis_naja_thamnophis_1_4_1_1_0
group898	chr1block1	naja_thamnophis_naja_thamnophis_1_1_1_1_0
group906	chr1block1	naja_thamnophis_naja_thamnophis_1_1_1_1_0
group908	chr1block3	naja_thamnophis_naja_thamnophis_1_3_1_1_0
group911	chr1block1	naja_thamnophis_naja_thamnophis_1_1_1_1_0
group914	chr1block3	naja_thamnophis_naja_thamnophis_1_3_1_1_0
group915	chr1block5	naja_thamnophis_naja_thamnophis_1_4_1_1_0
group918	chr1block5	naja_thamnophis_naja_thamnophis_1_4_1_1_0
group920	chr1block3	naja_thamnophis_naja_thamnophis_1_3_1_1_0
group923	chr1block5	naja_thamnophis_naja_thamnophis_1_4_1_1_0
group925	chr1block1	naja_thamnophis_naja_thamnophis_1_1_1_1_0
group931	chr1block5	naja_thamnophis_naja_thamnophis_1_4_1_1_0
group932	chr1block1	naja_thamnophis_naja_thamnophis_1_1_1_1_0
group933	chr1block5	naja_thamnophis_naja_thamnophis_1_4_1_1_0
group944	chr1block5	naja_thamnophis_naja_thamnophis_1_4_1_1_0
group946	chr1block1	naja_thamnophis_naja_thamnophis_1_1_1_1_0
group947	chr1block1	naja_thamnophis_naja_thamnophis_1_1_1_1_0
group948	chr1block1	naja_thamnophis_naja_thamnophis_1_1_1_1_0
group949	chr1block5	naja_thamnophis_naja_thamnophis_1_4_1_1_0
group953	chr1block5	naja_thamnophis_naja_thamnophis_1_4_1_1_0
group956	chr1block1	naja_thamnophis_naja_thamnophis_1_1_1_1_0
group959	chr1block1	naja_thamnophis_naja_thamnophis_1_1_1_1_0
group960	chr1block1	naja_thamnophis_naja_thamnophis_1_1_1_1_0
group963	chr1block1	naja_thamnophis_naja_thamnophis_1_1_1_1_0
group965	chr1block1	naja_thamnophis_naja_thamnophis_1_1_1_1_0
group966	chr1block1	naja_thamnophis_naja_thamnophis_1_1_1_1_0
group968	chr1block1	naja_thamnophis_naja_thamnophis_1_1_1_1_0
group969	chr1block1	naja_thamnophis_naja_thamnophis_1_1_1_1_0
group970	chr1block1	naja_thamnophis_naja_thamnophis_1_1_1_1_0
group975	chr1block1	naja_thamnophis_naja_thamnophis_1_1_1_1_0
group976	chr1block1	naja_thamnophis_naja_thamnophis_1_1_1_1_0
group977	chr1block1	naja_thamnophis_naja_thamnophis_1_1_1_1_0
group978	chr1block3	naja_thamnophis_naja_thamnophis_1_3_1_1_0
group980	chr1block1	naja_thamnophis_naja_thamnophis_1_1_1_1_0
group981	chr1block1	naja_thamnophis_naja_thamnophis_1_1_1_1_0
group982	chr1block5	naja_thamnophis_naja_thamnophis_1_4_1_1_0
group986	chr1block3	naja_thamnophis_naja_thamnophis_1_3_1_1_0
group987	chr1block1	naja_thamnophis_naja_thamnophis_1_1_1_1_0
group989	chr1block3	naja_thamnophis_naja_thamnophis_1_3_1_1_0
group993	chr1block5	naja_thamnophis_naja_thamnophis_1_4_1_1_0
group999	chr1block1	naja_thamnophis_naja_thamnophis_1_1_1_1_0
group1002	chr1block1	naja_thamnophis_naja_thamnophis_1_1_1_1_0
group1004	chr1block5	naja_thamnophis_naja_thamnophis_1_4_1_1_0
group1008	chr1block1	naja_thamnophis_naja_thamnophis_1_1_1_1_0
group1014	chr1block1	naja_thamnophis_naja_thamnophis_1_1_1_1_0
group1016	chr1block3	naja_thamnophis_naja_thamnophis_1_3_1_1_0
group1017	chr1block1	naja_thamnophis_naja_thamnophis_1_1_1_1_0
group1019	chr1block5	naja_thamnophis_naja_thamnophis_1_4_1_1_0
group1028	chr1block1	naja_thamnophis_naja_thamnophis_1_1_1_1_0
group1029	chr1block1	naja_thamnophis_naja_thamnophis_1_1_1_1_0
group1031	chr1block1	naja_thamnophis_naja_thamnophis_1_1_1_1_0
group1036	chr1block1	naja_thamnophis_naja_thamnophis_1_1_1_1_0
group1039	chr1block5	naja_thamnophis_naja_thamnophis_1_4_1_1_0
group1040	chr1block3	naja_thamnophis_naja_thamnophis_1_3_1_1_0
group1042	chr1block1	naja_thamnophis_naja_thamnophis_1_1_1_1_0
group1044	chr1block5	naja_thamnophis_naja_thamnophis_1_4_1_1_0
group1048	chr1block1	naja_thamnophis_naja_thamnophis_1_1_1_1_0
group1053	chr1block1	naja_thamnophis_naja_thamnophis_1_1_1_1_0
group1058	chr1block1	naja_thamnophis_naja_thamnophis_1_1_1_1_0
group1061	chr1block1	naja_thamnophis_naja_thamnophis_1_1_1_1_0
group1062	chr1block1	naja_thamnophis_naja_thamnophis_1_1_1_1_0
group1064	chr1block3	naja_thamnophis_naja_thamnophis_1_3_1_1_0
group1066	chr1block1	naja_thamnophis_naja_thamnophis_1_1_1_1_0
group1071	chr1block3	naja_thamnophis_naja_thamnophis_1_3_1_1_0
group1074	chr1block5	naja_thamnophis_naja_thamnophis_1_4_1_1_0
group1078	chr1block5	naja_thamnophis_naja_thamnophis_1_4_1_1_0
group1079	chr1block5	naja_thamnophis_naja_thamnophis_1_4_1_1_0
group1083	chr1block3	naja_thamnophis_naja_thamnophis_1_3_1_1_0
group1086	chr1block3	naja_thamnophis_naja_thamnophis_1_3_1_1_0
group1091	chr1block5	naja_thamnophis_naja_thamnophis_1_4_1_1_0
group1092	chr1block1	naja_thamnophis_naja_thamnophis_1_1_1_1_0
group1096	chr1block1	naja_thamnophis_naja_thamnophis_1_1_1_1_0
group1098	chr1block5	naja_thamnophis_naja_thamnophis_1_4_1_1_0
group1099	chr1block5	naja_thamnophis_naja_thamnophis_1_4_1_1_0
group1102	chr1block5	naja_thamnophis_naja_thamnophis_1_4_1_1_0
group1106	chr1block5	naja_thamnophis_naja_thamnophis_1_4_1_1_0
group1111	chr1block3	naja_thamnophis_naja_thamnophis_1_3_1_1_0
group1113	chr1block1	naja_thamnophis_naja_thamnophis_1_1_1_1_0
group1114	chr1block1	naja_thamnophis_naja_thamnophis_1_1_1_1_0
group1119	chr1block5	naja_thamnophis_naja_thamnophis_1_4_1_1_0
group1120	chr1block1	naja_thamnophis_naja_thamnophis_1_1_1_1_0
group1122	chr1block1	naja_thamnophis_naja_thamnophis_1_1_1_1_0
group1124	chr1block5	naja_thamnophis_naja_thamnophis_1_4_1_1_0
group1126	chr1block5	naja_thamnophis_naja_thamnophis_1_4_1_1_0
group1128	chr1block5	naja_thamnophis_naja_thamnophis_1_4_1_1_0
group1133	chr1block5	naja_thamnophis_naja_thamnophis_1_4_1_1_0
group1136	chr1block5	naja_thamnophis_naja_thamnophis_1_4_1_1_0
group1137	chr1block5	naja_thamnophis_naja_thamnophis_1_4_1_1_0
group1139	chr1block1	naja_thamnophis_naja_thamnophis_1_1_1_1_0
group1141	chr1block5	naja_thamnophis_naja_thamnophis_1_4_1_1_0
group1144	chr1block3	naja_thamnophis_naja_thamnophis_1_3_1_1_0
group1147	chr1block5	naja_thamnophis_naja_thamnophis_1_4_1_1_0
group1148	chr1block5	naja_thamnophis_naja_thamnophis_1_4_1_1_0
group1156	chr1block1	naja_thamnophis_naja_thamnophis_1_1_1_1_0
group1162	chr1block5	naja_thamnophis_naja_thamnophis_1_4_1_1_0
group1163	chr1block5	naja_thamnophis_naja_thamnophis_1_4_1_1_0
group1168	chr1block1	naja_thamnophis_naja_thamnophis_1_1_1_1_0
group1173	chr1block1	naja_thamnophis_naja_thamnophis_1_1_1_1_0
group1186	chr1block5	naja_thamnophis_naja_thamnophis_1_4_1_1_0
group1187	chr1block3	naja_thamnophis_naja_thamnophis_1_3_1_1_0
group1188	chr1block1	naja_thamnophis_naja_thamnophis_1_1_1_1_0
group1189	chr1block5	naja_thamnophis_naja_thamnophis_1_4_1_1_0
group1191	chr1block3	naja_thamnophis_naja_thamnophis_1_3_1_1_0
group1195	chr1block5	naja_thamnophis_naja_thamnophis_1_4_1_1_0
group1196	chr1block5	naja_thamnophis_naja_thamnophis_1_4_1_1_0
group1200	chr1block1	naja_thamnophis_naja_thamnophis_1_1_1_1_0
group1212	chr1block5	naja_thamnophis_naja_thamnophis_1_4_1_1_0
group1217	chr1block1	naja_thamnophis_naja_thamnophis_1_1_1_1_0
group1221	chr1block1	naja_thamnophis_naja_thamnophis_1_1_1_1_0
group1224	chr1block5	naja_thamnophis_naja_thamnophis_1_4_1_1_0
group1225	chr1block1	naja_thamnophis_naja_thamnophis_1_1_1_1_0
group1227	chr1block3	naja_thamnophis_naja_thamnophis_1_3_1_1_0
group1228	chr1block1	naja_thamnophis_naja_thamnophis_1_1_1_1_0
group1229	chr1block1	naja_thamnophis_naja_thamnophis_1_1_1_1_0
group1230	chr1block5	naja_thamnophis_naja_thamnophis_1_4_1_1_0
group1236	chr1block5	naja_thamnophis_naja_thamnophis_1_4_1_1_0
group1239	chr1block5	naja_thamnophis_naja_thamnophis_1_4_1_1_0
group1244	chr1block5	naja_thamnophis_naja_thamnophis_1_4_1_1_0
group1245	chr1block1	naja_thamnophis_naja_thamnophis_1_1_1_1_0
group1247	chr1block5	naja_thamnophis_naja_thamnophis_1_4_1_1_0
group1248	chr1block1	naja_thamnophis_naja_thamnophis_1_1_1_1_0
group1250	chr1block5	naja_thamnophis_naja_thamnophis_1_4_1_1_0
group1252	chr1block5	naja_thamnophis_naja_thamnophis_1_4_1_1_0
group1253	chr1block1	naja_thamnophis_naja_thamnophis_1_1_1_1_0
group1254	chr1block1	naja_thamnophis_naja_thamnophis_1_1_1_1_0
group1257	chr1block5	naja_thamnophis_naja_thamnophis_1_4_1_1_0
group1261	chr1block1	naja_thamnophis_naja_thamnophis_1_1_1_1_0
group1266	chr1block1	naja_thamnophis_naja_thamnophis_1_1_1_1_0
group1268	chr1block1	naja_thamnophis_naja_thamnophis_1_1_1_1_0
group1275	chr1block1	naja_thamnophis_naja_thamnophis_1_1_1_1_0
group1277	chr1block1	naja_thamnophis_naja_thamnophis_1_1_1_1_0
group1282	chr1block1	naja_thamnophis_naja_thamnophis_1_1_1_1_0
group1284	chr1block1	naja_thamnophis_naja_thamnophis_1_1_1_1_0
group1291	chr1block5	naja_thamnophis_naja_thamnophis_1_4_1_1_0
group1292	chr1block3	naja_thamnophis_naja_thamnophis_1_3_1_1_0
group1293	chr1block5	naja_thamnophis_naja_thamnophis_1_4_1_1_0
group1294	chr1block1	naja_thamnophis_naja_thamnophis_1_1_1_1_0
group1300	chr1block5	naja_thamnophis_naja_thamnophis_1_4_1_1_0
group1301	chr1block1	naja_thamnophis_naja_thamnophis_1_1_1_1_0
group1304	chr1block3	naja_thamnophis_naja_thamnophis_1_3_1_1_0
group1311	chr1block1	naja_thamnophis_naja_thamnophis_1_1_1_1_0
group1312	chr1block5	naja_thamnophis_naja_thamnophis_1_4_1_1_0
group1319	chr1block1	naja_thamnophis_naja_thamnophis_1_1_1_1_0
group1325	chr1block1	naja_thamnophis_naja_thamnophis_1_1_1_1_0
group1327	chr1block5	naja_thamnophis_naja_thamnophis_1_4_1_1_0
group1328	chr1block1	naja_thamnophis_naja_thamnophis_1_1_1_1_0
group1330	chr1block1	naja_thamnophis_naja_thamnophis_1_1_1_1_0
group1332	chr1block3	naja_thamnophis_naja_thamnophis_1_3_1_1_0
group1334	chr1block5	naja_thamnophis_naja_thamnophis_1_4_1_1_0
group1341	chr1block1	naja_thamnophis_naja_thamnophis_1_1_1_1_0
group1342	chr1block5	naja_thamnophis_naja_thamnophis_1_4_1_1_0
group1343	chr1block5	naja_thamnophis_naja_thamnophis_1_4_1_1_0
group1344	chr1block1	naja_thamnophis_naja_thamnophis_1_1_1_1_0
group1350	chr1block3	naja_thamnophis_naja_thamnophis_1_3_1_1_0
group1356	chr1block5	naja_thamnophis_naja_thamnophis_1_4_1_1_0
group1358	chr1block3	naja_thamnophis_naja_thamnophis_1_3_1_1_0
group1363	chr1block5	naja_thamnophis_naja_thamnophis_1_4_1_1_0
group1365	chr1block1	naja_thamnophis_naja_thamnophis_1_1_1_1_0
group1366	chr1block1	naja_thamnophis_naja_thamnophis_1_1_1_1_0
group1372	chr1block1	naja_thamnophis_naja_thamnophis_1_1_1_1_0
group1375	chr1block1	naja_thamnophis_naja_thamnophis_1_1_1_1_0
group1376	chr1block3	naja_thamnophis_naja_thamnophis_1_3_1_1_0
group1378	chr1block5	naja_thamnophis_naja_thamnophis_1_4_1_1_0
group1383	chr1block1	naja_thamnophis_naja_thamnophis_1_1_1_1_0
group1384	chr1block1	naja_thamnophis_naja_thamnophis_1_1_1_1_0
group1385	chr1block1	naja_thamnophis_naja_thamnophis_1_1_1_1_0
group1386	chr1block5	naja_thamnophis_naja_thamnophis_1_4_1_1_0
group1389	chr1block5	naja_thamnophis_naja_thamnophis_1_4_1_1_0
group1391	chr1block5	naja_thamnophis_naja_thamnophis_1_4_1_1_0
group1394	chr1block1	naja_thamnophis_naja_thamnophis_1_1_1_1_0
group1396	chr1block1	naja_thamnophis_naja_thamnophis_1_1_1_1_0
group1409	chr1block5	naja_thamnophis_naja_thamnophis_1_4_1_1_0
group1411	chr1block1	naja_thamnophis_naja_thamnophis_1_1_1_1_0
group1415	chr1block5	naja_thamnophis_naja_thamnophis_1_4_1_1_0
group1416	chr1block5	naja_thamnophis_naja_thamnophis_1_4_1_1_0
group1419	chr1block1	naja_thamnophis_naja_thamnophis_1_1_1_1_0
group1423	chr1block3	naja_thamnophis_naja_thamnophis_1_3_1_1_0
group1425	chr1block1	naja_thamnophis_naja_thamnophis_1_1_1_1_0
group1426	chr1block5	naja_thamnophis_naja_thamnophis_1_4_1_1_0
group1430	chr1block1	naja_thamnophis_naja_thamnophis_1_1_1_1_0
group1435	chr1block1	naja_thamnophis_naja_thamnophis_1_1_1_1_0
group1438	chr1block5	naja_thamnophis_naja_thamnophis_1_4_1_1_0
group1441	chr1block1	naja_thamnophis_naja_thamnophis_1_1_1_1_0
group1444	chr1block3	naja_thamnophis_naja_thamnophis_1_3_1_1_0
group1446	chr1block1	naja_thamnophis_naja_thamnophis_1_1_1_1_0
group1447	chr1block1	naja_thamnophis_naja_thamnophis_1_1_1_1_0
group1449	chr1block1	naja_thamnophis_naja_thamnophis_1_1_1_1_0
group1450	chr1block1	naja_thamnophis_naja_thamnophis_1_1_1_1_0
group1453	chr1block5	naja_thamnophis_naja_thamnophis_1_4_1_1_0
group1461	chr1block1	naja_thamnophis_naja_thamnophis_1_1_1_1_0
group1464	chr1block1	naja_thamnophis_naja_thamnophis_1_1_1_1_0
group1468	chr1block1	naja_thamnophis_naja_thamnophis_1_1_1_1_0
group1470	chr1block1	naja_thamnophis_naja_thamnophis_1_1_1_1_0
group1473	chr1block5	naja_thamnophis_naja_thamnophis_1_4_1_1_0
group1477	chr1block5	naja_thamnophis_naja_thamnophis_1_4_1_1_0
group1478	chr1block3	naja_thamnophis_naja_thamnophis_1_3_1_1_0
group1479	chr1block1	naja_thamnophis_naja_thamnophis_1_1_1_1_0
group1481	chr1block5	naja_thamnophis_naja_thamnophis_1_4_1_1_0
group1484	chr1block1	naja_thamnophis_naja_thamnophis_1_1_1_1_0
group1500	chr1block3	naja_thamnophis_naja_thamnophis_1_3_1_1_0
group1507	chr1block3	naja_thamnophis_naja_thamnophis_1_3_1_1_0
group1508	chr1block1	naja_thamnophis_naja_thamnophis_1_1_1_1_0
group1513	chr1block1	naja_thamnophis_naja_thamnophis_1_1_1_1_0
group1529	chr1block5	naja_thamnophis_naja_thamnophis_1_4_1_1_0
group1538	chr1block5	naja_thamnophis_naja_thamnophis_1_4_1_1_0
group1540	chr1block1	naja_thamnophis_naja_thamnophis_1_1_1_1_0
group1550	chr1block3	naja_thamnophis_naja_thamnophis_1_3_1_1_0
group1555	chr1block5	naja_thamnophis_naja_thamnophis_1_4_1_1_0
group1561	chr1block1	naja_thamnophis_naja_thamnophis_1_1_1_1_0
group1568	chr1block3	naja_thamnophis_naja_thamnophis_1_3_1_1_0
group1596	chr1block5	naja_thamnophis_naja_thamnophis_1_4_1_1_0
group1598	chr1block1	naja_thamnophis_naja_thamnophis_1_1_1_1_0
group1607	chr1block1	naja_thamnophis_naja_thamnophis_1_1_1_1_0
group1610	chr1block1	naja_thamnophis_naja_thamnophis_1_1_1_1_0
group1611	chr1block1	naja_thamnophis_naja_thamnophis_1_1_1_1_0
group1615	chr1block5	naja_thamnophis_naja_thamnophis_1_4_1_1_0
group1618	chr1block1	naja_thamnophis_naja_thamnophis_1_1_1_1_0
group1629	chr1block1	naja_thamnophis_naja_thamnophis_1_1_1_1_0
group1630	chr1block5	naja_thamnophis_naja_thamnophis_1_4_1_1_0
group1636	chr1block1	naja_thamnophis_naja_thamnophis_1_1_1_1_0
group1637	chr1block5	naja_thamnophis_naja_thamnophis_1_4_1_1_0
group1642	chr1block1	naja_thamnophis_naja_thamnophis_1_1_1_1_0
group1652	chr1block1	naja_thamnophis_naja_thamnophis_1_1_1_1_0
group1665	chr1block5	naja_thamnophis_naja_thamnophis_1_4_1_1_0
group1678	chr1block5	naja_thamnophis_naja_thamnophis_1_4_1_1_0
group1680	chr1block1	naja_thamnophis_naja_thamnophis_1_1_1_1_0
group1682	chr1block1	naja_thamnophis_naja_thamnophis_1_1_1_1_0
group1684	chr1block5	naja_thamnophis_naja_thamnophis_1_4_1_1_0
group1685	chr1block5	naja_thamnophis_naja_thamnophis_1_4_1_1_0
