Thamnophis_sirtalis.locus	num.Species	CountCover	absolutePIS	percentPIS	mean.pident	pident.Thamnophis_sirtalis	pident.Anolis_carolinensis	pident.Gekko_japonicus	pident.Pogona_vitticeps	pident.Crotalus_horridus	pident.Crotalus_mitchellii	pident.Ophiophagus_hannah	pident.Pantherophis_guttatus	pident.Protobothrops_mucrosquamatus	pident.Python_bivittatus	pident.Vipera_berus	gene.name	locus.length.Thamnophis_sirtalis	mean.variable.sites	min.pident.all	min.pident.subgroup
NW_013657898.1:79687-80189	11	312	149	47.76	70.85	100	33.87	31.28	37.1	81.73	81.73	87.79	86.27	82.54	75.91	81.09	LOC106539306	502	0.29	31.28	75.91
NW_013658256.1:1097870-1100090	11	768	176	22.92	70.85	100	52.44	49.24	34.78	76.13	75.51	82.6	86.99	76.13	70.06	75.45	LOC106543842	2220	0.29	34.78	70.06
NW_013661338.1:29981-31111	11	599	110	18.36	71.02	100	47.22	43.06	39.25	73.46	81.25	78.09	88.76	74.07	75.39	80.68	PRR19	1130	0.29	39.25	73.46
NW_013657681.1:3140012-3140280	11	264	147	55.68	71.03	100	47.5	53.41	49.17	67.43	70.78	91.67	90.15	69.51	75.48	66.28	LOC106538629	268	0.29	47.5	66.28
NW_013660058.1:172212-172932	11	714	240	33.61	71.08	100	62.89	58.18	64.15	70.46	70.29	65.74	71.53	70.37	68.64	79.61	LOC106553687	720	0.29	58.18	65.74
NW_013658619.1:143477-143797	11	315	129	40.95	71.19	100	48.25	58.85	51.28	84.44	85.08	69.67	69.02	82.86	66.33	67.34	LOC106546999	320	0.29	48.25	66.33
NW_013657969.1:645484-645666	11	180	98	54.44	71.44	100	58.62	51.79	56.67	68.89	69.44	75.56	76.11	74.44	76.5	77.78	LOC106540487	182	0.29	51.79	68.89
NW_013657731.1:522165-523345	11	627	394	62.84	71.48	100	38.32	37.17	37.68	84.8	79.67	87.61	86.34	83.08	69.04	82.51	LOC106549553	1180	0.29	37.17	69.04
NW_013659678.1:120001-120218	11	199	83	41.71	71.49	100	38.06	61.64	64.81	69.4	69.4	84.8	83.33	67.76	69.95	77.25	LOC106552531	217	0.29	38.06	67.76
NW_013659961.1:258380-258509	11	126	64	50.79	71.5	100	64.1	63.33	28.43	75.4	75.4	73.15	77.78	72.22	78.86	77.78	LOC106553369	129	0.28	28.43	72.22
NW_013660230.1:3372-3689	11	201	105	52.24	71.56	100	37.88	36.23	36.36	65.52	66.28	95.56	85.19	89.63	85.61	88.89	LOC106554146	317	0.28	36.23	65.52
NW_013659381.1:237399-237822	11	350	146	41.71	71.58	100	54.57	66.67	59.4	67.09	67.09	82.02	82.28	66.28	70.94	71	LOC106551337	423	0.28	54.57	66.28
NW_013658686.1:381888-382217	11	327	174	53.21	71.6	100	67.3	60.24	49.54	70.09	70.72	74.92	79.44	71.87	71.56	71.87	LOC106547482	329	0.28	49.54	70.09
NW_013658404.1:196478-196672	11	195	104	53.33	71.61	100	61.54	61.03	57.44	67.2	73.33	77.44	73.33	72.82	70.26	73.33	LOC106545179	194	0.28	57.44	67.2
NW_013657729.1:1032828-1033112	11	282	126	44.68	71.62	100	45.58	50	54.22	76.79	77.38	79.21	83.7	75.89	69.93	75.18	LOC106549399	284	0.28	45.58	69.93
NW_013659739.1:20670-21044	11	333	159	47.75	71.81	100	44.72	56.79	54.92	75.08	76.88	80.12	81.21	75.98	69.7	74.55	LOC106552704	374	0.28	44.72	69.7
NW_013659664.1:71036-71170	11	126	55	43.65	71.84	100	60	61.79	60.98	75	72.22	69.63	72.59	74.17	66.67	77.24	LOC106552490	134	0.28	60	66.67
NW_013658442.1:546069-548093	11	1698	736	43.35	71.97	100	66.37	67.36	66.42	65.71	65.03	91.63	65.27	65.27	73.58	65.03	LOC106545502	2024	0.28	65.03	65.03
NW_013659420.1:240691-240923	11	147	74	50.34	72.09	100	54.07	44.89	53.33	70.91	75.4	81.98	83.78	81.08	72.12	75.4	LOC106551514	232	0.28	44.89	70.91
NW_013658162.1:211862-211991	11	126	59	46.83	72.15	100	63.73	60.68	45.9	70.63	69.05	84.44	76.98	77.78	70.63	73.81	LOC106542909	129	0.28	45.9	69.05
NW_013659051.1:75319-76523	11	1182	560	47.38	72.2	100	58.12	65.08	69.6	71.07	66.5	68.87	80.67	70.81	72.36	71.07	LOC106549707	1204	0.28	58.12	66.5
NW_013659464.1:23876-24690	11	338	158	46.75	72.23	100	40.11	36.84	37.65	80.69	80.77	83.33	87.07	81.93	84.34	81.76	DOK7	814	0.28	36.84	80.69
NW_013658258.1:150708-151057	11	294	130	44.22	72.28	100	60.51	62.21	65.99	67.71	70.14	73.11	76.87	70.49	76.87	71.18	LOC106543868	349	0.28	60.51	67.71
NW_013658866.1:173135-174302	11	774	152	19.64	72.51	100	67.14	25.49	35.24	80.15	78.53	83.57	87.36	79.96	82.49	77.64	LOC106548650	1167	0.27	25.49	77.64
NW_013659391.1:29144-29274	11	126	61	48.41	72.54	100	63.33	63.41	60.98	72.22	79.8	73.02	73.02	70.63	69.17	72.36	LOC106551380	130	0.27	60.98	69.17
NW_013658083.1:500792-501045	11	243	78	32.1	72.62	100	66.07	62.39	66.24	71.79	72.37	70.94	73.58	73.93	70.46	71.03	LOC106541978	253	0.27	62.39	70.46
NW_013660152.1:46513-47445	11	927	472	50.92	72.67	100	60.06	58.9	59.93	74.11	74.13	74.68	72.62	75.43	70.59	78.86	LOC106553938	932	0.27	58.9	70.59
NW_013658192.1:342894-344538	11	418	95	22.73	72.72	100	55.35	54	53.33	78.01	77.66	78.46	80.33	80.07	68.27	74.44	LOC106543195	1644	0.27	53.33	68.27
NW_013659646.1:15068-15922	11	828	383	46.26	72.72	100	57.98	62.04	57.54	68.84	68.84	70.99	93.01	69.08	75.83	75.79	LOC106552414	854	0.27	57.54	68.84
NW_013659646.1:24119-24973	11	828	383	46.26	72.72	100	57.98	62.04	57.54	68.84	68.84	70.99	93.01	69.08	75.83	75.79	LOC106552415	854	0.27	57.54	68.84
NW_013659685.1:54738-54980	11	231	110	47.62	72.73	100	64.34	55.97	43.63	65.75	66.67	89.9	91.11	70.22	75	77.48	LOC106552561	242	0.27	43.63	65.75
NW_013658009.1:75702-75829	11	126	63	50	72.75	100	58.33	60	61.67	72.22	74.6	76.19	79.37	76.98	70.83	70	LOC106540971	127	0.27	58.33	70
NW_013658523.1:122619-122749	11	129	57	44.19	72.75	100	62.02	62.02	61.24	72.5	72.36	78.05	77.52	75	66.67	72.87	LOC106546180	130	0.27	61.24	66.67
NW_013658015.1:539994-541291	11	594	262	44.11	72.84	100	38.84	40.87	37.97	81.48	82.15	89.29	89.53	82.26	77.14	81.72	LOC106541057	1297	0.27	37.97	77.14
NW_013657690.1:648724-648900	11	129	22	17.05	72.84	100	79.49	38.1	59.69	68.99	88.89	70.54	71.32	70.54	84.72	68.99	AKAP9	176	0.27	38.1	68.99
NW_013658627.1:289258-289863	11	291	121	41.58	72.87	100	36.6	39.22	38.56	85.46	84.38	86.3	92.44	87.29	71.54	79.8	PTPN23	605	0.27	36.6	71.54
NW_013658642.1:293338-295290	11	992	191	19.25	72.93	100	35.53	67.78	35.47	79.26	77.44	88.66	85.16	79.61	74.84	78.44	DDIAS	1952	0.27	35.47	74.84
NW_013658013.1:855042-855752	11	684	234	34.21	72.94	100	64.19	56.49	28.85	78.81	78.81	77.92	78.8	79.85	79.17	79.41	LOC106541018	710	0.27	28.85	77.92
NW_013660510.1:71882-72165	11	276	126	45.65	72.95	100	51.69	48.84	47.08	83.91	86.51	76	80.95	84.78	70.7	72.03	LOC106554748	283	0.27	47.08	70.7
NW_013657757.1:915967-917864	11	1884	836	44.37	73.03	100	60.06	66.02	66.15	68.58	69.61	79.71	77.89	72.88	72.51	69.94	LOC106556731	1897	0.27	60.06	68.58
NW_013658458.1:226022-227698	11	1356	552	40.71	73.09	100	68.07	67.7	69.47	68.22	68.22	85.23	68.66	68.36	71.53	68.58	LOC106545645	1676	0.27	67.7	68.22
NW_013657727.1:97326-98970	11	1629	765	46.96	73.12	100	70.33	66.48	70.29	74.26	67.83	73.57	68.51	69.24	74.28	69.55	LOC106548763	1644	0.27	66.48	67.83
NW_013658231.1:446810-448054	11	357	172	48.18	73.12	100	39.35	44.17	42.47	81.79	80.67	85.43	87.68	82.07	78.92	81.79	LOC106543570	1244	0.27	39.35	78.92
NW_013659664.1:30375-30505	11	129	50	38.76	73.13	100	66.67	66.67	64.23	72.09	72.09	75.97	69.05	73.64	72.5	71.54	LOC106552489	130	0.27	64.23	69.05
NW_013660143.1:101585-102786	11	879	418	47.55	73.18	100	62.25	63.88	59.39	77.85	69.59	75.15	74.12	74.44	74.97	73.36	LOC106553914	1201	0.27	59.39	69.59
NW_013657785.1:1898740-1899646	11	567	229	40.39	73.23	100	52.42	55.73	57.63	75.04	74.25	78.25	83.51	73.91	77.69	77.07	LOC106557311	906	0.27	52.42	73.91
NW_013660510.1:81792-82628	11	837	241	28.79	73.25	100	39.22	53.52	43.84	79.21	77.9	85.19	79.57	83.99	78.47	84.83	LOC106554749	836	0.27	39.22	77.9
NW_013659042.1:3128-3712	11	582	236	40.55	73.27	100	56.94	60.61	58.95	73.2	77.86	74.96	73.23	74.19	78.01	78.03	LOC106549658	584	0.27	56.94	73.2
NW_013659493.1:192187-193182	11	417	132	31.65	73.36	100	50.62	51.37	52.99	81.78	84.62	81.08	75.82	76.19	78.17	74.36	LOC106551804	995	0.27	50.62	74.36
NW_013658188.1:3175-5116	11	990	360	36.36	73.39	100	58.53	57.05	58.54	73.11	69.77	85.84	86.3	74.53	69.5	74.12	LOC106543167	1941	0.27	57.05	69.5
NW_013658268.1:515573-516069	11	495	243	49.09	73.43	100	63.43	68.08	64.85	74.34	72.73	72.73	73.94	76.97	66.46	74.14	LOC106543973	496	0.27	63.43	66.46
NW_013658618.1:27450-28764	11	1275	574	45.02	73.44	100	69.65	62.1	72.2	70.84	71.16	72.55	72.24	70.61	75.76	70.77	LOC106546993	1314	0.27	62.1	70.61
NW_013658404.1:369722-370923	11	1092	450	41.21	73.45	100	65.02	68.6	68.99	71.9	71.9	73.77	68.16	72.27	75.11	72.25	LOC106545180	1201	0.27	65.02	68.16
NW_013659277.1:246201-247570	11	861	378	43.9	73.48	100	71.16	69.17	70.62	72.86	66.55	75.92	73.24	66.9	74.76	67.14	LOC106550840	1369	0.27	66.55	66.55
NW_013657960.1:770939-771256	11	297	108	36.36	73.49	100	53.68	57.04	48.81	79.12	78.79	82.15	83.12	79.46	67.82	78.45	LOC106540366	317	0.27	48.81	67.82
NW_013658317.1:32179-32463	11	282	127	45.04	73.57	100	62.12	62.77	58.16	71.49	69.3	90.32	69.3	85.82	74.47	65.54	LOC106544458	284	0.26	58.16	65.54
NW_013660882.1:9610-10208	11	588	156	26.53	73.58	100	53.54	52.53	52.02	78.46	78.72	80.85	85.35	78.97	71.25	77.69	LOC106555384	598	0.26	52.02	71.25
NW_013658780.1:103204-105237	11	2031	932	45.89	73.58	100	60.91	60.6	63.12	72.77	74.9	76.91	73.27	75.77	76.4	74.74	LOC106548129	2033	0.26	60.6	72.77
NW_013658181.1:700814-701015	11	201	72	35.82	73.59	100	62.5	59.83	65.83	70.15	70.65	70.71	76.62	75.12	77.5	80.6	LOC106543104	201	0.26	59.83	70.15
NW_013658552.1:377941-378234	11	292	135	46.23	73.6	100	50.35	52.56	55.04	78.69	78.69	82.65	80.67	80.07	72.16	78.69	LOC106546459	293	0.26	50.35	72.16
NW_013659493.1:199504-200550	11	899	248	27.59	73.65	100	52.6	64.41	53.52	73.8	73.2	87.91	70.2	81.12	73.21	80.17	LOC106551805	1046	0.26	52.6	70.2
NW_013661928.1:12331-13164	11	825	390	47.27	73.66	100	63.38	69.22	67.27	72.73	68.73	71.76	73.62	78.88	74.91	69.8	LOC106556498	833	0.26	63.38	68.73
NW_013659012.1:177707-177884	11	132	44	33.33	73.67	100	60.26	70.45	66.03	74.24	73.48	68.94	72.73	74.24	77.27	72.73	LOC106549518	177	0.26	60.26	68.94
NW_013660405.1:85054-85362	11	306	118	38.56	73.67	100	68.42	59.88	64.05	72.61	70.07	76.8	77.78	72.08	76.12	72.61	LOC106554547	308	0.26	59.88	70.07
NW_013658025.1:753491-755961	11	900	184	20.44	73.7	100	47.48	48.05	44.39	79.56	78.93	85.98	87.49	79.93	79.46	79.46	LOC106541245	2470	0.26	44.39	78.93
NW_013657830.1:584748-586547	11	1800	839	46.61	73.76	100	62.83	61.17	62.86	73.81	76.52	74.89	75.67	74.83	75.44	73.39	LOC106538185	1799	0.26	61.17	73.39
NW_013657728.1:1599666-1599827	11	150	63	42	73.78	100	69.93	64	66.67	69.63	69.63	86.67	67.36	66.67	85.11	65.97	LOC106549224	161	0.26	64	65.97
NW_013657773.1:1943795-1943925	11	129	50	38.76	73.87	100	63.57	62.79	62.79	73.81	73.81	77.52	80.62	75	66.67	75.97	LOC106557098	130	0.26	62.79	66.67
NW_013657723.1:1215430-1217298	11	1149	298	25.94	73.87	100	33.98	41.38	40.43	84.81	84.94	89.1	90.01	85.55	80.11	82.31	LOC106547509	1868	0.26	33.98	80.11
NW_013657717.1:955557-955730	11	135	48	35.56	73.88	100	59.17	56.6	70.09	71.85	70.54	91.11	68.15	65.19	85.19	74.8	LOC106546076	173	0.26	56.6	65.19
NW_013661971.1:875-2036	11	611	211	34.53	73.9	100	38.14	30.9	58.84	84.82	84.82	88.3	87.17	85.15	71.73	82.98	LOC106556522	1161	0.26	30.9	71.73
NW_013660811.1:28793-28923	11	129	60	46.51	73.9	100	64.17	62.02	61.24	75.19	75.19	79.67	79.84	74.42	70.63	70.54	LOC106555273	130	0.26	61.24	70.54
NW_013659470.1:93136-94034	11	585	129	22.05	73.92	100	37.1	51.15	40.48	82.85	82.2	84.62	89.97	85.87	75.25	83.7	FHOD1	898	0.26	37.1	75.25
NW_013657803.1:666902-668053	11	734	149	20.3	74.04	100	35.56	45.33	42.22	83.33	82.22	87.02	88.6	84.88	81.42	83.84	LOC106537630	1151	0.26	35.56	81.42
NW_013660108.1:105541-105663	11	117	59	50.43	74.08	100	70.09	72.65	72.65	67.52	67.52	66.67	74.36	71.79	84.17	67.5	LOC106553836	122	0.26	66.67	66.67
NW_013657778.1:29353-29505	11	144	55	38.19	74.1	100	52.99	50.83	66.67	75.83	74.15	83.7	79.17	77.08	79.82	74.81	LOC106557183	152	0.26	50.83	74.15
NW_013658959.1:189057-189218	11	159	59	37.11	74.1	100	59.12	65.41	61.01	75.47	75.47	76.1	74.84	76.73	70.44	80.5	LOC106549225	161	0.26	59.12	70.44
NW_013657785.1:1893788-1895074	11	801	285	35.58	74.1	100	55.83	57.04	61.23	75.25	74.62	79.12	82.16	74.37	78.1	77.4	LOC106557325	1286	0.26	55.83	74.37
NW_013659820.1:145783-145958	11	174	72	41.38	74.11	100	52.85	48.89	56.94	78.74	79.31	85.51	85.63	79.31	70.44	77.59	LOC106552964	175	0.26	48.89	70.44
NW_013658839.1:328043-329152	11	504	155	30.75	74.16	100	46.26	42.86	55.13	79.93	79.76	86.67	88.57	79.37	78.83	78.37	LOC106548482	1109	0.26	42.86	78.37
NW_013657847.1:490869-491013	11	132	47	35.61	74.16	100	64.23	60.99	63.89	74.24	73.05	77.78	77.78	77.52	68.99	77.27	OBSCN	144	0.26	60.99	68.99
NW_013659068.1:13567-15545	11	1962	753	38.38	74.19	100	68.75	68.5	67.22	74.72	71.08	70.85	71.39	75.64	73.6	74.33	LOC106549780	1978	0.26	67.22	70.85
NW_013658738.1:373706-373919	11	210	97	46.19	74.19	100	57.69	55.35	51.57	81.43	77.62	81.9	78.57	82.86	71.01	78.1	LOC106547849	213	0.26	51.57	71.01
NW_013658162.1:201966-202848	11	675	135	20	74.21	100	64.66	76.23	77.44	68.2	68.2	67.43	68.97	68.2	88.75	68.2	LOC106542908	882	0.26	64.66	67.43
NW_013661749.1:8446-8673	11	228	86	37.72	74.23	100	62.67	62.5	64.49	74.67	72.81	80.7	69.74	75.46	78.51	75	LOC106556387	227	0.26	62.5	69.74
NW_013658177.1:629838-630445	11	606	255	42.08	74.27	100	60.91	59.39	62.65	72.44	73.63	70.96	86.11	81.36	68.71	80.86	LOC106543061	607	0.26	59.39	68.71
NW_013659407.1:174332-175002	11	507	178	35.11	74.35	100	57.1	52.67	56.31	78.5	78.11	80.08	86.93	79.49	73.96	74.71	KIAA1328	670	0.26	52.67	73.96
NW_013659944.1:104056-106248	11	1914	859	44.88	74.36	100	66.04	66.41	66.19	74.77	67.68	79.51	68.89	76.52	74.51	77.44	LOC106553326	2192	0.26	66.04	67.68
NW_013658380.1:556110-557467	11	359	104	28.97	74.38	100	32.43	63.82	40.94	82.49	82.77	85.87	85.96	81.92	82.05	79.93	LOC106544989	1357	0.26	32.43	79.93
NW_013659685.1:23939-24367	11	273	134	49.08	74.39	100	65.54	65.92	68.16	76.19	67.37	73.63	79.12	77.66	67.42	77.29	LOC106552560	428	0.26	65.54	67.37
NW_013657877.1:1431469-1433551	11	420	124	29.52	74.39	100	44.87	46.79	47.91	83.1	82.38	89.8	88.33	82.38	76.22	76.52	SHROOM4	2082	0.26	44.87	76.22
NW_013658924.1:26484-27019	11	522	213	40.8	74.44	100	57.28	57.32	56.63	76.05	77.01	82.84	85.4	77.71	73.2	75.34	LOC106549000	535	0.26	56.63	73.2
NW_013659986.1:9850-10686	11	837	221	26.4	74.47	100	32.23	53.07	59.26	83.51	84.55	82.06	82.2	83.63	78.59	80.05	LOC106553417	836	0.26	32.23	78.59
NW_013661954.1:10761-12791	11	1935	845	43.67	74.49	100	69.47	66.87	69.8	72.78	71.86	78.96	73.27	72.68	74.41	69.34	LOC106556510	2030	0.26	66.87	69.34
NW_013659188.1:206717-207291	11	363	103	28.37	74.52	100	67.04	29.3	65.89	81.54	79.93	80.06	82.09	80.91	75.36	77.55	LOC106550443	574	0.25	29.3	75.36
NW_013658590.1:417690-419261	11	1371	543	39.61	74.55	100	72.65	70.17	69.82	73.45	73.16	73.66	68.28	73.52	71.99	73.38	LOC106546776	1571	0.25	68.28	68.28
NW_013659361.1:37531-38010	11	304	137	45.07	74.56	100	60.88	63.07	60.54	77.89	79.21	84.35	67.01	78.22	71.72	77.23	LOC106551246	479	0.25	60.54	67.01
NW_013657858.1:532294-533204	11	834	354	42.45	74.61	100	68.59	65.42	68.12	71.76	72.97	78.42	74.69	72.02	76.61	72.12	LOC106538674	910	0.25	65.42	71.76
NW_013663561.1:179-510	11	324	139	42.9	74.63	100	57.14	59.62	53.65	79.63	79.05	83.15	86.42	70.41	71.6	80.25	LOC106556694	331	0.25	53.65	70.41
NW_013657788.1:33365-33754	11	327	146	44.65	74.72	100	67.58	65.44	68.5	73.39	74.01	74.31	75.39	77.06	70.13	76.15	LOC106557355	389	0.25	65.44	70.13
NW_013659664.1:145717-145886	11	162	65	40.12	74.78	100	66.67	65.43	64.2	73.46	73.46	82.72	75	74.69	70.99	75.93	LOC106552488	169	0.25	64.2	70.99
NW_013659566.1:46163-46313	11	150	68	45.33	74.79	100	57.82	50	56.32	80.67	81.33	81.63	87.76	79.59	71.33	76.19	LOC106552116	150	0.25	50	71.33
NW_013660222.1:100372-100560	11	129	41	31.78	74.82	100	64.2	65.38	66.67	74.24	73.61	80	77.52	73.64	71.79	75.97	LOC106554120	188	0.25	64.2	71.79
NW_013659042.1:44907-45436	11	525	190	36.19	74.85	100	58.82	60.17	58.81	79.26	79.46	81.82	83.52	77.78	65.25	78.48	LOC106549660	529	0.25	58.81	65.25
NW_013659034.1:110139-110467	11	327	114	34.86	74.86	100	58.65	60.51	57.14	80.43	80.12	78.9	83.49	80.43	65.85	77.98	LOC106549622	328	0.25	57.14	65.85
NW_013658016.1:160820-162052	11	735	224	30.48	74.88	100	41.27	38.2	39.26	84.76	85.17	90.83	93.04	85.17	81.15	84.87	CGN	1232	0.25	38.2	81.15
NW_013658036.1:205537-205704	11	165	87	52.73	74.92	100	55.56	56.17	58.18	76.36	77.36	80	79.25	81.21	77.58	82.42	LOC106541352	167	0.25	55.56	76.36
NW_013660769.1:48920-49080	11	159	72	45.28	74.96	100	54.25	37.75	66.03	74.84	78.62	89.31	89.1	77.36	79.49	77.78	LOC106555210	160	0.25	37.75	74.84
NW_013659584.1:145850-146072	11	222	84	37.84	74.97	100	54.09	63.33	54.76	81.53	81.98	79	81.08	79.28	72.22	77.44	VSIG1	222	0.25	54.09	72.22
NW_013658708.1:110457-111825	11	1368	651	47.59	74.98	100	65.12	68.64	71.23	74.37	68.42	82.89	77.78	74.84	72.73	68.79	ZNF227	1368	0.25	65.12	68.42
NW_013658821.1:53996-55167	11	1133	278	24.54	75	100	42.06	21.55	39.3	88.18	90.21	88.73	94.19	88.25	80.75	91.75	LOC106548363	1171	0.25	21.55	80.75
NW_013658857.1:510009-511017	11	672	241	35.86	75	100	64.82	57.25	34.52	82.26	81.3	82.89	82.3	80.69	78.23	80.72	LOC106548597	1008	0.25	34.52	78.23
NW_013660093.1:13695-15175	11	1464	567	38.73	75.01	100	62.2	70.69	69.31	73.79	73.79	82.51	71.31	73.85	74.2	73.51	LOC106553795	1480	0.25	62.2	71.31
NW_013658237.1:458111-458395	11	279	89	31.9	75.04	100	60.12	60.14	57.53	81	79.21	76.88	75.81	76.7	76.88	81.12	LOC106543625	284	0.25	57.53	75.81
NW_013661379.1:28036-28337	11	273	85	31.14	75.07	100	70.74	71.85	70.37	68.07	68.07	70.74	70.74	95.19	69.63	70.37	HOXB8	301	0.25	68.07	68.07
NW_013659274.1:76499-76834	11	172	34	19.77	75.07	100	62.96	72.11	74.15	76.97	76.97	68.25	75.15	75.15	74.69	69.4	LOC106550834	335	0.25	62.96	68.25
NW_013660823.1:44240-44413	11	102	51	50	75.08	100	33.33	30.67	36	85.29	86.27	95.83	89.58	88.24	91.4	89.22	DPH2	173	0.25	30.67	85.29
NW_013657932.1:41099-41511	11	246	80	32.52	75.08	100	46.51	40.88	41.33	82.68	84.85	86.42	88.69	82.54	80.27	91.67	LGALS3	412	0.25	40.88	80.27
NW_013660631.1:26710-26870	11	159	61	38.36	75.08	100	60.38	57.86	63.52	78.62	76.81	83.02	83.02	77.99	69.18	75.47	LOC106554969	160	0.25	57.86	69.18
NW_013658924.1:37329-38947	11	1599	643	40.21	75.08	100	61.56	69.66	68.17	73.75	73.56	78.81	79.87	74.19	72.93	73.44	LOC106549001	1618	0.25	61.56	72.93
NW_013658520.1:74752-76335	11	1575	753	47.81	75.1	100	57.9	65.33	67.75	73.19	66.73	89.73	79.53	79.94	69.9	76.12	LOC106546167	1583	0.25	57.9	66.73
NW_013659805.1:153373-153553	11	180	73	40.56	75.11	100	66.67	66.06	37.65	77.78	78.89	82.49	82.49	78.33	76.97	78.89	LOC106552910	180	0.25	37.65	76.97
NW_013658047.1:406842-407242	11	381	140	36.75	75.15	100	56.88	50.41	54.82	79.9	80.39	86.61	88.24	74.07	71.73	83.63	LOC106541480	400	0.25	50.41	71.73
NW_013661275.1:25823-27483	11	1497	643	42.95	75.2	100	69.21	67.82	64.66	70.41	70.41	90.35	76.58	73.69	70.06	73.98	LOC106555962	1660	0.25	64.66	70.06
NW_013657885.1:67517-67643	11	126	45	35.71	75.23	100	26.67	70.73	65.85	78.57	81.75	83.33	87.3	79.37	74.6	79.37	ANPEP	126	0.25	26.67	74.6
NW_013658304.1:627520-627762	11	243	97	39.92	75.25	100	57.08	61.25	62.92	76.67	76.95	82.3	82.72	78.6	70.91	78.33	ATG16L2	242	0.25	57.08	70.91
NW_013658010.1:142843-143010	11	166	61	36.75	75.25	100	64.91	62.04	69.3	75.76	75.15	78.18	82.39	75.76	73.33	70.92	LOC106540986	167	0.25	62.04	70.92
NW_013657689.1:471044-471230	11	186	85	45.7	75.27	100	66.67	67.2	67.2	77.42	65.59	77.42	81.18	74.73	74.19	76.34	LOC106537915	186	0.25	65.59	65.59
NW_013658270.1:30737-31824	11	882	397	45.01	75.27	100	61.32	65.64	68.93	76.79	76.98	75.17	76.3	77.36	73.49	76	LOC106543983	1087	0.25	61.32	73.49
NW_013657837.1:1479825-1480012	11	186	101	54.3	75.32	100	41.76	35.14	60.22	79.57	84.95	88.71	91.94	80.65	80.65	84.95	LOC106538299	187	0.25	35.14	79.57
NW_013661416.1:58506-59934	11	478	123	25.73	75.39	100	38.51	66.67	58.89	77.93	79.28	84.74	88.57	78.54	79.55	76.58	LOC106556109	1428	0.25	38.51	76.58
