target.locus	gene	mRNA	CDS	subject.NCBI.coordinates	accession.homolog	subject.start.homolog	subject.end.homolog	subject.contig.sense	Gene.ID	Gene.Name	Gene.Range	Gene.target.Sense	mRNA.Range	mRNA.target.Sense	CDS.Range	CDS.target.Sense	CDS_codon_start	target_codon_start
WeinellEntry5422	yes	yes	yes	NW_013657751.1:913829-914864	NW_013657751.1	913829	914864	1	106554744	CXCL12	<1..>1036	1	<8..>125	1	<8..>125	1	3	1
WeinellEntry5423	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—
WeinellEntry5424	yes	yes	yes	NW_013659515.1:139159-140139	NW_013659515.1	139159	140139	2	106551886	GYG1	<1..>981	1	<336..386;616..>981;<616..>981;<336..386;616..>981	1;1;1;1;1	<336..386;616..801;<616..801;<336..386;616..801	1;1;1;1;1	—;1;1;—;1	–;1;1;–;1
WeinellEntry5425	yes	no	no	NW_013658553.1:394856-395934	NW_013658553.1	394856	395934	1	106546474	RIN3	<1..>1079	-1	–	–	–	–	–	–
WeinellEntry5426	yes	yes	yes	NW_013658488.1:305758-306748	NW_013658488.1	305758	306748	2	106545861	NRAP	<1..>991	1	<861..>991	1	<861..>991	1	1	3
WeinellEntry5427	yes	yes	yes	NW_013657951.1:348315-349126	NW_013657951.1	348315	349126	1	106540169	ST5	<1..>812	-1	<619..>728	-1	<619..>728	-1	1	1
WeinellEntry5428	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—
WeinellEntry5429	yes	no	no	NW_013658297.1:127108-128155	NW_013658297.1	127108	128155	2	106544247	LOC106544247	<1..872	-1	–	–	–	–	–	–
WeinellEntry5430	yes	yes	yes	NW_013657980.1:871759-872864	NW_013657980.1	871759	872864	2	106540616	RFX5	<1..>1106	-1	<1..>768	-1	<1..>768	-1	1	3
WeinellEntry5431	yes	yes	yes	NW_013657777.1:16374-17285	NW_013657777.1	16374	17285	2	106557162	LOC106557162	<1..>912	-1	<241..>460	-1	<241..>460	-1	1	3
WeinellEntry5432	yes	yes	yes	NW_013658318.1:15990-17167	NW_013658318.1	15990	17167	1	106544460	LOC106544460	<1..>1178	1	<403..>1178	1	<403..590	1	—	–
WeinellEntry5433	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—
WeinellEntry5434	yes	yes	yes	NW_013657897.1:368014-368935	NW_013657897.1	368014	368935	2	106539297	SYT6	<1..>922	1	<210..>922	1	<210..281	1	1	3
WeinellEntry5435	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—
WeinellEntry5436	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—
WeinellEntry5437	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—
WeinellEntry5438	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—
WeinellEntry5439	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—
WeinellEntry5440	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—
WeinellEntry5441	yes	yes	yes	NW_013657812.1:1339981-1341110	NW_013657812.1	1339981	1341110	2	106537836	LOC106537836	<1..>1130	-1	<1..>275;<1..>275;<1..>275	-1;-1;-1	176..>275;176..>275;176..>275	-1;-1;-1	2;2;2	2;2;2
WeinellEntry5442	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—
WeinellEntry5443	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—
WeinellEntry5444	yes	no	no	NW_013658592.1:139790-140892	NW_013658592.1	139790	140892	2	106546798	GAD1	<1..>1103	1	–	–	–	–	–	–
WeinellEntry5445	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—
WeinellEntry5446	yes	no	no	NW_013657950.1:243918-244862	NW_013657950.1	243918	244862	2	106540158	LOC106540158	<1..>945	1	–	–	–	–	–	–
WeinellEntry5447	yes	no	no	NW_013657950.1:243898-244862	NW_013657950.1	243898	244862	2	106540158	LOC106540158	<1..>965	1	–	–	–	–	–	–
WeinellEntry5448	yes	yes	yes	NW_013657756.1:141778-142817	NW_013657756.1	141778	142817	2	106556221;106556587	ARRB2;LOC106556587	<1..>1040;890..>1040	-1;-1	<1..>147	-1	<1..>147	-1	3	2
WeinellEntry5449	yes	no	no	NW_013658438.1:67213-68117	NW_013658438.1	67213	68117	1	106545479	LOC106545479	<1..>905	1	–	–	–	–	–	–
WeinellEntry5450	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—
WeinellEntry5451	yes	no	no	NW_013658076.1:677739-678641	NW_013658076.1	677739	678641	2	106541876	LOC106541876	<1..>903	1	–	–	–	–	–	–
WeinellEntry5452	yes	yes	yes	NW_013657758.1:1364511-1365480	NW_013657758.1	1364511	1365480	2	106556758	LOC106556758	<1..>970	-1	<1..>970	-1	<1..>970	-1	1	1
WeinellEntry5453	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—
WeinellEntry5454	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—
WeinellEntry5455	yes	no	no	NW_013658361.1:381455-382400	NW_013658361.1	381455	382400	1	106544784	LOC106544784	<1..>946	-1	–	–	–	–	–	–
WeinellEntry5456	yes	yes	yes	NW_013659932.1:196397-197338	NW_013659932.1	196397	197338	1	106553290	LOC106553290	<1..>942	1	<8..>141	1	<8..>141	1	3	1
WeinellEntry5457	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—
WeinellEntry5458	yes	yes	yes	NW_013658005.1:273702-274857	NW_013658005.1	273702	274857	1	106540932	TTC3	<1..998	1	<526..998;<1..280;<1..278;<1..274	1;1;1;1	<526..639;<1..15;<1..15;<1..15	1;1;1;1	1;1;1;1	1;1;1;1
WeinellEntry5459	yes	no	no	NW_013657893.1:411997-412920	NW_013657893.1	411997	412920	1	106539251	SLCO2A1	<1..>924	1	–	–	–	–	–	–
WeinellEntry5460	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—
WeinellEntry5461	yes	yes	yes	NW_013659083.1:276213-277179	NW_013659083.1	276213	277179	2	106549867	CILP2	<1..>967	-1	<252..>967	-1	<252..>967	-1	1	1
WeinellEntry5462	yes	yes	yes	NW_013658633.1:429927-430940	NW_013658633.1	429927	430940	1	106547087	FAM20A	<1..>1014	-1	<605..>686	-1	<605..>686	-1	3	1
WeinellEntry5463	yes	no	no	NW_013659191.1:372305-373200	NW_013659191.1	372305	373200	2	106550462	SLC39A11	<1..>896	-1	–	–	–	–	–	–
WeinellEntry5464	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—
WeinellEntry5465	yes	no	no	NW_013658160.1:298917-299825	NW_013658160.1	298917	299825	2	106542879	RNF111	<1..>909	1	–	–	–	–	–	–
WeinellEntry5466	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—
WeinellEntry5467	yes	yes	no	NW_013658837.1:49856-50771	NW_013658837.1	49856	50771	2	106548474	SH3PXD2A	<1..>916	1	<1..>916	1	–	–	–	–
WeinellEntry5468	yes	yes	yes	NW_013659946.1:16986-17902	NW_013659946.1	16986	17902	2	106553332	CHST12	<1..>917	1	<1..>917	1	66..>917	1	1	3
WeinellEntry5469	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—
WeinellEntry5470	yes	yes	no	NW_013658200.1:23240-24149	NW_013658200.1	23240	24149	2	106543270	STK17B	<1..>910	1	<1..>910	1	–	–	–	–
WeinellEntry5471	yes	yes	yes	NW_013659774.1:105418-106369	NW_013659774.1	105418	106369	1	106552798	MACF1	<1..>952	-1	<2..>196;<2..>196;<2..>196	-1;-1;-1	<2..>196;<2..>196;<2..>196	-1;-1;-1	1;1;1	1;1;1
WeinellEntry5472	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—
WeinellEntry5473	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—
WeinellEntry5474	yes	yes	yes	NW_013657872.1:364486-365415	NW_013657872.1	364486	365415	2	106538918	LOC106538918	<1..>930	1	<1..>930	1	<1..>930	1	—	–
WeinellEntry5475	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—
WeinellEntry5476	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—
WeinellEntry5477	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—
WeinellEntry5478	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—
WeinellEntry5479	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—
WeinellEntry5480	yes	yes	yes	NW_013658430.1:362282-363167	NW_013658430.1	362282	363167	2	106545411	LOC106545411	<1..>886	-1	<1..92;438..>771	-1;-1	<1..92;438..>771	-1;-1	2;3	1;1
WeinellEntry5481	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—
WeinellEntry5482	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—
WeinellEntry5483	yes	no	no	NW_013659014.1:162995-163926	NW_013659014.1	162995	163926	1	106549535	SHANK3	<1..>932	-1	–	–	–	–	–	–
WeinellEntry5484	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—
WeinellEntry5485	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—
WeinellEntry5486	yes	no	no	NW_013658913.1:111974-112950	NW_013658913.1	111974	112950	2	106548946	PTPRN2	<1..>977	-1	–	–	–	–	–	–
WeinellEntry5487	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—
WeinellEntry5488	yes	yes	yes	NW_013657791.1:1156312-1157280	NW_013657791.1	1156312	1157280	1	106557430	FRMPD4	<1..>969	1	<1..>969	1	<1..323	1	3	3
WeinellEntry5489	yes	yes	yes	NW_013658880.1:165746-166658	NW_013658880.1	165746	166658	1	106548730	SHROOM2	<1..>913	1	<1..>118;<1..>118	1;1	<1..>118;<1..>118	1;1	3;3	3;3
WeinellEntry5490	yes	no	no	NW_013658107.1:224311-225496	NW_013658107.1	224311	225496	2	106542263	NFATC2	<1..>1186	-1	–	–	–	–	–	–
WeinellEntry5491	yes	no	no	NW_013657731.1:1144021-1145007	NW_013657731.1	1144021	1145007	1	106549617	RUNX1	<1..>987	1	–	–	–	–	–	–
WeinellEntry5492	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—
WeinellEntry5493	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—
WeinellEntry5494	yes	yes	yes	NW_013658543.1:509461-510422	NW_013658543.1	509461	510422	2	106546381	ROR1	<1..>962	-1	<1..>962	-1	<1..>962	-1	1	1
WeinellEntry5495	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—
WeinellEntry5496	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—
WeinellEntry5497	yes	yes	yes	NW_013659828.1:128962-129954	NW_013659828.1	128962	129954	2	106552997	MARCH9	<1..>993	1	<415..>993	1	<415..743	1	—	–
WeinellEntry5498	yes	yes	yes	NW_013658210.1:447173-448156	NW_013658210.1	447173	448156	2	106543386	INPP5K	151..>984	-1	151..574;919..>984	-1;-1	476..574;919..>984	-1;-1	1;1	3;1
WeinellEntry5499	yes	yes	yes	NW_013658210.1:513543-514620	NW_013658210.1	513543	514620	2	106543395;106543394	YWHAE;MYO1C	<1..601;<1..>1078	1;-1	<439..601	1	<439..583	1	—	–
WeinellEntry5500	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—
WeinellEntry5501	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—
WeinellEntry5502	yes	yes	yes	NW_013659148.1:207738-208667	NW_013659148.1	207738	208667	2	106550230	TMED8	<1..>930	-1	<1..>45	-1	<1..>45	-1	—	–
WeinellEntry5503	yes	no	no	NW_013658910.1:250180-251213	NW_013658910.1	250180	251213	2	106548918	AKAP12	<1..>1034	-1	–	–	–	–	–	–
WeinellEntry5504	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—
WeinellEntry5505	yes	no	no	NW_013658093.1:681949-683026	NW_013658093.1	681949	683026	1	106542096	FASN	<1..>1078	1	–	–	–	–	–	–
WeinellEntry5506	yes	yes	yes	NW_013661002.1:43190-44274	NW_013661002.1	43190	44274	1	106555583	GPS1	<1..>1085	-1	<543..>677;<543..>677;<543..>677;<543..>677;<543..>677	-1;-1;-1;-1;-1	<543..>677;<543..>677;<543..>677;<543..>677;<543..>677	-1;-1;-1;-1;-1	1;1;1;1;1	1;1;1;1;1
WeinellEntry5507	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—
WeinellEntry5508	yes	no	no	NW_013657918.1:616845-617859	NW_013657918.1	616845	617859	1	106539643	LOC106539643	<1..>1015	1	–	–	–	–	–	–
WeinellEntry5509	yes	no	no	NW_013657714.1:135619-136561	NW_013657714.1	135619	136561	1	106545440	TMEM200C	<1..>943	1	–	–	–	–	–	–
WeinellEntry5510	yes	yes	yes	NW_013657849.1:325077-326014	NW_013657849.1	325077	326014	1	106538522	KCNAB1	<1..>938	-1	<1..>841	-1	752..>841	-1	1	2
WeinellEntry5511	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—
WeinellEntry5512	yes	no	no	NW_013659637.1:179511-180504	NW_013659637.1	179511	180504	2	106552384	DSCAM	<1..>994	-1	–	–	–	–	–	–
WeinellEntry5513	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—
WeinellEntry5514	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—
WeinellEntry5515	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—
WeinellEntry5516	yes	yes	yes	NW_013658016.1:585001-585857	NW_013658016.1	585001	585857	2	106541087	ERCC1	<1..>857	-1	<173..272;796..>857	-1;-1	<173..272;796..>857	-1;-1	2;1	2;1
WeinellEntry5517	yes	no	no	NW_013657760.1:949253-950243	NW_013657760.1	949253	950243	1	106556809	NTRK2	<1..>991	1	–	–	–	–	–	–
WeinellEntry5518	yes	yes	yes	NW_013657761.1:1512018-1512871	NW_013657761.1	1512018	1512871	1	106556850	SGSM1	<1..>854	-1	<1..40;287..450;667..>734	-1;-1;-1	<1..40;287..450;667..>734	-1;-1;-1	1;3;2	2;2;2
WeinellEntry5519	yes	yes	yes	NW_013657739.1:266294-267261	NW_013657739.1	266294	267261	2	106551809	ATRX	<1..>968	-1	<934..>968	-1	<934..>968	-1	3	3
WeinellEntry5520	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—
WeinellEntry5521	yes	no	no	NW_013657903.1:451264-452193	NW_013657903.1	451264	452193	2	106539404	LOC106539404	<1..>930	1	–	–	–	–	–	–
WeinellEntry5522	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—
WeinellEntry5523	yes	no	no	NW_013657866.1:829051-830025	NW_013657866.1	829051	830025	2	106538823	ELOVL1	<1..>975	1	–	–	–	–	–	–
WeinellEntry5524	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—
WeinellEntry5525	yes	yes	yes	NW_013659074.1:251941-252869	NW_013659074.1	251941	252869	2	106549811	IBTK	<1..>929	-1	<1..>52;<1..>52;<1..>52;<1..>52	-1;-1;-1;-1	<1..>52;<1..>52;<1..>52;<1..>52	-1;-1;-1;-1	1;1;1;1	2;2;2;2
WeinellEntry5526	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—
WeinellEntry5527	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—
WeinellEntry5528	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—
WeinellEntry5529	yes	no	no	NW_013659360.1:241231-242160	NW_013659360.1	241231	242160	1	106551238	LOC106551238	<1..>930	-1	–	–	–	–	–	–
WeinellEntry5530	yes	no	no	NW_013659706.1:4591-5670	NW_013659706.1	4591	5670	1	106552613	SPTLC1	<1..>1080	1	–	–	–	–	–	–
WeinellEntry5531	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—
WeinellEntry5532	yes	yes	yes	NW_013657715.1:282430-283410	NW_013657715.1	282430	283410	2	106545809	ACE	<1..>981	1	<8..105;901..>981	1;1	<8..105;901..>981	1;1	3;1	1;1
WeinellEntry5533	yes	yes	yes	NW_013658818.1:381295-382235	NW_013658818.1	381295	382235	1	106548348	RMND5A	<1..>941	1	<703..>869;<703..>869	1;1	<703..>869;<703..>869	1;1	2;2	2;2
WeinellEntry5534	yes	yes	yes	NW_013657779.1:798193-799059	NW_013657779.1	798193	799059	2	106557195	IQGAP3	<1..>867	-1	<1..79;502..>589	-1;-1	<1..79;502..>589	-1;-1	1;2	3;1
WeinellEntry5535	yes	yes	yes	NW_013660652.1:33500-34484	NW_013660652.1	33500	34484	1	106555012	MARCH4	<1..>985	1	<8..>985	1	<8..369	1	3	1
WeinellEntry5536	yes	yes	yes	NW_013658373.1:542997-543985	NW_013658373.1	542997	543985	2	106544917	PVRL3	<1..>989	1	<1..>989	1	<1..292	1	—	–
WeinellEntry5537	yes	yes	yes	NW_013658974.1:43508-44486	NW_013658974.1	43508	44486	2	106549307	NRCAM	<1..>979	-1	<1..77;354..>559;<1..77;354..>559;<1..77;354..>559;<1..77;354..>559;<1..77;354..>559;<1..77;354..>559;<1..77;354..>559;<1..77;354..>559;<1..77;354..>559;<1..77;354..>559;<1..77;354..>559;<1..77;354..>559;<1..77;354..>559	-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1	<1..77;354..>559;<1..77;354..>559;<1..77;354..>559;<1..77;354..>559;<1..77;354..>559;<1..77;354..>559;<1..77;354..>559;<1..77;354..>559;<1..77;354..>559;<1..77;354..>559;<1..77;354..>559;<1..77;354..>559;<1..77;354..>559	-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1	3;2;3;2;3;2;3;2;3;2;3;2;3;2;3;2;3;2;3;2;3;2;3;2;3;2	2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
WeinellEntry5538	yes	yes	yes	NW_013657982.1:755663-756550	NW_013657982.1	755663	756550	2	106540659	MPZL2	<1..>888	-1	<1..87;336..>413	-1;-1	87..87;336..>413	-1;-1	skipped because CDS < 15bp;2	skipped because CDS < 15bp;3
WeinellEntry5539	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—
WeinellEntry5540	yes	yes	yes	NW_013659154.1:248054-248961	NW_013659154.1	248054	248961	1	106550271	AP4S1	<1..>908	-1	<1..>610;<1..>610;<1..>610	-1;-1;-1	482..>610;482..>610;482..>610	-1;-1;-1	1;1;1	2;2;2
WeinellEntry5541	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—
WeinellEntry5542	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—
WeinellEntry5543	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—
WeinellEntry5544	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—
WeinellEntry5545	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—
WeinellEntry5546	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—
WeinellEntry5547	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—
WeinellEntry5548	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—
WeinellEntry5549	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—
WeinellEntry5550	yes	no	no	NW_013658142.1:298339-299374	NW_013658142.1	298339	299374	1	106542697	LOC106542697	<1..>1036	1	–	–	–	–	–	–
WeinellEntry5551	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—
WeinellEntry5552	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—
WeinellEntry5553	yes	no	no	NW_013657791.1:486057-487007	NW_013657791.1	486057	487007	1	106557423	MET	<1..>951	1	–	–	–	–	–	–
WeinellEntry5554	yes	yes	yes	NW_013658804.1:251203-252117	NW_013658804.1	251203	252117	1	106548273	MAP3K6	<1..302	-1	<1..302	-1	<1..219	-1	1	1
WeinellEntry5555	yes	yes	yes	NW_013658804.1:251214-252117	NW_013658804.1	251214	252117	1	106548273	MAP3K6	<1..291	-1	<1..291	-1	<1..208	-1	1	1
WeinellEntry5556	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—
WeinellEntry5557	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—
WeinellEntry5558	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—
WeinellEntry5559	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—
WeinellEntry5560	yes	yes	yes	NW_013657747.1:1366570-1367564	NW_013657747.1	1366570	1367564	1	106553946	OSBPL1A	<1..>995	-1	<508..>633;<508..>633	-1;-1	<508..628;<508..628	-1;-1	1;1	2;2
WeinellEntry5561	yes	no	no	NW_013658545.1:452346-453289	NW_013658545.1	452346	453289	1	106546397	DAZAP1	<1..>944	-1	–	–	–	–	–	–
WeinellEntry5562	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—
WeinellEntry5563	yes	yes	yes	NW_013658827.1:397221-398128	NW_013658827.1	397221	398128	1	106548404	RPL5	<1..577	-1	<473..577	-1	<473..475	-1	skipped because CDS < 15bp	skipped because CDS < 15bp
WeinellEntry5564	yes	yes	no	NW_013659798.1:105966-106986	NW_013659798.1	105966	106986	2	106552882	LOC106552882	<1..672	1	<1..672	1	–	–	–	–
WeinellEntry5565	yes	no	no	NW_013658181.1:92968-93987	NW_013658181.1	92968	93987	1	106543107	ARPC4	<1..>1020	1	–	–	–	–	–	–
WeinellEntry5566	yes	yes	yes	NW_013659309.1:196832-197904	NW_013659309.1	196832	197904	1	106551000	USP37	<1..>1073	-1	<877..>1073;<877..>1073;<877..>1073;<877..>1073	-1;-1;-1;-1	<877..>1073;<877..>1073;<877..>1073;<877..>1073	-1;-1;-1;-1	1;1;1;1	1;1;1;1
WeinellEntry5567	yes	yes	yes	NW_013657965.1:646939-647747	NW_013657965.1	646939	647747	1	106540428	LOC106540428	<1..>809	-1	<1..1;387..>581	-1;-1	<1..1;387..>581	-1;-1	skipped because CDS < 15bp;1	skipped because CDS < 15bp;1
WeinellEntry5568	yes	no	no	NW_013657965.1:594741-595524	NW_013657965.1	594741	595524	1	106540437	ST3GAL2	<1..>784	1	–	–	–	–	–	–
WeinellEntry5569	yes	no	no	NW_013660810.1:65874-66989	NW_013660810.1	65874	66989	1	106555271	SF3B3	<1..>1116	-1	–	–	–	–	–	–
WeinellEntry5570	yes	yes	yes	NW_013658687.1:37749-38675	NW_013658687.1	37749	38675	2	106547494	CNGB1	<1..>927	1	<51..173;272..>413	1;1	<51..173;272..>413	1;1	2;2	1;3
WeinellEntry5571	yes	yes	no	NW_013658662.1:48249-49306	NW_013658662.1	48249	49306	2	106547299	LOC106547299	<1..>1058	1	<578..>625	1	–	–	–	–
WeinellEntry5572	yes	yes	yes	NW_013657910.1:510828-511855	NW_013657910.1	510828	511855	2	106539495	NOTCH1	<1..>1028	1	<8..>121	1	<8..>121	1	3	1
WeinellEntry5573	yes	yes	yes	NW_013658386.1:534252-535430	NW_013658386.1	534252	535430	2	106545043	HLF	<1..>1179	1	<1..>267;<1..>267;890..>1147	1;1;1	162..>267;162..>267;1096..>1147	1;1;1	1;1;1	3;3;1
WeinellEntry5574	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—
WeinellEntry5575	yes	yes	no	NW_013657774.1:620240-621112	NW_013657774.1	620240	621112	1	106557115	ETNK2	<1..>873	-1	<1..>873	-1	–	–	–	–
WeinellEntry5576	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—
WeinellEntry5577	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—
WeinellEntry5578	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—
WeinellEntry5579	yes	yes	yes	NW_013658191.1:404615-405648	NW_013658191.1	404615	405648	1	106543184	HLX	<1..>1034	1	<195..>379	1	<195..>379	1	3	2
WeinellEntry5580	yes	yes	yes	NW_013657831.1:1209281-1210339	NW_013657831.1	1209281	1210339	2	106538209	MYPOP	234..>1059	1	234..>687	1	234..>687	1	1	3
WeinellEntry5581	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—
WeinellEntry5582	yes	no	no	NW_013657789.1:1137287-1138208	NW_013657789.1	1137287	1138208	1	106557390	HTR1F	<1..>922	-1	–	–	–	–	–	–
WeinellEntry5583	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—
WeinellEntry5584	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—
WeinellEntry5585	yes	yes	yes	NW_013657974.1:163890-164821	NW_013657974.1	163890	164821	2	106540532	FAT4	<1..>932	1	<1..>932	1	<1..>932	1	1	1
WeinellEntry5586	yes	yes	yes	NW_013661099.1:10775-9850	NW_013661099.1	10775	9850	1	106555722	LOC106555722	<1..>926	-1	<1..1	-1	<1..1	-1	skipped because CDS < 15bp	skipped because CDS < 15bp
WeinellEntry5587	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—
