target.locus	gene	mRNA	CDS	subject.NCBI.coordinates	accession.homolog	subject.start.homolog	subject.end.homolog	subject.contig.sense	Gene.ID	Gene.Name	Gene.Range	Gene.target.Sense	mRNA.Range	mRNA.target.Sense	CDS.Range	CDS.target.Sense	CDS_codon_start	target_codon_start
WeinellEntry5202	yes	yes	yes	AZIM01008286.1:c17809-16987	AZIM01008286.1	17809	16987	-1	—	Beta25	<1..>823	1	<1..>823	1	773..>823	1	1	—
WeinellEntry5203	yes	yes	yes	AZIM01008286.1:10887-11987	AZIM01008286.1	10887	11987	1	—	Beta26	<1..>1101	1	<1..>1101	1	1051..>1101	1	1	—
WeinellEntry5204	yes	yes	yes	AZIM01008286.1:c8758-9808	AZIM01008286.1	8758	9808	-1	—	Beta27	<1..>1051	1	<1..>1051	1	1001..>1051	1	1	—
WeinellEntry5205	yes	yes	yes	AZIM01008286.1:908-2008	AZIM01008286.1	908	2008	1	—	Beta28	<1..>1101	1	<1..>1101	1	1051..>1101	1	1	—
WeinellEntry5206	yes	yes	yes	AZIM01000954.1:3070-4170	AZIM01000954.1	3070	4170	1	—	Beta29	<1..>1101	-1	<1..>1101	-1	1001..>1101	-1	1	—
WeinellEntry5207	yes	yes	yes	AZIM01000954.1:29608-30708	AZIM01000954.1	29608	30708	-1	—	Beta30	<1..>1101	1	<1..>1101	1	1051..>1101	1	1	—
WeinellEntry5209	yes	yes	yes	AZIM01000954.1:c47633-47256	AZIM01000954.1	47633	47256	-1	—	Beta32	<1..>378	1	<1..>378	1	278..>378	1	1	—
WeinellEntry5210	yes	yes	yes	NW_013659175.1:5275-6375	NW_013659175.1	5275	6375	-1	—	Beta33	<1..>1101	1	<1..>1101	1	969..>1101	1	1	—
WeinellEntry5211	yes	yes	yes	LVCR01013710.1:4146-5246	LVCR01013710.1	4146	5246	-1	—	Beta34	<1..>1101	1	<1..>1101	1	1001..>1101	1	1	—
WeinellEntry5212	yes	yes	yes	NW_013660559.1:76321-77421	NW_013660559.1	76321	77421	1	—	Beta35	<1..>1101	1	<1..>1101	1	999..>1101	1	1	—
WeinellEntry5213	yes	yes	yes	BCNE02024631.1:11186-12286	BCNE02024631.1	11186	12286	1	—	Beta36	<1..>1101	1	<1..>1101	1	1001..>1101	1	1	—
WeinellEntry5214	yes	yes	yes	AZIM01003248.1:855-1955	AZIM01003248.1	855	1955	1	—	PGLYRP3	<1..>1101	1	<1..>1101	1	1001..1049	1	1	—
WeinellEntry5215	yes	yes	yes	AZIM01003248.1:11425-12134	AZIM01003248.1	11425	12134	1	—	EDKM	<1..>710	1	<1..>710	1	610..>710	1	1	—
WeinellEntry5216	yes	yes	yes	AZIM01003248.1:19365-20465	AZIM01003248.1	19365	20465	-1	—	EDPQ3	<1..>1101	1	<1..>1101	1	1001..>1101	1	1	—
WeinellEntry5217	yes	yes	yes	AZIM01003248.1:32059-33124	AZIM01003248.1	32059	33124	1	—	EDPQ2	<1..>1066	1	<1..>1066	1	966..>1066	1	1	—
WeinellEntry5218	yes	yes	yes	AZIM01003248.1:41285-42385	AZIM01003248.1	41285	42385	-1	—	EDSC1	<1..>1101	1	<1..>1101	1	1001..>1101	1	1	—
WeinellEntry5219	yes	yes	yes	AZIM01003248.1:51474-52567	AZIM01003248.1	51474	52567	1	—	EDSC2	<1..>1094	1	<1..>1094	1	994..>1094	1	1	—
WeinellEntry5220	yes	yes	yes	AZIM01003248.1:68825-69925	AZIM01003248.1	68825	69925	-1	—	EDWM	<1..>1101	1	<1..>1101	1	1001..>1101	1	1	—
WeinellEntry5221	yes	yes	yes	AZIM01003248.1:73568-74668	AZIM01003248.1	73568	74668	-1	—	EDPQ1	<1..>1101	1	<1..>1101	1	1001..>1101	1	1	—
WeinellEntry5222	yes	yes	yes	AZIM01003248.1:77687-78787	AZIM01003248.1	77687	78787	1	—	EDCS1	<1..>1101	1	<1..>1101	1	1001..>1101	1	1	—
WeinellEntry5223	yes	yes	yes	AZIM01003248.1:82523-83623	AZIM01003248.1	82523	83623	-1	—	EDHEM	<1..>1101	1	<1..>1101	1	1001..>1101	1	1	—
WeinellEntry5224	yes	yes	yes	AZIM01003248.1:87781-88881	AZIM01003248.1	87781	88881	-1	—	EDCS2	<1..>1101	1	<1..>1101	1	1001..>1101	1	1	—
WeinellEntry5225	yes	yes	yes	AZIM01003248.1:92466-92770	AZIM01003248.1	92466	92770	1	—	EDCM	<1..>305	1	<1..>305	1	205..>305	1	1	—
WeinellEntry5226	yes	yes	yes	AZIM01003248.1:c98314-97372	AZIM01003248.1	98314	97372	-1	—	EDCS3	<1..>943	1	<1..>943	1	843..>943	1	1	—
WeinellEntry5227	yes	yes	yes	AZIM01003248.1:104305-105405	AZIM01003248.1	104305	105405	-1	—	EDPCCC1	<1..>1101	1	<1..>1101	1	1001..>1101	1	1	—
WeinellEntry5229	yes	yes	yes	AZIM01003248.1:c123047-122370	AZIM01003248.1	123047	122370	-1	—	EDPCCC3	<1..>678	1	<1..>678	1	578..>678	1	1	—
WeinellEntry5230	yes	yes	yes	AZIM01003248.1:133343-134443	AZIM01003248.1	133343	134443	-1	—	EDCG	<1..>1101	1	<1..>1101	1	1001..>1101	1	1	—
WeinellEntry5231	yes	yes	yes	AZIM01003248.1:137876-138976	AZIM01003248.1	137876	138976	-1	—	EDPCCC4	<1..>1101	1	<1..>1101	1	1001..>1101	1	1	—
WeinellEntry5232	yes	yes	yes	AZIM01003248.1:140722-141822	AZIM01003248.1	140722	141822	1	—	EDGPC	<1..>1101	1	<1..>1101	1	1001..>1101	1	1	—
WeinellEntry5233	yes	yes	yes	AZIM01003248.1:145180-146280	AZIM01003248.1	145180	146280	-1	—	EDQL	<1..>1101	1	<1..>1101	1	1001..>1101	1	1	—
WeinellEntry5234	yes	yes	yes	AZIM01003248.1:151669-152769	AZIM01003248.1	151669	152769	-1	—	LOR2	<1..>1101	1	<1..>1101	1	1001..>1101	1	1	—
WeinellEntry5235	yes	yes	yes	AZIM01003248.1:156966-158066	AZIM01003248.1	156966	158066	-1	—	LOR1	<1..>1101	1	<1..>1101	1	1001..>1101	1	1	—
WeinellEntry5236	yes	yes	yes	AZIM01004187.1:72541-73641	AZIM01004187.1	72541	73641	1	—	EDY1	<1..>1101	1	<1..>1101	1	1001..>1101	1	1	—
WeinellEntry5237	yes	yes	yes	AZIM01004187.1:c65053-63999	AZIM01004187.1	65053	63999	-1	—	EDSRWM	<1..>1055	1	<1..>1055	1	955..>1055	1	1	—
WeinellEntry5238	yes	yes	yes	AZIM01004187.1:57166-58266	AZIM01004187.1	57166	58266	1	—	EDGY1	<1..>1101	1	<1..>1101	1	1001..>1101	1	1	—
WeinellEntry5239	yes	yes	yes	AZIM01004187.1:47791-48891	AZIM01004187.1	47791	48891	-1	—	EDGY2	<1..>1101	1	<1..>1101	1	1001..>1101	1	1	—
WeinellEntry5240	yes	yes	yes	AZIM01000954.1:23253-23804	AZIM01000954.1	23253	23804	1	—	EDETM	<1..>552	1	<1..>552	1	452..>552	1	1	—
WeinellEntry5241	yes	yes	yes	AZIM01000954.1:40059-41159	AZIM01000954.1	40059	41159	1	—	EDPS1	<1..>1101	1	<1..>1101	1	1001..>1101	1	1	—
WeinellEntry5242	yes	yes	yes	AZIM01000954.1:57107-58207	AZIM01000954.1	57107	58207	1	—	EDPS2	<1..>1101	1	<1..>1101	1	1001..>1101	1	1	—
WeinellEntry5243	yes	yes	yes	AZIM01000954.1:69547-70647	AZIM01000954.1	69547	70647	-1	—	EDSCP	<1..>1101	1	<1..>1101	1	1001..>1101	1	1	—
WeinellEntry5244	yes	yes	yes	AZIM01000954.1:106953-108053	AZIM01000954.1	106953	108053	-1	—	EDYM2	<1..>1101	1	<1..>1101	1	1001..>1101	1	1	—
WeinellEntry5245	yes	yes	yes	AZIM01000954.1:c120154-119731	AZIM01000954.1	120154	119731	-1	—	EDEPK	<1..>424	1	<1..>424	1	324..>424	1	1	—
WeinellEntry5246	yes	yes	yes	AZIM01000954.1:130898-131239	AZIM01000954.1	130898	131239	1	—	EDPKC	<242..>342	1	<242..>342	1	<242..>342	1	1	—
WeinellEntry5247	yes	yes	yes	AZIM01000954.1:135590-136690	AZIM01000954.1	135590	136690	-1	—	EDP3	<1..>1101	1	<1..>1101	1	1001..>1101	1	1	—
WeinellEntry5248	yes	yes	yes	AZIM01000954.1:139286-140386	AZIM01000954.1	139286	140386	1	—	EDQSG	<1..>1101	1	<1..>1101	1	1001..>1101	1	1	—
WeinellEntry5249	yes	yes	yes	AZIM01000954.1:146127-147227	AZIM01000954.1	146127	147227	-1	—	EDSPR1	<1..>1101	1	<1..>1101	1	1001..>1101	1	1	—
WeinellEntry5250	yes	yes	yes	AZIM01000954.1:152869-153969	AZIM01000954.1	152869	153969	1	—	EDPCS	<1..>1101	1	<1..>1101	1	1001..>1101	1	1	—
WeinellEntry5251	yes	yes	yes	AZIM01000954.1:156259-157359	AZIM01000954.1	156259	157359	-1	—	EDQK	<1..>1101	1	<1..>1101	1	1001..>1101	1	1	—
WeinellEntry5252	yes	yes	yes	AZIM01000954.1:c162376-161972	AZIM01000954.1	162376	161972	-1	—	EDCP	<1..>405	1	<1..>405	1	305..>405	1	1	—
WeinellEntry5253	yes	yes	yes	AZIM01000954.1:166242-167342	AZIM01000954.1	166242	167342	1	—	EDCATM	<1..>1101	1	<1..>1101	1	1001..>1101	1	1	—
WeinellEntry5254	yes	yes	yes	AZIM01000954.1:173551-174651	AZIM01000954.1	173551	174651	1	—	EDPAM	<1..>1101	1	<1..>1101	1	1001..>1101	1	1	—
WeinellEntry5255	yes	yes	yes	AZIM01000954.1:183442-184097	AZIM01000954.1	183442	184097	1	—	EDSQ	<1..>656	1	<1..>656	1	556..>656	1	1	—
WeinellEntry5256	yes	yes	yes	AZIM01004605.1:2389-3409	AZIM01004605.1	2389	3409	1	—	EDEPT	<1..>1021	1	<1..>1021	1	921..>1021	1	1	—
WeinellEntry5257	yes	yes	yes	AZIM01004605.1:8154-9254	AZIM01004605.1	8154	9254	-1	—	EDSPR2	<1..>1101	1	<1..>1101	1	1001..>1101	1	1	—
WeinellEntry5258	yes	yes	yes	AZIM01004605.1:13916-15016	AZIM01004605.1	13916	15016	1	—	CRNN	<1..>1101	1	<1..>1101	1	1001..>1101	1	1	—
WeinellEntry5259	yes	yes	yes	AZIM01004605.1:23585-24685	AZIM01004605.1	23585	24685	-1	—	SCFN2	<1..>1101	1	<1..>1101	1	1001..>1101	1	1	—
WeinellEntry5260	yes	yes	yes	AZIM01004605.1:27678-28778	AZIM01004605.1	27678	28778	1	—	SCFN1	<1..>1101	1	<1..>1101	1	1001..>1101	1	1	—
WeinellEntry5261	yes	yes	yes	NW_006533133.1:6040-7140	NW_006533133.1	6040	7140	1	—	EDPS3	<1..>1101	1	<1..>1101	1	1001..>1101	1	1	—
WeinellEntry5262	yes	yes	yes	NW_006533184.1:1488-2588	NW_006533184.1	1488	2588	-1	—	S100A1	<1..>1101	1	<1..>1101	1	1001..>1101	1	1	—
WeinellEntry5263	yes	yes	yes	NW_006533184.1:45616-46716	NW_006533184.1	45616	46716	1	—	S100A2	<1..>1101	1	<1..>1101	1	1001..>1101	1	1	—
WeinellEntry5264	yes	yes	yes	NW_006533184.1:50063-51163	NW_006533184.1	50063	51163	1	—	S100A3	<1..>1101	1	<1..>1101	1	1001..>1101	1	1	—
WeinellEntry5265	yes	yes	yes	NW_006533184.1:55354-56142	NW_006533184.1	55354	56142	1	—	S100A4	<1..>789	1	<1..>789	1	689..>789	1	1	—
WeinellEntry5266	yes	yes	yes	NW_006533184.1:60202-61302	NW_006533184.1	60202	61302	1	—	S100A5	<1..>1101	1	<1..>1101	1	1001..>1101	1	1	—
WeinellEntry5267	yes	yes	yes	NW_006533184.1:65291-66391	NW_006533184.1	65291	66391	1	—	S100A6	<1..>1101	1	<1..>1101	1	1001..>1101	1	1	—
WeinellEntry5268	yes	yes	yes	NW_006533133.1:166991-167115	NW_006533133.1	166991	167115	1	—	S100A11	<1..>125	1	<1..>125	1	26..28	1	1	—
WeinellEntry5269	yes	yes	yes	NW_006533133.1:182743-183843	NW_006533133.1	182743	183843	1	—	S100A10	<1..>1101	1	<1..>1101	1	1001..>1101	1	1	—
WeinellEntry5270	yes	yes	yes	NW_006539396.1:10178-11278	NW_006539396.1	10178	11278	-1	—	S100A12	<1..>1101	1	<1..>1101	1	1002..>1101	1	1	—
WeinellEntry5271	yes	yes	yes	NW_006533184.1:13911-15011	NW_006533184.1	13911	15011	1	—	S100A13	<1..>1101	1	<1..>1101	1	1002..>1101	1	1	—
WeinellEntry5272	yes	yes	yes	NW_006533184.1:18278-19378	NW_006533184.1	18278	19378	1	103053919	S100A14	<1..>1101	1	<1..577;875..>1030	1;1	1001..>1030	1	1	1
WeinellEntry5273	yes	yes	yes	NW_006533184.1:36282-37382	NW_006533184.1	36282	37382	1	—	S100A16	<1..>1101	1	<1..>1101	1	1001..>1101	1	1	—
WeinellEntry5274	yes	yes	yes	NW_006533945.1:10273-11373	NW_006533945.1	10273	11373	-1	—	EDWM	<1..>1101	1	<1..>1101	1	1001..>1101	1	1	—
WeinellEntry5275	yes	yes	yes	NW_006533133.1:59818-60918	NW_006533133.1	59818	60918	-1	—	EDPSQ	<1..>1101	1	<1..>1101	1	1001..>1101	1	1	—
