target.locus	gene	mRNA	CDS	subject.NCBI.coordinates	accession.homolog	subject.start.homolog	subject.end.homolog	subject.contig.sense	Gene.ID	Gene.Name	Gene.Range	Gene.target.Sense	mRNA.Range	mRNA.target.Sense	CDS.Range	CDS.target.Sense	CDS_codon_start	target_codon_start
WeinellEntry167	yes	yes	yes	NW_013657790.1:543447-544167	NW_013657790.1	543447	544167	1	106557412	LOC106557412	<1..>721	-1	<1..>681;<1..>681;<1..>681	-1;-1;-1	41..>681;41..>681;41..>681	-1;-1;-1	3;3;3	1;1;1
WeinellEntry168	yes	yes	yes	NW_013658556.1:505694-507974	NW_013658556.1	505694	507974	1	106546496	TLR4	<1..2270	1	<11..2270	1	<11..2270	1	2	3
WeinellEntry169	yes	yes	yes	NW_013660993.1:37060-37780	NW_013660993.1	37060	37780	1	106555570	ZBTB48	31..>721	1	31..>690	1	31..>690	1	1	1
WeinellEntry170	yes	yes	yes	NW_013657725.1:1811128-1813528	NW_013657725.1	1811128	1813528	1	106548420	LOC106548420	<1..>2401	1	<1..>2398;<1..>2398	1;1	<1..>2398;4..>2398	1;1	1;1	1;1
WeinellEntry173	yes	yes	yes	NW_013659960.1:55987-56467	NW_013659960.1	55987	56467	1	106553362	CD72	<1..>481	-1	<42..>440	-1	<42..>440	-1	3	2
WeinellEntry175	yes	yes	yes	NW_013661391.1:21094-21574	NW_013661391.1	21094	21574	1	106556083	LOC106556083	<1..>481	-1	<54..>428	-1	<54..>428	-1	3	2
WeinellEntry177	yes	yes	yes	NW_013661095.1:49813-50413	NW_013661095.1	49813	50413	1	106555720	LOC106555720	<1..>601	-1	<11..>591	-1	<11..>591	-1	3	1
WeinellEntry178	yes	yes	yes	NW_013659175.1:85207-87127	NW_013659175.1	85207	87127	1	106550362	USPL1	<1..>1921	-1	<1..>1900;<1..>1900	-1;-1	21..>1900;21..>1900	-1;-1	3;3	3;3
WeinellEntry180	yes	yes	yes	NW_013660683.1:35252-36572	NW_013660683.1	35252	36572	1	106555065	FAN1	<1..>1321	-1	<16..>1321	-1	<16..1306	-1	1	1
WeinellEntry181	yes	yes	yes	NW_013658175.1:26847-28287	NW_013658175.1	26847	28287	1	106543035	LOC106543035	<54..>1441	1	<54..>1388	1	<54..>1388	1	2	1
WeinellEntry183	yes	yes	yes	NW_013658480.1:288739-288979	NW_013658480.1	288739	288979	1	106545801	LOC106545801	<1..205	1	<36..205	1	<36..205	1	3	2
WeinellEntry184	yes	yes	yes	NW_013660092.1:112593-112833	NW_013660092.1	112593	112833	1	106553792	LOC106553792	<1..>241	1	<58..>184	1	<58..>184	1	1	1
WeinellEntry185	yes	yes	yes	NW_013658848.1:105195-105555	NW_013658848.1	105195	105555	1	106548543	LOC106548543	<1..304	1	<57..304	1	<57..304	1	3	2
WeinellEntry186	yes	yes	yes	NW_013659493.1:174464-175424	NW_013659493.1	174464	175424	1	106551803	LOC106551803	12..950	-1	12..950	-1	12..950	-1	1	3
WeinellEntry188	yes	yes	yes	NW_013658714.1:256449-256689	NW_013658714.1	256449	256689	1	106547693	LOC106547693	<1..>241	1	<1..>225	1	16..>225	1	1	1
WeinellEntry190	yes	yes	yes	NW_013657750.1:323239-323599	NW_013657750.1	323239	323599	1	106554653	LOC106554653	<1..>361	-1	<53..>309	-1	<53..>309	-1	1	2
WeinellEntry192	yes	yes	yes	NW_013659463.1:52457-52697	NW_013659463.1	52457	52697	1	106551683	ADAM28	<1..>241	-1	<56..>186	-1	<56..>186	-1	1	2
WeinellEntry193	yes	yes	yes	NW_013659190.1:58206-58686	NW_013659190.1	58206	58686	1	106550458	LOC106550458	<1..>481	-1	<50..>437;<50..>437	-1;-1	<50..431;<50..431	-1;-1	1;1	3;3
WeinellEntry194	yes	no	yes	NW_013660548.1:5517-5997	NW_013660548.1	5517	5997	1	106554815	LOC106554815	<1..>481	1	–	–	<31..451	1	–	3
WeinellEntry197	yes	yes	yes	NW_013658029.1:518615-518975	NW_013658029.1	518615	518975	1	106541285	LOC106541285	<1..>361	1	<42..>320	1	<42..>320	1	3	2
WeinellEntry198	yes	yes	yes	NW_013660663.1:53942-55142	NW_013660663.1	53942	55142	1	106555032	LOC106555032	9..1193	1	9..1193	1	9..1193	1	1	3
WeinellEntry199	yes	yes	yes	NW_013660018.1:14193-15033	NW_013660018.1	14193	15033	1	106553544	LOC106553544	33..>841	-1	33..>809	-1	33..>809	-1	1	3
WeinellEntry200	yes	yes	yes	NW_013659042.1:37637-38717	NW_013659042.1	37637	38717	1	106549659	LOC106549659	<1..1028	1	<53..1028	1	<53..1028	1	2	3
WeinellEntry201	yes	yes	yes	NW_013659403.1:1456-736	NW_013659403.1	1456	736	1	106551432	LOC106551432	<1..695	1	<1..695	1	27..695	1	1	3
WeinellEntry202	yes	yes	yes	NW_013660098.1:15584-16904	NW_013660098.1	15584	16904	1	106553806	LOC106553806	<1..>1309	-1	<12..>1309	-1	<12..>1309	-1	2	2
WeinellEntry203	yes	yes	yes	NW_013658053.1:128195-129155	NW_013658053.1	128195	129155	1	106541598	LOC106541598	<1..958	-1	<1..958	-1	13..948	-1	1	2
WeinellEntry206	yes	yes	yes	NW_013657966.1:8217-8577	NW_013657966.1	8217	8577	1	106540447	B2M	<1..>361	1	<42..>320	1	<42..>320	1	3	2
WeinellEntry207	yes	yes	yes	NW_013659554.1:23110-23950	NW_013659554.1	23110	23950	1	106552048	LOC106552048	<1..>841	-1	<30..>812	-1	<30..>812	-1	1	3
WeinellEntry209	yes	yes	yes	NW_013658394.1:203076-203676	NW_013658394.1	203076	203676	1	106545111	OASL	<1..>601	1	<48..>601;<48..>601	1;1	<48..554;<48..554	1;1	1;1	3;3
WeinellEntry210	yes	yes	yes	NW_013659770.1:136752-137232	NW_013659770.1	136752	137232	1	106552788	UVSSA	<1..>481	-1	<39..>443	-1	<39..>443	-1	3	2
WeinellEntry211	yes	yes	yes	NW_013660036.1:30805-33085	NW_013660036.1	30805	33085	1	106553608	LOC106553608	<1..2226	-1	<1..2226	-1	55..2226	-1	1	2
WeinellEntry212	yes	yes	yes	NW_013657787.1:907052-907292	NW_013657787.1	907052	907292	1	106557336	LOC106557336	<1..>241	1	<53..>188	1	<53..>188	1	—	–
WeinellEntry213	yes	yes	yes	NW_013657769.1:413221-413581	NW_013657769.1	413221	413581	1	106557011	FAM199X	<1..>361	-1	<51..>311;<51..>311	-1;-1	<51..>311;<51..>311	-1;-1	1;1	3;3
WeinellEntry214	yes	yes	yes	NW_013659043.1:332394-332634	NW_013659043.1	332394	332634	1	106549664	ST3GAL5	<1..>185	1	<57..>185	1	<57..>185	1	1	3
WeinellEntry215	yes	yes	yes	NW_013657881.1:23030-23510	NW_013657881.1	23030	23510	1	106539071	EVA1B	<1..>481	-1	<1..>451	-1	30..>451	-1	3	3
WeinellEntry216	yes	yes	yes	NW_013658138.1:668871-669231	NW_013658138.1	668871	669231	1	106542647	LOC106542647	56..>361	-1	56..>306	-1	56..>306	-1	3	1
WeinellEntry217	yes	yes	yes	NW_013660208.1:115642-116242	NW_013660208.1	115642	116242	1	106554077	LOC106554077	<1..>601	-1	<22..>580	-1	<22..>580	-1	3	3
