,,%Identity,,,,,,,,,
QLTV01000240.1:9171-10134,LFLD01013842.1,89.144,479,21,6,467,945,31541,31094,1.46E-178,631
QLTV01000240.1:9171-10134,LFLD01077471.1,88.235,34,4,0,548,581,3719,3686,0.04,44.6
QLTV01000240.1:9171-10134,LFLD01014287.1,79.167,48,10,0,482,529,6435,6388,0.14,42.8
QLTV01000240.1:9171-10134,LFLD01121783.1,83.333,42,6,1,737,777,20416,20457,0.48,41.9
QLTV01000240.1:9171-10134,LFLD01163730.1,100,22,0,0,514,535,377,398,0.48,41
QLTV01000240.1:9171-10134,LFLD01156627.1,85,40,2,2,500,535,1779,1818,0.48,41
QLTV01000240.1:9171-10134,LFLD01077468.1,92.593,27,2,0,548,574,2321,2295,0.48,41
QLTV01000240.1:9171-10134,LFLD01031472.1,90.323,31,1,1,508,538,4781,4753,0.48,41
QLTV01000240.1:9171-10134,LFLD01023405.1,86.111,36,3,1,570,603,545,510,0.48,41
QLTV01000240.1:9171-10134,LFLD01010223.1,87.5,32,4,0,812,843,150,181,0.48,41
QLTV01000374.1:1051541-1052489,LFLD01134246.1,96.944,949,26,3,1,949,21752,22697,0,1571
QLTV01000374.1:1051541-1052489,LFLD01134246.1,80.952,126,24,0,552,677,5947,5822,6.26E-25,120
QLTV01000374.1:1051541-1052489,LFLD01059158.1,90,30,3,0,105,134,40399,40428,0.48,41.9
QLTV01000374.1:1051541-1052489,LFLD01011997.1,96,25,1,0,495,519,4113,4137,0.48,41.9
QLTV01000374.1:1051541-1052489,LFLD01010959.1,86.486,37,4,1,345,380,4533,4569,0.48,41.9
QLTV01000374.1:1051541-1052489,LFLD01135317.1,87.5,32,4,0,789,820,972,941,0.48,41
QLTV01000374.1:1051541-1052489,LFLD01079569.1,85,40,2,2,790,827,1348,1311,0.48,41
QLTV01000374.1:1051541-1052489,LFLD01163037.1,95.833,24,1,0,495,518,155,178,1.7,40.1
QLTV01000374.1:1051541-1052489,LFLD01147756.1,85.294,34,5,0,749,782,5931,5964,1.7,40.1
QLTV01000374.1:1051541-1052489,LFLD01135219.1,85.294,34,5,0,790,823,12967,13000,1.7,40.1
QLTV01000374.1:1051541-1052489,LFLD01130791.1,89.655,29,3,0,107,135,1843,1815,1.7,40.1
QLTV01000374.1:361307-362226,LFLD01076143.1,92.683,41,1,1,1,39,14941,14901,1.80E-06,59
QLTV01000374.1:361307-362226,LFLD01130317.1,90.476,42,1,2,1,40,3528,3488,2.67E-04,52.7
QLTV01000374.1:361307-362226,LFLD01076237.1,91.667,36,3,0,802,837,4216,4181,2.67E-04,52.7
QLTV01000374.1:361307-362226,LFLD01035316.1,89.474,38,4,0,1,38,13,50,2.67E-04,51.8
QLTV01000374.1:361307-362226,LFLD01163144.1,91.667,36,1,1,2,35,9580,9545,0.001,50
QLTV01000374.1:361307-362226,LFLD01059458.1,100,27,0,0,1,27,39325,39351,0.001,50
QLTV01000374.1:361307-362226,LFLD01041544.1,89.744,39,3,1,1,38,1114,1152,0.001,50
QLTV01000374.1:361307-362226,LFLD01020668.1,88.372,43,2,2,1,41,11675,11634,0.001,50
QLTV01000374.1:361307-362226,LFLD01150524.1,87.805,41,4,1,1,40,5520,5480,0.003,49.1
QLTV01000374.1:361307-362226,LFLD01132272.1,91.429,35,1,1,1,33,19498,19532,0.003,48.2
QLTV01000374.1:361307-362253,LFLD01076143.1,92.683,41,1,1,1,39,14941,14901,1.80E-06,59
QLTV01000374.1:361307-362253,LFLD01130317.1,90.476,42,1,2,1,40,3528,3488,2.67E-04,52.7
QLTV01000374.1:361307-362253,LFLD01076237.1,91.667,36,3,0,802,837,4216,4181,2.67E-04,52.7
QLTV01000374.1:361307-362253,LFLD01035316.1,89.474,38,4,0,1,38,13,50,2.67E-04,51.8
QLTV01000374.1:361307-362253,LFLD01163144.1,91.667,36,1,1,2,35,9580,9545,0.001,50
QLTV01000374.1:361307-362253,LFLD01059458.1,100,27,0,0,1,27,39325,39351,0.001,50
QLTV01000374.1:361307-362253,LFLD01041544.1,89.744,39,3,1,1,38,1114,1152,0.001,50
QLTV01000374.1:361307-362253,LFLD01020668.1,88.372,43,2,2,1,41,11675,11634,0.001,50
QLTV01000374.1:361307-362253,LFLD01150524.1,87.805,41,4,1,1,40,5520,5480,0.003,49.1
QLTV01000374.1:361307-362253,LFLD01132272.1,91.429,35,1,1,1,33,19498,19532,0.003,48.2
QLTV01000398.1:213792-214725,LFLD01106633.1,87.36,981,62,8,1,934,7632,8597,0,1231
QLTV01000398.1:213792-214725,LFLD01048505.1,77.922,77,14,1,804,877,10160,10236,5.15E-07,61.7
QLTV01000398.1:213792-214725,LFLD01095395.1,74.074,81,15,1,789,863,3396,3476,7.64E-05,53.6
QLTV01000398.1:213792-214725,LFLD01033691.1,90.625,32,3,0,824,855,373,404,0.04,45.5
QLTV01000398.1:213792-214725,LFLD01154334.1,88.235,34,4,0,824,857,16075,16108,0.04,44.6
QLTV01000398.1:213792-214725,LFLD01049412.1,77.049,61,9,2,817,877,10294,10349,0.14,43.7
QLTV01000398.1:213792-214725,LFLD01013203.1,93.333,30,1,1,374,403,7042,7014,0.14,42.8
QLTV01000398.1:213792-214725,LFLD01110688.1,96,25,1,0,675,699,8271,8295,0.48,41.9
QLTV01000398.1:213792-214725,LFLD01099178.1,85.714,35,5,0,651,685,5584,5550,0.48,41.9
QLTV01000398.1:213792-214725,LFLD01095900.1,85.714,35,5,0,651,685,38118,38084,0.48,41.9
QLTV01000419.1:4359824-4360808,LFLD01060368.1,94.13,988,37,8,3,984,16329,15357,0,1504
QLTV01000419.1:4359824-4360808,LFLD01015275.1,100,27,0,0,93,119,29623,29597,0.001,50
QLTV01000419.1:4359824-4360808,LFLD01071072.1,79.63,54,11,0,655,708,128,181,0.003,49.1
QLTV01000419.1:4359824-4360808,LFLD01037166.1,79.31,58,8,2,191,245,298,242,0.011,46.4
QLTV01000419.1:4359824-4360808,LFLD01110111.1,91.667,36,1,2,836,870,8142,8176,0.04,45.5
QLTV01000419.1:4359824-4360808,LFLD01010424.1,87.5,40,3,2,649,687,33196,33158,0.14,43.7
QLTV01000419.1:4359824-4360808,LFLD01132218.1,85,40,5,1,123,161,4436,4475,0.14,42.8
QLTV01000419.1:4359824-4360808,LFLD01096441.1,92.857,28,2,0,716,743,1391,1418,0.14,42.8
QLTV01000419.1:4359824-4360808,LFLD01059641.1,84.211,38,6,0,411,448,4337,4374,0.14,42.8
QLTV01000419.1:4359824-4360808,LFLD01052535.1,84.615,39,3,1,625,660,9180,9142,0.14,42.8
QLTV01000548.1:3044260-3045234,LFLD01030840.1,92.768,401,27,2,576,975,9918,10317,5.46E-165,586
QLTV01000548.1:3044260-3045234,LFLD01030840.1,96.537,231,8,0,1,231,9633,9863,1.20E-103,381
QLTV01000548.1:3044260-3045234,LFLD01160809.1,88.333,60,7,0,658,717,14268,14327,6.69E-12,77.9
QLTV01000548.1:3044260-3045234,LFLD01007743.1,75,100,24,1,641,740,4835,4737,4.22E-08,65.3
QLTV01000548.1:3044260-3045234,LFLD01013185.1,85.455,55,8,0,663,717,3138,3192,4.22E-08,64.4
QLTV01000548.1:3044260-3045234,LFLD01018393.1,72.321,112,31,0,618,729,4187,4076,1.47E-07,63.5
QLTV01000548.1:3044260-3045234,LFLD01034671.1,78.082,73,16,0,636,708,4497,4569,5.15E-07,60.8
QLTV01000548.1:3044260-3045234,LFLD01130796.1,83.929,56,8,1,641,696,7339,7285,6.27E-06,58.1
QLTV01000548.1:3044260-3045234,LFLD01017880.1,72.034,118,26,3,653,770,5886,5996,6.27E-06,58.1
QLTV01000548.1:3044260-3045234,LFLD01119130.1,77.465,71,16,0,639,709,1467,1537,6.27E-06,57.2
QLTV01000548.1:3044260-3045234,LFLD01008089.1,74.419,86,22,0,635,720,661,746,6.27E-06,57.2
QLTV01000577.1:618061-619037,LFLD01142822.1,89.753,527,43,3,31,549,1149,1672,0,704
QLTV01000577.1:618061-619037,LFLD01036244.1,79.167,72,11,2,112,183,5933,5866,6.27E-06,58.1
QLTV01000577.1:618061-619037,LFLD01129440.1,82.979,47,8,0,469,515,4814,4860,0.001,50
QLTV01000577.1:618061-619037,LFLD01158476.1,76.812,69,12,2,108,172,542,474,0.003,48.2
QLTV01000577.1:618061-619037,LFLD01097764.1,74.648,71,18,0,118,188,20518,20588,0.003,48.2
QLTV01000577.1:618061-619037,LFLD01014996.1,73.529,102,20,5,407,503,6035,5936,0.011,47.3
QLTV01000577.1:618061-619037,LFLD01000535.1,76.667,60,14,0,445,504,16603,16662,0.011,46.4
QLTV01000577.1:618061-619037,LFLD01128602.1,77.612,67,10,3,441,504,4906,4970,0.04,45.5
QLTV01000577.1:618061-619037,LFLD01110869.1,77.049,61,12,1,112,172,889,947,0.04,45.5
QLTV01000577.1:618061-619037,LFLD01097109.1,86.486,37,5,0,105,141,1095,1059,0.04,45.5
QLTV01000582.1:1212576-1213542,LFLD01005824.1,88.45,1013,57,7,1,967,4939,3941,0,1323
QLTV01000582.1:1212576-1213542,LFLD01028851.1,73.418,158,33,4,247,400,463,311,1.29E-14,86.9
QLTV01000582.1:1212576-1213542,LFLD01036424.1,75.177,141,28,4,244,378,3408,3269,1.29E-14,86
QLTV01000582.1:1212576-1213542,LFLD01067797.1,71.357,199,49,6,192,383,1684,1881,1.57E-13,83.3
QLTV01000582.1:1212576-1213542,LFLD01054248.1,77.679,112,21,3,244,352,16547,16657,5.49E-13,80.6
QLTV01000582.1:1212576-1213542,LFLD01144970.1,73.548,155,30,6,192,340,2696,2845,1.92E-12,78.8
QLTV01000582.1:1212576-1213542,LFLD01144970.1,91.176,34,2,1,109,141,2584,2617,0.04,45.5
QLTV01000582.1:1212576-1213542,LFLD01024994.1,80.22,91,16,2,262,350,5453,5543,6.69E-12,77
QLTV01000582.1:1212576-1213542,LFLD01019208.1,75.833,120,23,4,237,351,9455,9573,8.15E-11,74.3
QLTV01000582.1:1212576-1213542,LFLD01150516.1,71.523,151,25,5,10,144,12524,12376,8.15E-11,73.4
QLTV01000582.1:1212576-1213542,LFLD01027605.1,74,150,24,8,250,393,7895,8035,8.15E-11,73.4
QLTV01000592.1:285284-286283,LFLD01060486.1,89.197,1046,48,15,1,1000,1897,2923,0,1369
QLTV01000592.1:285284-286283,LFLD01085716.1,92.857,42,3,0,538,579,502,543,1.47E-07,63.5
QLTV01000592.1:285284-286283,LFLD01020032.1,94.286,35,1,1,535,569,9512,9479,2.67E-04,51.8
QLTV01000592.1:285284-286283,LFLD01049827.1,96.667,30,1,0,541,570,3469,3498,0.001,50.9
QLTV01000592.1:285284-286283,LFLD01174982.1,93.75,32,2,0,533,564,968,937,0.001,50
QLTV01000592.1:285284-286283,LFLD01119700.1,86.364,44,5,1,537,579,1228,1185,0.001,50
QLTV01000592.1:285284-286283,LFLD01051366.1,89.474,38,2,1,463,498,812,849,0.003,49.1
QLTV01000592.1:285284-286283,LFLD01159391.1,89.474,38,3,1,545,581,3590,3627,0.003,48.2
QLTV01000592.1:285284-286283,LFLD01163535.1,87.805,41,1,2,538,575,8567,8528,0.011,47.3
QLTV01000592.1:285284-286283,LFLD01090974.1,82.222,45,2,1,539,577,173,217,0.011,47.3
QLTV01000601.1:336261-337163,LFLD01092300.1,90.323,930,58,9,1,903,15649,14725,0,1260
QLTV01000601.1:336261-337163,LFLD01092300.1,100,22,0,0,375,396,16269,16248,0.48,41
QLTV01000601.1:336261-337163,LFLD01099325.1,78.333,60,9,2,205,263,610,666,0.04,45.5
QLTV01000601.1:336261-337163,LFLD01036753.1,86.111,36,5,0,334,369,5184,5149,0.14,43.7
QLTV01000601.1:336261-337163,LFLD01136871.1,85,40,5,1,649,688,7775,7813,0.14,42.8
QLTV01000601.1:336261-337163,LFLD01122268.1,81.818,44,5,1,499,542,1881,1841,0.14,42.8
QLTV01000601.1:336261-337163,LFLD01049510.1,90,30,3,0,352,381,3941,3912,0.48,41.9
QLTV01000601.1:336261-337163,LFLD01036005.1,90,30,3,0,354,383,10234,10263,0.48,41.9
QLTV01000601.1:336261-337163,LFLD01092301.1,100,22,0,0,375,396,577,598,0.48,41
QLTV01000601.1:336261-337163,LFLD01062684.1,87.5,32,4,0,530,561,433,464,0.48,41
QLTV01000601.1:336261-337163,LFLD01039728.1,82.927,41,5,1,338,378,14480,14518,0.48,41
QLTV01000602.1:406466-407456,LFLD01110063.1,86.649,764,65,8,5,758,737,1,0,916
QLTV01000602.1:406466-407456,LFLD01004378.1,79.245,53,11,0,394,446,1381,1329,0.011,47.3
QLTV01000602.1:406466-407456,LFLD01084427.1,72.826,92,20,3,370,459,3379,3291,0.04,45.5
QLTV01000602.1:406466-407456,LFLD01049941.1,85.366,41,4,1,149,189,26728,26766,0.04,45.5
QLTV01000602.1:406466-407456,LFLD01047641.1,78.846,52,11,0,394,445,6682,6733,0.04,45.5
QLTV01000602.1:406466-407456,LFLD01044291.1,85,40,2,1,391,426,2865,2904,0.04,45.5
QLTV01000602.1:406466-407456,LFLD01043340.1,77.193,57,13,0,385,441,8599,8655,0.04,45.5
QLTV01000602.1:406466-407456,LFLD01164536.1,77.586,58,11,1,381,438,10577,10522,0.04,44.6
QLTV01000602.1:406466-407456,LFLD01148516.1,80,50,7,1,390,439,281,327,0.04,44.6
QLTV01000602.1:406466-407456,LFLD01089794.1,81.818,44,8,0,16,59,4361,4404,0.04,44.6
QLTV01000613.1:339185-340130,LFLD01045149.1,95.058,951,38,3,2,944,9021,8072,0,1498
QLTV01000613.1:339185-340130,LFLD01140769.1,91.176,34,3,0,86,119,858,825,0.003,49.1
QLTV01000613.1:339185-340130,LFLD01123111.1,79.032,62,11,2,142,203,400,341,0.011,47.3
QLTV01000613.1:339185-340130,LFLD01171073.1,84.615,39,6,0,77,115,1870,1832,0.04,44.6
QLTV01000613.1:339185-340130,LFLD01086231.1,93.103,29,2,0,243,271,16309,16281,0.04,44.6
QLTV01000613.1:339185-340130,LFLD01077938.1,93.103,29,2,0,277,305,3591,3563,0.04,44.6
QLTV01000613.1:339185-340130,LFLD01019132.1,75.385,65,13,1,626,690,1246,1307,0.04,44.6
QLTV01000613.1:339185-340130,LFLD01142689.1,85.106,47,4,3,863,908,4410,4366,0.14,43.7
QLTV01000613.1:339185-340130,LFLD01031484.1,86.111,36,5,0,78,113,5574,5609,0.14,43.7
QLTV01000613.1:339185-340130,LFLD01130772.1,92.857,28,2,0,519,546,25134,25161,0.14,42.8
QLTV01000613.1:3872236-3873137,LFLD01090739.1,88.999,909,72,8,1,902,1603,2490,0,1178
QLTV01000613.1:3872236-3873137,LFLD01077276.1,82.609,69,9,3,385,451,8428,8495,5.15E-07,60.8
QLTV01000613.1:3872236-3873137,LFLD01088367.1,80.702,57,11,0,92,148,12242,12298,7.64E-05,54.5
QLTV01000613.1:3872236-3873137,LFLD01169749.1,84.783,46,7,0,95,140,527,572,2.67E-04,52.7
QLTV01000613.1:3872236-3873137,LFLD01095697.1,83.019,53,8,1,94,145,3518,3570,2.67E-04,52.7
QLTV01000613.1:3872236-3873137,LFLD01031647.1,83.019,53,8,1,96,147,19034,19086,2.67E-04,52.7
QLTV01000613.1:3872236-3873137,LFLD01139984.1,81.818,55,9,1,94,147,4072,4126,2.67E-04,51.8
QLTV01000613.1:3872236-3873137,LFLD01162485.1,85.106,47,6,1,95,140,1058,1012,0.001,50.9
QLTV01000613.1:3872236-3873137,LFLD01153383.1,82.692,52,8,1,91,141,5782,5833,0.001,50.9
QLTV01000613.1:3872236-3873137,LFLD01078821.1,88.095,42,4,1,100,140,20354,20395,0.001,50.9
QLTV01000635.1:763718-764681,LFLD01014677.1,86.467,968,84,14,1,935,1526,2479,0,1135
QLTV01000635.1:763718-764681,LFLD01014678.1,84,100,12,1,852,947,19,118,3.95E-21,108
QLTV01000635.1:763718-764681,LFLD01049956.1,78.689,61,9,2,362,422,34326,34382,0.011,47.3
QLTV01000635.1:763718-764681,LFLD01129359.1,85,40,6,0,799,838,4488,4527,0.011,46.4
QLTV01000635.1:763718-764681,LFLD01120166.1,96.429,28,0,1,32,58,492,519,0.14,43.7
QLTV01000635.1:763718-764681,LFLD01108405.1,90.323,31,3,0,803,833,8648,8618,0.14,43.7
QLTV01000635.1:763718-764681,LFLD01027672.1,90.909,33,2,1,604,635,14750,14718,0.14,43.7
QLTV01000635.1:763718-764681,LFLD01043114.1,87.879,33,4,0,550,582,7119,7087,0.14,42.8
QLTV01000635.1:763718-764681,LFLD01146000.1,84.615,39,4,1,372,408,2568,2606,0.48,41.9
QLTV01000635.1:763718-764681,LFLD01068110.1,96,25,1,0,938,962,836,812,0.48,41.9
QLTV01000783.1:1055456-1056373,LFLD01151111.1,87.375,301,13,2,620,917,20184,19906,9.89E-105,386
QLTV01000783.1:1055456-1056373,LFLD01151111.1,94.149,188,10,1,451,637,20497,20310,7.13E-75,287
QLTV01000783.1:1055456-1056373,LFLD01151111.1,84.404,218,20,2,2,208,20705,20491,2.18E-62,244
QLTV01000783.1:1055456-1056373,LFLD01143547.1,82.456,57,9,1,690,746,1266,1321,2.19E-05,55.4
QLTV01000783.1:1055456-1056373,LFLD01090577.1,80.702,57,8,2,685,740,377,431,0.003,48.2
QLTV01000783.1:1055456-1056373,LFLD01102230.1,88.571,35,4,0,831,865,5184,5150,0.011,46.4
QLTV01000783.1:1055456-1056373,LFLD01073365.1,84.444,45,3,2,316,359,2732,2773,0.04,45.5
QLTV01000783.1:1055456-1056373,LFLD01019364.1,86.486,37,5,0,705,741,5062,5026,0.04,45.5
QLTV01000783.1:1055456-1056373,LFLD01006424.1,88.889,36,2,1,706,739,8462,8497,0.04,45.5
QLTV01000783.1:1055456-1056373,LFLD01168783.1,88.889,36,3,1,710,744,6021,6056,0.04,44.6
QLTV01000783.1:1055456-1056373,LFLD01168783.1,88.889,36,3,1,710,744,6158,6193,0.04,44.6
QLTV01000783.1:1055456-1056373,LFLD01168783.1,85.714,35,2,1,710,744,6284,6315,1.7,40.1
QLTV01000783.1:1055456-1056373,LFLD01168783.1,85.714,35,2,1,710,744,6404,6435,1.7,40.1
QLTV01000783.1:1055456-1056373,LFLD01168783.1,85.714,35,2,1,710,744,6524,6555,1.7,40.1
QLTV01000783.1:1055456-1056373,LFLD01168783.1,85.714,35,2,1,710,744,6646,6677,1.7,40.1
QLTV01000783.1:1055456-1056373,LFLD01168472.1,88.889,36,3,1,705,739,294,329,0.04,44.6
QLTV01000783.1:1055456-1056373,LFLD01126457.1,100,24,0,0,825,848,30997,30974,0.04,44.6
QLTV01000804.1:762606-763582,LFLD01013966.1,94.405,983,45,3,3,977,754,1734,0,1521
QLTV01000804.1:762606-763582,LFLD01062347.1,79.63,54,7,2,792,845,1345,1394,0.14,43.7
QLTV01000804.1:762606-763582,LFLD01166572.1,84.211,38,6,0,887,924,307,270,0.14,42.8
QLTV01000804.1:762606-763582,LFLD01068941.1,88.235,34,1,1,744,774,1640,1673,0.14,42.8
QLTV01000804.1:762606-763582,LFLD01092254.1,86.486,37,4,1,715,750,321,357,0.48,41.9
QLTV01000804.1:762606-763582,LFLD01046264.1,87.179,39,3,2,232,269,4782,4819,0.48,41.9
QLTV01000804.1:762606-763582,LFLD01037161.1,90.625,32,2,1,473,503,10993,10962,0.48,41.9
QLTV01000804.1:762606-763582,LFLD01013203.1,90,30,3,0,289,318,1193,1222,0.48,41.9
QLTV01000804.1:762606-763582,LFLD01098552.1,84.615,39,5,1,542,580,769,732,0.48,41
QLTV01000804.1:762606-763582,LFLD01029752.1,89.655,29,3,0,417,445,893,865,1.7,40.1
QLTV01000831.1:332501-333481,LFLD01137444.1,91.849,1006,32,11,1,981,6925,5945,0,1441
QLTV01000831.1:332501-333481,LFLD01105654.1,89.474,38,2,2,310,345,10111,10074,0.04,44.6
QLTV01000831.1:332501-333481,LFLD01105284.1,82.222,45,7,1,744,787,2888,2932,0.14,42.8
QLTV01000831.1:332501-333481,LFLD01122349.1,81.818,44,6,1,808,849,11150,11107,0.48,41.9
QLTV01000831.1:332501-333481,LFLD01022307.1,90.625,32,2,1,582,613,22761,22791,0.48,41.9
QLTV01000831.1:332501-333481,LFLD01018006.1,87.5,32,4,0,457,488,27351,27382,0.48,41
QLTV01000831.1:332501-333481,LFLD01130628.1,86.111,36,4,1,431,466,3525,3491,1.7,40.1
QLTV01000831.1:332501-333481,LFLD01114069.1,80.435,46,8,1,409,453,5890,5935,1.7,40.1
QLTV01000831.1:332501-333481,LFLD01094210.1,78.182,55,9,2,126,180,925,976,1.7,40.1
QLTV01000831.1:332501-333481,LFLD01053793.1,90.323,31,2,1,316,346,1954,1983,1.7,40.1
QLTV01000832.1:29411-30403,LFLD01093503.1,88.839,663,40,7,1,653,20696,21334,0,862
QLTV01000832.1:29411-30403,LFLD01093503.1,90.928,485,23,4,435,911,7352,7823,0,678
QLTV01000832.1:29411-30403,LFLD01093503.1,95.122,41,2,0,953,993,7821,7861,1.21E-08,66.2
QLTV01000832.1:29411-30403,LFLD01065276.1,100,25,0,0,508,532,7142,7166,0.011,46.4
QLTV01000832.1:29411-30403,LFLD01051587.1,86.486,37,5,0,942,978,5022,4986,0.04,45.5
QLTV01000832.1:29411-30403,LFLD01115225.1,93.103,29,2,0,2,30,3845,3873,0.04,44.6
QLTV01000832.1:29411-30403,LFLD01006621.1,88.889,36,3,1,527,561,1481,1516,0.04,44.6
QLTV01000832.1:29411-30403,LFLD01121851.1,87.879,33,4,0,945,977,504,536,0.14,42.8
QLTV01000832.1:29411-30403,LFLD01045237.1,87.879,33,4,0,945,977,4411,4379,0.14,42.8
QLTV01000832.1:29411-30403,LFLD01029370.1,81.818,44,5,1,511,554,2548,2508,0.14,42.8
QLTV01000832.1:29411-30403,LFLD01079549.1,96,25,1,0,509,533,2275,2299,0.48,41.9
QLTV01000832.1:29411-30403,LFLD01078410.1,96,25,1,0,914,938,25907,25883,0.48,41.9
QLTV01000850.1:2351412-2352315,LFLD01089003.1,88.406,483,29,5,3,478,6562,6100,7.58E-176,621
QLTV01000850.1:2351412-2352315,LFLD01089003.1,93.029,373,22,3,476,847,5857,5488,4.79E-153,546
QLTV01000850.1:2351412-2352315,LFLD01089003.1,90.909,55,2,1,853,904,4324,4270,2.34E-11,76.1
QLTV01000850.1:2351412-2352315,LFLD01086623.1,85,40,6,0,748,787,9013,9052,0.011,46.4
QLTV01000850.1:2351412-2352315,LFLD01017185.1,93.333,30,2,0,857,886,19569,19540,0.011,46.4
QLTV01000850.1:2351412-2352315,LFLD01156580.1,83.721,43,6,1,845,886,1175,1133,0.14,43.7
QLTV01000850.1:2351412-2352315,LFLD01011441.1,96.429,28,0,1,537,564,40310,40284,0.14,43.7
QLTV01000850.1:2351412-2352315,LFLD01148843.1,85.366,41,2,2,478,518,8645,8609,0.14,42.8
QLTV01000850.1:2351412-2352315,LFLD01139897.1,87.879,33,4,0,853,885,2429,2397,0.14,42.8
QLTV01000850.1:2351412-2352315,LFLD01134903.1,85,40,5,1,499,538,15962,16000,0.14,42.8
QLTV01000850.1:2351412-2352315,LFLD01110312.1,90.625,32,1,1,260,289,23578,23547,0.14,42.8
