coordinates	ContigAccession	StartPosition	EndPosition	TargetLength
QLTV01000211.1:1009779-1010749	QLTV01000211.1	1009779	1010749	971
QLTV01000211.1:1696988-1697957	QLTV01000211.1	1696988	1697957	970
QLTV01000213.1:308440-309402	QLTV01000213.1	308440	309402	963
QLTV01000215.1:c477765-476817	QLTV01000215.1	476817	477765	949
QLTV01000215.1:653433-654349	QLTV01000215.1	653433	654349	917
QLTV01000216.1:34456-35432	QLTV01000216.1	34456	35432	977
QLTV01000217.1:c260870-259958	QLTV01000217.1	259958	260870	913
QLTV01000219.1:c878907-877945	QLTV01000219.1	877945	878907	963
QLTV01000220.1:128386-129376	QLTV01000220.1	128386	129376	991
QLTV01000220.1:c589999-589019	QLTV01000220.1	589019	589999	981
QLTV01000220.1:c589999-589080	QLTV01000220.1	589080	589999	920
QLTV01000220.1:600123-601036	QLTV01000220.1	600123	601036	914
QLTV01000220.1:600123-601065	QLTV01000220.1	600123	601065	943
QLTV01000220.1:600123-601109	QLTV01000220.1	600123	601109	987
QLTV01000220.1:c824306-823312	QLTV01000220.1	823312	824306	995
QLTV01000225.1:c80928-79935	QLTV01000225.1	79935	80928	994
QLTV01000225.1:94073-95028	QLTV01000225.1	94073	95028	956
QLTV01000225.1:c99575-98616	QLTV01000225.1	98616	99575	960
QLTV01000225.1:225770-226713	QLTV01000225.1	225770	226713	944
QLTV01000226.1:111998-112986	QLTV01000226.1	111998	112986	989
QLTV01000229.1:1608228-1609180	QLTV01000229.1	1608228	1609180	953
QLTV01000229.1:c1750746-1749751	QLTV01000229.1	1749751	1750746	996
QLTV01000232.1:c374454-373479	QLTV01000232.1	373479	374454	976
QLTV01000233.1:c362080-361166	QLTV01000233.1	361166	362080	915
QLTV01000240.1:9171-10134	QLTV01000240.1	9171	10134	964
QLTV01000240.1:c727758-726776	QLTV01000240.1	726776	727758	983
QLTV01000240.1:1441741-1442660	QLTV01000240.1	1441741	1442660	920
QLTV01000240.1:2069500-2070465	QLTV01000240.1	2069500	2070465	966
QLTV01000242.1:c49363-48450	QLTV01000242.1	48450	49363	914
QLTV01000247.1:c806178-805216	QLTV01000247.1	805216	806178	963
QLTV01000248.1:c319358-318454	QLTV01000248.1	318454	319358	905
QLTV01000248.1:c405238-404290	QLTV01000248.1	404290	405238	949
QLTV01000275.1:23183-24098	QLTV01000275.1	23183	24098	916
QLTV01000280.1:c106675-105761	QLTV01000280.1	105761	106675	915
QLTV01000331.1:267751-268688	QLTV01000331.1	267751	268688	938
QLTV01000331.1:c806902-805924	QLTV01000331.1	805924	806902	979
QLTV01000331.1:1260107-1261072	QLTV01000331.1	1260107	1261072	966
QLTV01000331.1:c1412896-1411951	QLTV01000331.1	1411951	1412896	946
QLTV01000331.1:c1489479-1488504	QLTV01000331.1	1488504	1489479	976
QLTV01000331.1:c1514525-1513611	QLTV01000331.1	1513611	1514525	915
QLTV01000331.1:c1563856-1562939	QLTV01000331.1	1562939	1563856	918
QLTV01000373.1:c95435-94487	QLTV01000373.1	94487	95435	949
QLTV01000373.1:95428-96417	QLTV01000373.1	95428	96417	990
QLTV01000373.1:c1866714-1865799	QLTV01000373.1	1865799	1866714	916
QLTV01000373.1:c2199560-2198660	QLTV01000373.1	2198660	2199560	901
QLTV01000374.1:361307-362226	QLTV01000374.1	361307	362226	920
QLTV01000374.1:361307-362253	QLTV01000374.1	361307	362253	947
QLTV01000374.1:c785857-784861	QLTV01000374.1	784861	785857	997
QLTV01000374.1:1051541-1052489	QLTV01000374.1	1051541	1052489	949
QLTV01000374.1:c1220932-1219975	QLTV01000374.1	1219975	1220932	958
QLTV01000374.1:c1291604-1290703	QLTV01000374.1	1290703	1291604	902
QLTV01000377.1:c355954-354989	QLTV01000377.1	354989	355954	966
QLTV01000377.1:c1033563-1032576	QLTV01000377.1	1032576	1033563	988
QLTV01000377.1:c1033563-1032617	QLTV01000377.1	1032617	1033563	947
QLTV01000380.1:287765-288762	QLTV01000380.1	287765	288762	998
QLTV01000380.1:c1148361-1147450	QLTV01000380.1	1147450	1148361	912
QLTV01000382.1:c410488-409513	QLTV01000382.1	409513	410488	976
QLTV01000383.1:c784045-783084	QLTV01000383.1	783084	784045	962
QLTV01000383.1:c1152932-1151959	QLTV01000383.1	1151959	1152932	974
QLTV01000384.1:96497-97463	QLTV01000384.1	96497	97463	967
QLTV01000384.1:102113-103031	QLTV01000384.1	102113	103031	919
QLTV01000387.1:c1023415-1022466	QLTV01000387.1	1022466	1023415	950
QLTV01000387.1:1358993-1359980	QLTV01000387.1	1358993	1359980	988
QLTV01000389.1:c412218-411249	QLTV01000389.1	411249	412218	970
QLTV01000391.1:616829-617792	QLTV01000391.1	616829	617792	964
QLTV01000391.1:1281428-1282391	QLTV01000391.1	1281428	1282391	964
QLTV01000392.1:c562869-561932	QLTV01000392.1	561932	562869	938
QLTV01000392.1:1202953-1203861	QLTV01000392.1	1202953	1203861	909
QLTV01000392.1:1891920-1892901	QLTV01000392.1	1891920	1892901	982
QLTV01000392.1:2433615-2434532	QLTV01000392.1	2433615	2434532	918
QLTV01000392.1:c2449999-2449029	QLTV01000392.1	2449029	2449999	971
QLTV01000392.1:3213631-3214534	QLTV01000392.1	3213631	3214534	904
QLTV01000393.1:44992-45977	QLTV01000393.1	44992	45977	986
QLTV01000393.1:238422-239405	QLTV01000393.1	238422	239405	984
QLTV01000393.1:238422-239418	QLTV01000393.1	238422	239418	997
QLTV01000394.1:c324442-323472	QLTV01000394.1	323472	324442	971
QLTV01000396.1:45951-46947	QLTV01000396.1	45951	46947	997
QLTV01000397.1:663991-664939	QLTV01000397.1	663991	664939	949
QLTV01000398.1:213792-214725	QLTV01000398.1	213792	214725	934
QLTV01000399.1:c82193-81279	QLTV01000399.1	81279	82193	915
QLTV01000399.1:c154278-153343	QLTV01000399.1	153343	154278	936
QLTV01000399.1:162642-163583	QLTV01000399.1	162642	163583	942
QLTV01000399.1:162642-163626	QLTV01000399.1	162642	163626	985
QLTV01000404.1:222401-223337	QLTV01000404.1	222401	223337	937
QLTV01000405.1:115618-116557	QLTV01000405.1	115618	116557	940
QLTV01000419.1:220427-221333	QLTV01000419.1	220427	221333	907
QLTV01000419.1:899070-899986	QLTV01000419.1	899070	899986	917
QLTV01000419.1:c1499961-1498976	QLTV01000419.1	1498976	1499961	986
QLTV01000419.1:c2917995-2917004	QLTV01000419.1	2917004	2917995	992
QLTV01000419.1:3466527-3467458	QLTV01000419.1	3466527	3467458	932
QLTV01000419.1:3466527-3467475	QLTV01000419.1	3466527	3467475	949
QLTV01000419.1:c3761031-3760125	QLTV01000419.1	3760125	3761031	907
QLTV01000419.1:4359824-4360808	QLTV01000419.1	4359824	4360808	985
QLTV01000426.1:9605-10547	QLTV01000426.1	9605	10547	943
QLTV01000427.1:c70371-69411	QLTV01000427.1	69411	70371	961
QLTV01000427.1:c70371-69441	QLTV01000427.1	69441	70371	931
QLTV01000431.1:c634091-633163	QLTV01000431.1	633163	634091	929
QLTV01000431.1:945884-946787	QLTV01000431.1	945884	946787	904
QLTV01000433.1:c414521-413523	QLTV01000433.1	413523	414521	999
QLTV01000433.1:c415538-414583	QLTV01000433.1	414583	415538	956
QLTV01000437.1:c827576-826596	QLTV01000437.1	826596	827576	981
QLTV01000437.1:c1250374-1249408	QLTV01000437.1	1249408	1250374	967
QLTV01000437.1:c1250374-1249426	QLTV01000437.1	1249426	1250374	949
QLTV01000437.1:1696920-1697857	QLTV01000437.1	1696920	1697857	938
QLTV01000440.1:2919-3827	QLTV01000440.1	2919	3827	909
QLTV01000443.1:c234089-233098	QLTV01000443.1	233098	234089	992
QLTV01000443.1:c234089-233159	QLTV01000443.1	233159	234089	931
QLTV01000443.1:c234089-233188	QLTV01000443.1	233188	234089	902
QLTV01000446.1:157064-158057	QLTV01000446.1	157064	158057	994
QLTV01000446.1:343357-344355	QLTV01000446.1	343357	344355	999
QLTV01000448.1:257398-258330	QLTV01000448.1	257398	258330	933
QLTV01000448.1:c1442828-1441859	QLTV01000448.1	1441859	1442828	970
QLTV01000453.1:496515-497426	QLTV01000453.1	496515	497426	912
QLTV01000462.1:c9778-8792	QLTV01000462.1	8792	9778	987
QLTV01000472.1:49328-50307	QLTV01000472.1	49328	50307	980
QLTV01000472.1:c58667-57766	QLTV01000472.1	57766	58667	902
QLTV01000472.1:c165327-164358	QLTV01000472.1	164358	165327	970
QLTV01000472.1:c182753-181818	QLTV01000472.1	181818	182753	936
QLTV01000472.1:c545058-544151	QLTV01000472.1	544151	545058	908
QLTV01000472.1:c687850-686951	QLTV01000472.1	686951	687850	900
QLTV01000472.1:994967-995891	QLTV01000472.1	994967	995891	925
QLTV01000472.1:994967-995942	QLTV01000472.1	994967	995942	976
QLTV01000477.1:25784-26737	QLTV01000477.1	25784	26737	954
QLTV01000489.1:c51442-50481	QLTV01000489.1	50481	51442	962
QLTV01000546.1:840660-841601	QLTV01000546.1	840660	841601	942
QLTV01000546.1:936508-937469	QLTV01000546.1	936508	937469	962
QLTV01000548.1:c1010484-1009518	QLTV01000548.1	1009518	1010484	967
QLTV01000548.1:3044260-3045234	QLTV01000548.1	3044260	3045234	975
QLTV01000548.1:c3481854-3480911	QLTV01000548.1	3480911	3481854	944
QLTV01000548.1:c3495691-3494787	QLTV01000548.1	3494787	3495691	905
QLTV01000548.1:3704817-3705807	QLTV01000548.1	3704817	3705807	991
QLTV01000548.1:4974576-4975529	QLTV01000548.1	4974576	4975529	954
QLTV01000548.1:c5686130-5685185	QLTV01000548.1	5685185	5686130	946
QLTV01000549.1:c499901-498991	QLTV01000549.1	498991	499901	911
QLTV01000556.1:c161471-160515	QLTV01000556.1	160515	161471	957
QLTV01000556.1:c161471-160540	QLTV01000556.1	160540	161471	932
QLTV01000556.1:587970-588966	QLTV01000556.1	587970	588966	997
QLTV01000556.1:c590362-589432	QLTV01000556.1	589432	590362	931
QLTV01000556.1:c667725-666768	QLTV01000556.1	666768	667725	958
QLTV01000556.1:731383-732335	QLTV01000556.1	731383	732335	953
QLTV01000556.1:741709-742637	QLTV01000556.1	741709	742637	929
QLTV01000556.1:1427547-1428509	QLTV01000556.1	1427547	1428509	963
QLTV01000558.1:911489-912416	QLTV01000558.1	911489	912416	928
QLTV01000560.1:c369477-368486	QLTV01000560.1	368486	369477	992
QLTV01000574.1:c363456-362539	QLTV01000574.1	362539	363456	918
QLTV01000574.1:600401-601369	QLTV01000574.1	600401	601369	969
QLTV01000576.1:c81247-80319	QLTV01000576.1	80319	81247	929
QLTV01000576.1:369373-370330	QLTV01000576.1	369373	370330	958
QLTV01000576.1:965111-966108	QLTV01000576.1	965111	966108	998
QLTV01000576.1:1387498-1388415	QLTV01000576.1	1387498	1388415	918
QLTV01000576.1:1387498-1388426	QLTV01000576.1	1387498	1388426	929
QLTV01000577.1:618061-619037	QLTV01000577.1	618061	619037	977
QLTV01000577.1:c640975-640041	QLTV01000577.1	640041	640975	935
QLTV01000577.1:c2937029-2936036	QLTV01000577.1	2936036	2937029	994
QLTV01000582.1:97109-98095	QLTV01000582.1	97109	98095	987
QLTV01000582.1:c389865-388925	QLTV01000582.1	388925	389865	941
QLTV01000582.1:1212576-1213542	QLTV01000582.1	1212576	1213542	967
QLTV01000585.1:c313639-312718	QLTV01000585.1	312718	313639	922
QLTV01000586.1:c114932-113977	QLTV01000586.1	113977	114932	956
QLTV01000588.1:708467-709461	QLTV01000588.1	708467	709461	995
QLTV01000589.1:222511-223415	QLTV01000589.1	222511	223415	905
QLTV01000589.1:222511-223475	QLTV01000589.1	222511	223475	965
QLTV01000589.1:c291550-290556	QLTV01000589.1	290556	291550	995
QLTV01000589.1:c291550-290585	QLTV01000589.1	290585	291550	966
QLTV01000591.1:c187934-186937	QLTV01000591.1	186937	187934	998
QLTV01000592.1:c105982-105082	QLTV01000592.1	105082	105982	901
QLTV01000595.1:702035-702975	QLTV01000595.1	702035	702975	941
QLTV01000596.1:265864-266833	QLTV01000596.1	265864	266833	970
QLTV01000597.1:c489212-488302	QLTV01000597.1	488302	489212	911
QLTV01000597.1:569911-570901	QLTV01000597.1	569911	570901	991
QLTV01000597.1:c2130713-2129748	QLTV01000597.1	2129748	2130713	966
QLTV01000597.1:3831451-3832356	QLTV01000597.1	3831451	3832356	906
QLTV01000598.1:c396584-395649	QLTV01000598.1	395649	396584	936
QLTV01000598.1:962398-963386	QLTV01000598.1	962398	963386	989
QLTV01000598.1:2310665-2311659	QLTV01000598.1	2310665	2311659	995
QLTV01000598.1:c2316923-2315998	QLTV01000598.1	2315998	2316923	926
QLTV01000598.1:c2344838-2343842	QLTV01000598.1	2343842	2344838	997
QLTV01000598.1:3065943-3066917	QLTV01000598.1	3065943	3066917	975
QLTV01000599.1:c5351-4371	QLTV01000599.1	4371	5351	981
QLTV01000599.1:592433-593335	QLTV01000599.1	592433	593335	903
QLTV01000599.1:592433-593368	QLTV01000599.1	592433	593368	936
QLTV01000599.1:592433-593401	QLTV01000599.1	592433	593401	969
QLTV01000601.1:336261-337163	QLTV01000601.1	336261	337163	903
QLTV01000601.1:2985296-2986218	QLTV01000601.1	2985296	2986218	923
QLTV01000601.1:3237028-3237979	QLTV01000601.1	3237028	3237979	952
QLTV01000601.1:3872191-3873145	QLTV01000601.1	3872191	3873145	955
QLTV01000601.1:c4262972-4261994	QLTV01000601.1	4261994	4262972	979
QLTV01000601.1:c4437984-4436997	QLTV01000601.1	4436997	4437984	988
QLTV01000601.1:c4717219-4716269	QLTV01000601.1	4716269	4717219	951
QLTV01000602.1:c297056-296125	QLTV01000602.1	296125	297056	932
QLTV01000602.1:406466-407456	QLTV01000602.1	406466	407456	991
QLTV01000602.1:659700-660619	QLTV01000602.1	659700	660619	920
QLTV01000602.1:1039525-1040518	QLTV01000602.1	1039525	1040518	994
QLTV01000606.1:740978-741899	QLTV01000606.1	740978	741899	922
QLTV01000606.1:740978-741919	QLTV01000606.1	740978	741919	942
QLTV01000606.1:1448884-1449809	QLTV01000606.1	1448884	1449809	926
QLTV01000606.1:2221869-2222845	QLTV01000606.1	2221869	2222845	977
QLTV01000612.1:173080-174012	QLTV01000612.1	173080	174012	933
QLTV01000612.1:c513896-512949	QLTV01000612.1	512949	513896	948
QLTV01000612.1:663910-664821	QLTV01000612.1	663910	664821	912
QLTV01000612.1:c1031237-1030308	QLTV01000612.1	1030308	1031237	930
QLTV01000612.1:c1031237-1030328	QLTV01000612.1	1030328	1031237	910
QLTV01000612.1:c1342862-1341926	QLTV01000612.1	1341926	1342862	937
QLTV01000612.1:c1360226-1359253	QLTV01000612.1	1359253	1360226	974
QLTV01000613.1:339185-340130	QLTV01000613.1	339185	340130	946
QLTV01000613.1:c2153780-2152834	QLTV01000613.1	2152834	2153780	947
QLTV01000613.1:3872236-3873137	QLTV01000613.1	3872236	3873137	902
QLTV01000615.1:c1289363-1288404	QLTV01000615.1	1288404	1289363	960
QLTV01000615.1:c1842281-1841285	QLTV01000615.1	1841285	1842281	997
QLTV01000619.1:c419975-419075	QLTV01000619.1	419075	419975	901
QLTV01000619.1:717630-718557	QLTV01000619.1	717630	718557	928
QLTV01000619.1:c1087199-1086248	QLTV01000619.1	1086248	1087199	952
QLTV01000619.1:c1629695-1628761	QLTV01000619.1	1628761	1629695	935
QLTV01000620.1:c222235-221245	QLTV01000620.1	221245	222235	991
QLTV01000626.1:236761-237713	QLTV01000626.1	236761	237713	953
QLTV01000628.1:150671-151586	QLTV01000628.1	150671	151586	916
QLTV01000629.1:c4951-4047	QLTV01000629.1	4047	4951	905
QLTV01000635.1:c763725-762732	QLTV01000635.1	762732	763725	994
QLTV01000635.1:763718-764681	QLTV01000635.1	763718	764681	964
QLTV01000640.1:64878-65834	QLTV01000640.1	64878	65834	957
QLTV01000641.1:c850756-849809	QLTV01000641.1	849809	850756	948
QLTV01000641.1:850749-851715	QLTV01000641.1	850749	851715	967
QLTV01000649.1:262529-263476	QLTV01000649.1	262529	263476	948
QLTV01000649.1:355089-356025	QLTV01000649.1	355089	356025	937
QLTV01000649.1:355089-356073	QLTV01000649.1	355089	356073	985
QLTV01000649.1:c429755-428792	QLTV01000649.1	428792	429755	964
QLTV01000657.1:c258092-257159	QLTV01000657.1	257159	258092	934
QLTV01000657.1:c258092-257183	QLTV01000657.1	257183	258092	910
QLTV01000657.1:c381003-380103	QLTV01000657.1	380103	381003	901
QLTV01000668.1:34722-35667	QLTV01000668.1	34722	35667	946
QLTV01000769.1:c212069-211089	QLTV01000769.1	211089	212069	981
QLTV01000769.1:925910-926832	QLTV01000769.1	925910	926832	923
QLTV01000769.1:c1163302-1162339	QLTV01000769.1	1162339	1163302	964
QLTV01000769.1:c1816878-1815948	QLTV01000769.1	1815948	1816878	931
QLTV01000769.1:2309131-2310088	QLTV01000769.1	2309131	2310088	958
QLTV01000769.1:c2580108-2579124	QLTV01000769.1	2579124	2580108	985
QLTV01000770.1:445989-446944	QLTV01000770.1	445989	446944	956
QLTV01000770.1:1012938-1013855	QLTV01000770.1	1012938	1013855	918
QLTV01000770.1:1663515-1664428	QLTV01000770.1	1663515	1664428	914
QLTV01000770.1:c1665366-1664423	QLTV01000770.1	1664423	1665366	944
QLTV01000773.1:c218420-217493	QLTV01000773.1	217493	218420	928
QLTV01000773.1:c912197-911229	QLTV01000773.1	911229	912197	969
QLTV01000774.1:c595344-594384	QLTV01000774.1	594384	595344	961
QLTV01000774.1:c1799752-1798778	QLTV01000774.1	1798778	1799752	975
QLTV01000775.1:c1514381-1513398	QLTV01000775.1	1513398	1514381	984
QLTV01000775.1:c2070120-2069133	QLTV01000775.1	2069133	2070120	988
QLTV01000775.1:2277310-2278210	QLTV01000775.1	2277310	2278210	901
QLTV01000775.1:3178132-3179031	QLTV01000775.1	3178132	3179031	900
QLTV01000775.1:c5008276-5007339	QLTV01000775.1	5007339	5008276	938
QLTV01000775.1:c5200659-5199690	QLTV01000775.1	5199690	5200659	970
QLTV01000775.1:c5308777-5307802	QLTV01000775.1	5307802	5308777	976
QLTV01000776.1:433040-433964	QLTV01000776.1	433040	433964	925
QLTV01000777.1:181122-182077	QLTV01000777.1	181122	182077	956
QLTV01000783.1:1055456-1056373	QLTV01000783.1	1055456	1056373	918
QLTV01000785.1:c126105-125201	QLTV01000785.1	125201	126105	905
QLTV01000786.1:c336782-335846	QLTV01000786.1	335846	336782	937
QLTV01000788.1:c7653-6666	QLTV01000788.1	6666	7653	988
QLTV01000788.1:c77510-76604	QLTV01000788.1	76604	77510	907
QLTV01000793.1:c304815-303843	QLTV01000793.1	303843	304815	973
QLTV01000793.1:356701-357650	QLTV01000793.1	356701	357650	950
QLTV01000798.1:c101877-100893	QLTV01000798.1	100893	101877	985
QLTV01000800.1:c265680-264781	QLTV01000800.1	264781	265680	900
QLTV01000800.1:c652914-651927	QLTV01000800.1	651927	652914	988
QLTV01000800.1:c1945996-1945055	QLTV01000800.1	1945055	1945996	942
QLTV01000801.1:91674-92596	QLTV01000801.1	91674	92596	923
QLTV01000804.1:762606-763582	QLTV01000804.1	762606	763582	977
QLTV01000804.1:1447048-1447994	QLTV01000804.1	1447048	1447994	947
QLTV01000804.1:c1971591-1970632	QLTV01000804.1	1970632	1971591	960
QLTV01000804.1:c2142752-2141832	QLTV01000804.1	2141832	2142752	921
QLTV01000804.1:4197743-4198710	QLTV01000804.1	4197743	4198710	968
QLTV01000804.1:4197743-4198718	QLTV01000804.1	4197743	4198718	976
QLTV01000804.1:4197743-4198738	QLTV01000804.1	4197743	4198738	996
QLTV01000804.1:5500221-5501204	QLTV01000804.1	5500221	5501204	984
QLTV01000804.1:c5948183-5947235	QLTV01000804.1	5947235	5948183	949
QLTV01000804.1:c6000114-5999144	QLTV01000804.1	5999144	6000114	971
QLTV01000806.1:c284895-283900	QLTV01000806.1	283900	284895	996
QLTV01000806.1:c1790354-1789380	QLTV01000806.1	1789380	1790354	975
QLTV01000806.1:1790347-1791265	QLTV01000806.1	1790347	1791265	919
QLTV01000808.1:48819-49755	QLTV01000808.1	48819	49755	937
QLTV01000808.1:c118605-117622	QLTV01000808.1	117622	118605	984
QLTV01000808.1:c807209-806241	QLTV01000808.1	806241	807209	969
QLTV01000808.1:811226-812128	QLTV01000808.1	811226	812128	903
QLTV01000808.1:1000166-1001067	QLTV01000808.1	1000166	1001067	902
QLTV01000810.1:100445-101434	QLTV01000810.1	100445	101434	990
QLTV01000812.1:c157841-156848	QLTV01000812.1	156848	157841	994
QLTV01000812.1:c423904-422965	QLTV01000812.1	422965	423904	940
QLTV01000813.1:22831-23769	QLTV01000813.1	22831	23769	939
QLTV01000813.1:c69938-68953	QLTV01000813.1	68953	69938	986
QLTV01000813.1:c90480-89513	QLTV01000813.1	89513	90480	968
QLTV01000813.1:421261-422243	QLTV01000813.1	421261	422243	983
QLTV01000816.1:183535-184461	QLTV01000816.1	183535	184461	927
QLTV01000817.1:c170872-169881	QLTV01000817.1	169881	170872	992
QLTV01000817.1:c287598-286657	QLTV01000817.1	286657	287598	942
QLTV01000822.1:221284-222191	QLTV01000822.1	221284	222191	908
QLTV01000822.1:221284-222258	QLTV01000822.1	221284	222258	975
QLTV01000823.1:c52019-51057	QLTV01000823.1	51057	52019	963
QLTV01000824.1:135096-136089	QLTV01000824.1	135096	136089	994
QLTV01000831.1:c84969-84029	QLTV01000831.1	84029	84969	941
QLTV01000831.1:332501-333481	QLTV01000831.1	332501	333481	981
QLTV01000831.1:c364763-363784	QLTV01000831.1	363784	364763	980
QLTV01000832.1:29411-30403	QLTV01000832.1	29411	30403	993
QLTV01000850.1:1026963-1027898	QLTV01000850.1	1026963	1027898	936
QLTV01000850.1:2351412-2352315	QLTV01000850.1	2351412	2352315	904
QLTV01000867.1:c631576-630627	QLTV01000867.1	630627	631576	950
QLTV01000867.1:c1181176-1180190	QLTV01000867.1	1180190	1181176	987
QLTV01000867.1:c3497673-3496739	QLTV01000867.1	3496739	3497673	935
QLTV01000867.1:c4212453-4211516	QLTV01000867.1	4211516	4212453	938
QLTV01000867.1:4212446-4213419	QLTV01000867.1	4212446	4213419	974
QLTV01000867.1:4583173-4584097	QLTV01000867.1	4583173	4584097	925
QLTV01000867.1:5377929-5378856	QLTV01000867.1	5377929	5378856	928
QLTV01000867.1:6286728-6287627	QLTV01000867.1	6286728	6287627	900
QLTV01000867.1:c6306785-6305864	QLTV01000867.1	6305864	6306785	922
QLTV01000867.1:6563911-6564907	QLTV01000867.1	6563911	6564907	997
QLTV01000897.1:29569-30484	QLTV01000897.1	29569	30484	916
QLTV01000897.1:29569-30538	QLTV01000897.1	29569	30538	970
QLTV01000925.1:c3687-2700	QLTV01000925.1	2700	3687	988
QLTV01000963.1:c48233-47300	QLTV01000963.1	47300	48233	934
QLTV01000965.1:1591348-1592280	QLTV01000965.1	1591348	1592280	933
QLTV01000965.1:2243093-2244069	QLTV01000965.1	2243093	2244069	977
QLTV01000965.1:c2790523-2789585	QLTV01000965.1	2789585	2790523	939
QLTV01000965.1:3185678-3186611	QLTV01000965.1	3185678	3186611	934
QLTV01000965.1:4768323-4769243	QLTV01000965.1	4768323	4769243	921
QLTV01000965.1:c4988478-4987536	QLTV01000965.1	4987536	4988478	943
QLTV01000965.1:c5153224-5152289	QLTV01000965.1	5152289	5153224	936
QLTV01000965.1:5727412-5728399	QLTV01000965.1	5727412	5728399	988
QLTV01000965.1:5727412-5728406	QLTV01000965.1	5727412	5728406	995
QLTV01000967.1:722105-723069	QLTV01000967.1	722105	723069	965
QLTV01000967.1:1367502-1368475	QLTV01000967.1	1367502	1368475	974
QLTV01000967.1:c1677446-1676473	QLTV01000967.1	1676473	1677446	974
QLTV01000967.1:2238054-2239009	QLTV01000967.1	2238054	2239009	956
QLTV01000969.1:1047355-1048258	QLTV01000969.1	1047355	1048258	904
QLTV01000970.1:435243-436214	QLTV01000970.1	435243	436214	972
QLTV01000970.1:c647704-646732	QLTV01000970.1	646732	647704	973
QLTV01000970.1:742954-743868	QLTV01000970.1	742954	743868	915
QLTV01000971.1:83224-84153	QLTV01000971.1	83224	84153	930
QLTV01000971.1:c188379-187418	QLTV01000971.1	187418	188379	962
QLTV01000971.1:c188379-187446	QLTV01000971.1	187446	188379	934
QLTV01000971.1:933044-933950	QLTV01000971.1	933044	933950	907
QLTV01000971.1:c1009530-1008556	QLTV01000971.1	1008556	1009530	975
QLTV01000971.1:1015079-1016018	QLTV01000971.1	1015079	1016018	940
QLTV01000971.1:1261800-1262764	QLTV01000971.1	1261800	1262764	965
QLTV01000972.1:1940986-1941983	QLTV01000972.1	1940986	1941983	998
QLTV01000972.1:c2067960-2067047	QLTV01000972.1	2067047	2067960	914
QLTV01000972.1:3381247-3382180	QLTV01000972.1	3381247	3382180	934
QLTV01000972.1:c3612624-3611673	QLTV01000972.1	3611673	3612624	952
QLTV01000972.1:3991616-3992520	QLTV01000972.1	3991616	3992520	905
QLTV01000972.1:c5151248-5150293	QLTV01000972.1	5150293	5151248	956
QLTV01000972.1:5690890-5691821	QLTV01000972.1	5690890	5691821	932
QLTV01000972.1:c5874307-5873311	QLTV01000972.1	5873311	5874307	997
QLTV01000972.1:5915339-5916305	QLTV01000972.1	5915339	5916305	967
QLTV01000972.1:c6179103-6178187	QLTV01000972.1	6178187	6179103	917
QLTV01000972.1:c7339485-7338504	QLTV01000972.1	7338504	7339485	982
QLTV01000972.1:c7426581-7425641	QLTV01000972.1	7425641	7426581	941
QLTV01000974.1:385856-386794	QLTV01000974.1	385856	386794	939
QLTV01000974.1:c1876674-1875766	QLTV01000974.1	1875766	1876674	909
QLTV01000974.1:c1876730-1875766	QLTV01000974.1	1875766	1876730	965
QLTV01000974.1:c2995561-2994643	QLTV01000974.1	2994643	2995561	919
