coordinates	ContigAccession	StartPosition	EndPosition	TargetLength
QLTV01000574.1:600401-601369	QLTV01000574.1	600401	601369	968
QLTV01000576.1:369373-370330	QLTV01000576.1	369373	370330	957
QLTV01000576.1:965111-966108	QLTV01000576.1	965111	966108	997
QLTV01000576.1:1387498-1388415	QLTV01000576.1	1387498	1388415	917
QLTV01000576.1:1387498-1388426	QLTV01000576.1	1387498	1388426	928
QLTV01000577.1:618061-619037	QLTV01000577.1	618061	619037	976
QLTV01000582.1:97109-98095	QLTV01000582.1	97109	98095	986
QLTV01000582.1:1212576-1213542	QLTV01000582.1	1212576	1213542	966
QLTV01000588.1:708467-709461	QLTV01000588.1	708467	709461	994
QLTV01000589.1:222511-223415	QLTV01000589.1	222511	223415	904
QLTV01000589.1:222511-223475	QLTV01000589.1	222511	223475	964
QLTV01000592.1:285284-286283	QLTV01000592.1	285284	286283	999
QLTV01000595.1:702035-702975	QLTV01000595.1	702035	702975	940
QLTV01000596.1:265864-266833	QLTV01000596.1	265864	266833	969
QLTV01000597.1:569911-570901	QLTV01000597.1	569911	570901	990
QLTV01000597.1:3831451-3832356	QLTV01000597.1	3831451	3832356	905
QLTV01000598.1:962398-963386	QLTV01000598.1	962398	963386	988
QLTV01000598.1:2310665-2311659	QLTV01000598.1	2310665	2311659	994
QLTV01000598.1:3065943-3066917	QLTV01000598.1	3065943	3066917	974
QLTV01000599.1:592433-593335	QLTV01000599.1	592433	593335	902
QLTV01000599.1:592433-593368	QLTV01000599.1	592433	593368	935
QLTV01000599.1:592433-593401	QLTV01000599.1	592433	593401	968
QLTV01000601.1:336261-337163	QLTV01000601.1	336261	337163	902
QLTV01000601.1:2985296-2986218	QLTV01000601.1	2985296	2986218	922
QLTV01000601.1:3237028-3237979	QLTV01000601.1	3237028	3237979	951
QLTV01000601.1:3872191-3873145	QLTV01000601.1	3872191	3873145	954
QLTV01000602.1:406466-407456	QLTV01000602.1	406466	407456	990
QLTV01000602.1:659700-660619	QLTV01000602.1	659700	660619	919
QLTV01000602.1:1039525-1040518	QLTV01000602.1	1039525	1040518	993
QLTV01000606.1:740978-741899	QLTV01000606.1	740978	741899	921
QLTV01000606.1:740978-741919	QLTV01000606.1	740978	741919	941
QLTV01000606.1:1448884-1449809	QLTV01000606.1	1448884	1449809	925
QLTV01000606.1:2221869-2222845	QLTV01000606.1	2221869	2222845	976
QLTV01000612.1:173080-174012	QLTV01000612.1	173080	174012	932
QLTV01000612.1:663910-664821	QLTV01000612.1	663910	664821	911
QLTV01000613.1:339185-340130	QLTV01000613.1	339185	340130	945
QLTV01000613.1:3872236-3873137	QLTV01000613.1	3872236	3873137	901
QLTV01000619.1:717630-718557	QLTV01000619.1	717630	718557	927
QLTV01000626.1:236761-237713	QLTV01000626.1	236761	237713	952
QLTV01000628.1:150671-151586	QLTV01000628.1	150671	151586	915
QLTV01000635.1:763718-764681	QLTV01000635.1	763718	764681	963
QLTV01000640.1:64878-65834	QLTV01000640.1	64878	65834	956
QLTV01000641.1:850749-851715	QLTV01000641.1	850749	851715	966
QLTV01000649.1:262529-263476	QLTV01000649.1	262529	263476	947
QLTV01000649.1:355089-356025	QLTV01000649.1	355089	356025	936
QLTV01000649.1:355089-356073	QLTV01000649.1	355089	356073	984
QLTV01000668.1:34722-35667	QLTV01000668.1	34722	35667	945
QLTV01000769.1:925910-926832	QLTV01000769.1	925910	926832	922
QLTV01000769.1:2309131-2310088	QLTV01000769.1	2309131	2310088	957
QLTV01000770.1:445989-446944	QLTV01000770.1	445989	446944	955
QLTV01000770.1:1012938-1013855	QLTV01000770.1	1012938	1013855	917
QLTV01000770.1:1663515-1664428	QLTV01000770.1	1663515	1664428	913
QLTV01000775.1:2277310-2278210	QLTV01000775.1	2277310	2278210	900
QLTV01000775.1:3178132-3179031	QLTV01000775.1	3178132	3179031	899
QLTV01000776.1:433040-433964	QLTV01000776.1	433040	433964	924
QLTV01000777.1:181122-182077	QLTV01000777.1	181122	182077	955
QLTV01000783.1:1055456-1056373	QLTV01000783.1	1055456	1056373	917
QLTV01000793.1:356701-357650	QLTV01000793.1	356701	357650	949
QLTV01000801.1:91674-92596	QLTV01000801.1	91674	92596	922
QLTV01000804.1:762606-763582	QLTV01000804.1	762606	763582	976
QLTV01000804.1:1447048-1447994	QLTV01000804.1	1447048	1447994	946
QLTV01000804.1:4197743-4198710	QLTV01000804.1	4197743	4198710	967
QLTV01000804.1:4197743-4198718	QLTV01000804.1	4197743	4198718	975
QLTV01000804.1:4197743-4198738	QLTV01000804.1	4197743	4198738	995
QLTV01000804.1:5500221-5501204	QLTV01000804.1	5500221	5501204	983
QLTV01000806.1:1790347-1791265	QLTV01000806.1	1790347	1791265	918
QLTV01000808.1:48819-49755	QLTV01000808.1	48819	49755	936
QLTV01000808.1:811226-812128	QLTV01000808.1	811226	812128	902
QLTV01000808.1:1000166-1001067	QLTV01000808.1	1000166	1001067	901
QLTV01000810.1:100445-101434	QLTV01000810.1	100445	101434	989
QLTV01000813.1:22831-23769	QLTV01000813.1	22831	23769	938
QLTV01000813.1:421261-422243	QLTV01000813.1	421261	422243	982
QLTV01000816.1:183535-184461	QLTV01000816.1	183535	184461	926
QLTV01000822.1:221284-222191	QLTV01000822.1	221284	222191	907
QLTV01000822.1:221284-222258	QLTV01000822.1	221284	222258	974
QLTV01000824.1:135096-136089	QLTV01000824.1	135096	136089	993
QLTV01000831.1:332501-333481	QLTV01000831.1	332501	333481	980
QLTV01000832.1:29411-30403	QLTV01000832.1	29411	30403	992
QLTV01000850.1:1026963-1027898	QLTV01000850.1	1026963	1027898	935
QLTV01000850.1:2351412-2352315	QLTV01000850.1	2351412	2352315	903
QLTV01000867.1:4212446-4213419	QLTV01000867.1	4212446	4213419	973
QLTV01000867.1:4583173-4584097	QLTV01000867.1	4583173	4584097	924
QLTV01000867.1:5377929-5378856	QLTV01000867.1	5377929	5378856	927
QLTV01000867.1:6286728-6287627	QLTV01000867.1	6286728	6287627	899
QLTV01000867.1:6563911-6564907	QLTV01000867.1	6563911	6564907	996
QLTV01000897.1:29569-30484	QLTV01000897.1	29569	30484	915
QLTV01000897.1:29569-30538	QLTV01000897.1	29569	30538	969
QLTV01000965.1:1591348-1592280	QLTV01000965.1	1591348	1592280	932
QLTV01000965.1:2243093-2244069	QLTV01000965.1	2243093	2244069	976
QLTV01000965.1:3185678-3186611	QLTV01000965.1	3185678	3186611	933
QLTV01000965.1:4768323-4769243	QLTV01000965.1	4768323	4769243	920
QLTV01000965.1:5727412-5728399	QLTV01000965.1	5727412	5728399	987
QLTV01000965.1:5727412-5728406	QLTV01000965.1	5727412	5728406	994
QLTV01000967.1:722105-723069	QLTV01000967.1	722105	723069	964
QLTV01000967.1:1367502-1368475	QLTV01000967.1	1367502	1368475	973
QLTV01000967.1:2238054-2239009	QLTV01000967.1	2238054	2239009	955
QLTV01000969.1:1047355-1048258	QLTV01000969.1	1047355	1048258	903
QLTV01000970.1:435243-436214	QLTV01000970.1	435243	436214	971
QLTV01000970.1:742954-743868	QLTV01000970.1	742954	743868	914
QLTV01000971.1:83224-84153	QLTV01000971.1	83224	84153	929
QLTV01000971.1:933044-933950	QLTV01000971.1	933044	933950	906
QLTV01000971.1:1015079-1016018	QLTV01000971.1	1015079	1016018	939
QLTV01000971.1:1261800-1262764	QLTV01000971.1	1261800	1262764	964
QLTV01000972.1:1940986-1941983	QLTV01000972.1	1940986	1941983	997
QLTV01000972.1:3381247-3382180	QLTV01000972.1	3381247	3382180	933
QLTV01000972.1:3991616-3992520	QLTV01000972.1	3991616	3992520	904
QLTV01000972.1:5690890-5691821	QLTV01000972.1	5690890	5691821	931
QLTV01000972.1:5915339-5916305	QLTV01000972.1	5915339	5916305	966
QLTV01000974.1:385856-386794	QLTV01000974.1	385856	386794	938
QLTV01000974.1:5370631-5371577	QLTV01000974.1	5370631	5371577	946
QLTV01000974.1:6209870-6210773	QLTV01000974.1	6209870	6210773	903
QLTV01000977.1:352579-353576	QLTV01000977.1	352579	353576	997
QLTV01000980.1:197087-198059	QLTV01000980.1	197087	198059	972
QLTV01000980.1:197087-198079	QLTV01000980.1	197087	198079	992
QLTV01000981.1:1971835-1972788	QLTV01000981.1	1971835	1972788	953
QLTV01000984.1:48568-49488	QLTV01000984.1	48568	49488	920
QLTV01000985.1:30305-31244	QLTV01000985.1	30305	31244	939
QLTV01000987.1:116250-117244	QLTV01000987.1	116250	117244	994
QLTV01000988.1:171079-172050	QLTV01000988.1	171079	172050	971
QLTV01000988.1:803765-804664	QLTV01000988.1	803765	804664	899
QLTV01000991.1:182366-183334	QLTV01000991.1	182366	183334	968
QLTV01000994.1:402796-403793	QLTV01000994.1	402796	403793	997
QLTV01000994.1:673608-674513	QLTV01000994.1	673608	674513	905
QLTV01000994.1:1110423-1111363	QLTV01000994.1	1110423	1111363	940
QLTV01000994.1:1294948-1295888	QLTV01000994.1	1294948	1295888	940
QLTV01000995.1:666778-667757	QLTV01000995.1	666778	667757	979
QLTV01000995.1:745096-746057	QLTV01000995.1	745096	746057	961
QLTV01000995.1:1248204-1249148	QLTV01000995.1	1248204	1249148	944
QLTV01001000.1:154239-155192	QLTV01001000.1	154239	155192	953
QLTV01001004.1:15708-16670	QLTV01001004.1	15708	16670	962
QLTV01001006.1:198974-199918	QLTV01001006.1	198974	199918	944
QLTV01001007.1:2168320-2169298	QLTV01001007.1	2168320	2169298	978
QLTV01001009.1:406199-407175	QLTV01001009.1	406199	407175	976
QLTV01001010.1:337532-338461	QLTV01001010.1	337532	338461	929
QLTV01001010.1:938567-939544	QLTV01001010.1	938567	939544	977
QLTV01001013.1:286446-287357	QLTV01001013.1	286446	287357	911
QLTV01001021.1:23918-24831	QLTV01001021.1	23918	24831	913
QLTV01001021.1:1321637-1322636	QLTV01001021.1	1321637	1322636	999
QLTV01001023.1:601753-602678	QLTV01001023.1	601753	602678	925
QLTV01001023.1:967961-968934	QLTV01001023.1	967961	968934	973
QLTV01001023.1:986726-987679	QLTV01001023.1	986726	987679	953
QLTV01001023.1:986726-987722	QLTV01001023.1	986726	987722	996
QLTV01001023.1:1762206-1763132	QLTV01001023.1	1762206	1763132	926
QLTV01001030.1:590320-591236	QLTV01001030.1	590320	591236	916
QLTV01001037.1:42861-43793	QLTV01001037.1	42861	43793	932
QLTV01001116.1:2453728-2454678	QLTV01001116.1	2453728	2454678	950
QLTV01001116.1:2453728-2454706	QLTV01001116.1	2453728	2454706	978
QLTV01001117.1:740114-741039	QLTV01001117.1	740114	741039	925
QLTV01001119.1:3336934-3337857	QLTV01001119.1	3336934	3337857	923
QLTV01001119.1:4532599-4533518	QLTV01001119.1	4532599	4533518	919
QLTV01001119.1:4650971-4651970	QLTV01001119.1	4650971	4651970	999
QLTV01001121.1:244133-245073	QLTV01001121.1	244133	245073	940
QLTV01001122.1:564786-565708	QLTV01001122.1	564786	565708	922
QLTV01001123.1:836279-837223	QLTV01001123.1	836279	837223	944
QLTV01001123.1:1394687-1395607	QLTV01001123.1	1394687	1395607	920
QLTV01001124.1:224498-225487	QLTV01001124.1	224498	225487	989
QLTV01001126.1:399748-400719	QLTV01001126.1	399748	400719	971
QLTV01001126.1:731338-732314	QLTV01001126.1	731338	732314	976
QLTV01001126.1:1461841-1462821	QLTV01001126.1	1461841	1462821	980
QLTV01001126.1:1756435-1757373	QLTV01001126.1	1756435	1757373	938
QLTV01001127.1:1830065-1830990	QLTV01001127.1	1830065	1830990	925
QLTV01001129.1:41412-42342	QLTV01001129.1	41412	42342	930
QLTV01001142.1:86130-87102	QLTV01001142.1	86130	87102	972
QLTV01001144.1:209279-210217	QLTV01001144.1	209279	210217	938
QLTV01001144.1:1732704-1733688	QLTV01001144.1	1732704	1733688	984
QLTV01001145.1:4548266-4549198	QLTV01001145.1	4548266	4549198	932
QLTV01001145.1:4788439-4789398	QLTV01001145.1	4788439	4789398	959
QLTV01001146.1:2677818-2678777	QLTV01001146.1	2677818	2678777	959
QLTV01001154.1:69146-70064	QLTV01001154.1	69146	70064	918
QLTV01001158.1:98400-99326	QLTV01001158.1	98400	99326	926
QLTV01001159.1:780064-780984	QLTV01001159.1	780064	780984	920
QLTV01001159.1:1529759-1530716	QLTV01001159.1	1529759	1530716	957
QLTV01001159.1:1586038-1586987	QLTV01001159.1	1586038	1586987	949
QLTV01001159.1:2108115-2109104	QLTV01001159.1	2108115	2109104	989
QLTV01001165.1:157561-158531	QLTV01001165.1	157561	158531	970
QLTV01001165.1:352397-353324	QLTV01001165.1	352397	353324	927
QLTV01001165.1:365076-365978	QLTV01001165.1	365076	365978	902
QLTV01001165.1:365076-365994	QLTV01001165.1	365076	365994	918
QLTV01001167.1:79657-80600	QLTV01001167.1	79657	80600	943
QLTV01001168.1:497658-498627	QLTV01001168.1	497658	498627	969
QLTV01001170.1:106649-107595	QLTV01001170.1	106649	107595	946
QLTV01001170.1:142464-143440	QLTV01001170.1	142464	143440	976
QLTV01001172.1:29324-30278	QLTV01001172.1	29324	30278	954
QLTV01001172.1:489528-490452	QLTV01001172.1	489528	490452	924
QLTV01001177.1:784639-785637	QLTV01001177.1	784639	785637	998
QLTV01001177.1:1291482-1292382	QLTV01001177.1	1291482	1292382	900
QLTV01001181.1:144749-145684	QLTV01001181.1	144749	145684	935
QLTV01001189.1:102618-103535	QLTV01001189.1	102618	103535	917
QLTV01001195.1:586766-587708	QLTV01001195.1	586766	587708	942
QLTV01001196.1:160993-161961	QLTV01001196.1	160993	161961	968
QLTV01001208.1:14250-15164	QLTV01001208.1	14250	15164	914
QLTV01001208.1:72366-73348	QLTV01001208.1	72366	73348	982
QLTV01001210.1:12828-13727	QLTV01001210.1	12828	13727	899
QLTV01001211.1:33163-34151	QLTV01001211.1	33163	34151	988
QLTV01001211.1:164028-165021	QLTV01001211.1	164028	165021	993
QLTV01001233.1:183469-184441	QLTV01001233.1	183469	184441	972
QLTV01001233.1:1211323-1212306	QLTV01001233.1	1211323	1212306	983
QLTV01001233.1:1245919-1246834	QLTV01001233.1	1245919	1246834	915
QLTV01001312.1:315148-316137	QLTV01001312.1	315148	316137	989
QLTV01001313.1:2387717-2388709	QLTV01001313.1	2387717	2388709	992
QLTV01001318.1:3105739-3106655	QLTV01001318.1	3105739	3106655	916
QLTV01001320.1:1274828-1275781	QLTV01001320.1	1274828	1275781	953
QLTV01001320.1:1926879-1927820	QLTV01001320.1	1926879	1927820	941
QLTV01001320.1:3857699-3858657	QLTV01001320.1	3857699	3858657	958
QLTV01001320.1:5031575-5032476	QLTV01001320.1	5031575	5032476	901
QLTV01001321.1:161395-162349	QLTV01001321.1	161395	162349	954
QLTV01001321.1:336493-337476	QLTV01001321.1	336493	337476	983
QLTV01001322.1:2981325-2982280	QLTV01001322.1	2981325	2982280	955
QLTV01001324.1:484905-485825	QLTV01001324.1	484905	485825	920
QLTV01001335.1:387786-388728	QLTV01001335.1	387786	388728	942
QLTV01001335.1:387786-388747	QLTV01001335.1	387786	388747	961
QLTV01001336.1:1026276-1027250	QLTV01001336.1	1026276	1027250	974
QLTV01001336.1:1573906-1574874	QLTV01001336.1	1573906	1574874	968
QLTV01001351.1:1103216-1104132	QLTV01001351.1	1103216	1104132	916
QLTV01001354.1:213957-214866	QLTV01001354.1	213957	214866	909
QLTV01001370.1:200060-201036	QLTV01001370.1	200060	201036	976
QLTV01001370.1:505287-506190	QLTV01001370.1	505287	506190	903
QLTV01001370.1:927634-928580	QLTV01001370.1	927634	928580	946
QLTV01001380.1:7033-7948	QLTV01001380.1	7033	7948	915
QLTV01001394.1:29167-30071	QLTV01001394.1	29167	30071	904
QLTV01001453.1:686900-687876	QLTV01001453.1	686900	687876	976
QLTV01001454.1:924657-925635	QLTV01001454.1	924657	925635	978
QLTV01001454.1:1008139-1009126	QLTV01001454.1	1008139	1009126	987
QLTV01001454.1:1111957-1112864	QLTV01001454.1	1111957	1112864	907
QLTV01001458.1:213807-214739	QLTV01001458.1	213807	214739	932
QLTV01001458.1:213807-214774	QLTV01001458.1	213807	214774	967
QLTV01001458.1:1205245-1206186	QLTV01001458.1	1205245	1206186	941
QLTV01001458.1:1367766-1368736	QLTV01001458.1	1367766	1368736	970
QLTV01001458.1:2463281-2464262	QLTV01001458.1	2463281	2464262	981
QLTV01001458.1:4692038-4692961	QLTV01001458.1	4692038	4692961	923
QLTV01001459.1:187585-188493	QLTV01001459.1	187585	188493	908
QLTV01001459.1:3524304-3525235	QLTV01001459.1	3524304	3525235	931
QLTV01001459.1:4452483-4453431	QLTV01001459.1	4452483	4453431	948
QLTV01001461.1:260984-261915	QLTV01001461.1	260984	261915	931
QLTV01001461.1:534477-535385	QLTV01001461.1	534477	535385	908
QLTV01001462.1:136347-137313	QLTV01001462.1	136347	137313	966
QLTV01001465.1:3503078-3504029	QLTV01001465.1	3503078	3504029	951
QLTV01001465.1:3503078-3504068	QLTV01001465.1	3503078	3504068	990
QLTV01001467.1:110923-111872	QLTV01001467.1	110923	111872	949
QLTV01001467.1:168115-169084	QLTV01001467.1	168115	169084	969
QLTV01001468.1:551482-552445	QLTV01001468.1	551482	552445	963
QLTV01001474.1:1822558-1823542	QLTV01001474.1	1822558	1823542	984
QLTV01001477.1:42961-43863	QLTV01001477.1	42961	43863	902
QLTV01001481.1:171632-172607	QLTV01001481.1	171632	172607	975
QLTV01001483.1:488655-489569	QLTV01001483.1	488655	489569	914
QLTV01001483.1:1278408-1279363	QLTV01001483.1	1278408	1279363	955
QLTV01001483.1:1449167-1450135	QLTV01001483.1	1449167	1450135	968
QLTV01001483.1:4727669-4728649	QLTV01001483.1	4727669	4728649	980
QLTV01001483.1:4863559-4864531	QLTV01001483.1	4863559	4864531	972
QLTV01001483.1:8392522-8393444	QLTV01001483.1	8392522	8393444	922
QLTV01001483.1:8877621-8878539	QLTV01001483.1	8877621	8878539	918
QLTV01001483.1:12259764-12260728	QLTV01001483.1	12259764	12260728	964
QLTV01001495.1:743998-744990	QLTV01001495.1	743998	744990	992
QLTV01001496.1:108260-109169	QLTV01001496.1	108260	109169	909
QLTV01001497.1:447256-448229	QLTV01001497.1	447256	448229	973
QLTV01001500.1:2147559-2148459	QLTV01001500.1	2147559	2148459	900
QLTV01001510.1:712500-713488	QLTV01001510.1	712500	713488	988
QLTV01001519.1:71777-72755	QLTV01001519.1	71777	72755	978
QLTV01001522.1:108945-109890	QLTV01001522.1	108945	109890	945
QLTV01001522.1:212686-213607	QLTV01001522.1	212686	213607	921
QLTV01001522.1:343787-344735	QLTV01001522.1	343787	344735	948
QLTV01001543.1:483535-484491	QLTV01001543.1	483535	484491	956
QLTV01001549.1:28677-29641	QLTV01001549.1	28677	29641	964
QLTV01001572.1:38474-39377	QLTV01001572.1	38474	39377	903
QLTV01001572.1:38474-39397	QLTV01001572.1	38474	39397	923
QLTV01001576.1:7314-8234	QLTV01001576.1	7314	8234	920
QLTV01001588.1:62096-63035	QLTV01001588.1	62096	63035	939
QLTV01001682.1:3104876-3105797	QLTV01001682.1	3104876	3105797	921
QLTV01001684.1:182881-183867	QLTV01001684.1	182881	183867	986
QLTV01001684.1:931025-931965	QLTV01001684.1	931025	931965	940
QLTV01001684.1:1805699-1806603	QLTV01001684.1	1805699	1806603	904
QLTV01001684.1:2438633-2439568	QLTV01001684.1	2438633	2439568	935
QLTV01001684.1:4341042-4341956	QLTV01001684.1	4341042	4341956	914
QLTV01001686.1:697046-697982	QLTV01001686.1	697046	697982	936
QLTV01001686.1:1214869-1215809	QLTV01001686.1	1214869	1215809	940
QLTV01001687.1:1530215-1531131	QLTV01001687.1	1530215	1531131	916
QLTV01001688.1:382766-383760	QLTV01001688.1	382766	383760	994
QLTV01001689.1:81416-82377	QLTV01001689.1	81416	82377	961
QLTV01001689.1:81416-82388	QLTV01001689.1	81416	82388	972
QLTV01001691.1:125189-126185	QLTV01001691.1	125189	126185	996
QLTV01001694.1:688259-689230	QLTV01001694.1	688259	689230	971
QLTV01001697.1:2009714-2010629	QLTV01001697.1	2009714	2010629	915
QLTV01001698.1:82327-83310	QLTV01001698.1	82327	83310	983
QLTV01001698.1:135710-136632	QLTV01001698.1	135710	136632	922
QLTV01001698.1:2116151-2117061	QLTV01001698.1	2116151	2117061	910
QLTV01001698.1:2642701-2643682	QLTV01001698.1	2642701	2643682	981
QLTV01001698.1:11286781-11287765	QLTV01001698.1	11286781	11287765	984
QLTV01001698.1:15465613-15466556	QLTV01001698.1	15465613	15466556	943
QLTV01001699.1:543242-544191	QLTV01001699.1	543242	544191	949
QLTV01001699.1:656574-657507	QLTV01001699.1	656574	657507	933
QLTV01001700.1:2690574-2691567	QLTV01001700.1	2690574	2691567	993
QLTV01001706.1:220120-221068	QLTV01001706.1	220120	221068	948
QLTV01001712.1:146137-147122	QLTV01001712.1	146137	147122	985
QLTV01001713.1:69032-69937	QLTV01001713.1	69032	69937	905
QLTV01001713.1:218325-219256	QLTV01001713.1	218325	219256	931
QLTV01001715.1:439118-440036	QLTV01001715.1	439118	440036	918
QLTV01001715.1:1119157-1120095	QLTV01001715.1	1119157	1120095	938
QLTV01001721.1:911808-912708	QLTV01001721.1	911808	912708	900
QLTV01001722.1:1633553-1634481	QLTV01001722.1	1633553	1634481	928
QLTV01001725.1:153251-154169	QLTV01001725.1	153251	154169	918
QLTV01001726.1:519585-520570	QLTV01001726.1	519585	520570	985
QLTV01001726.1:523446-524435	QLTV01001726.1	523446	524435	989
QLTV01001726.1:931250-932193	QLTV01001726.1	931250	932193	943
QLTV01001726.1:3530119-3531115	QLTV01001726.1	3530119	3531115	996
